comparison_id,metric_name,existing_value,proposed_value,units,comparison_date_or_period,status,classification,review_status,source_ids,assumption_ids,analytical_interpretation,limitations
FC5-001,Opening bank funded debt,669.89771875,679.89771875,USD_millions,2026-02-01_00:00,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Same-point positions after alternative-specific January 31 actions; the $10m difference is proposed fees.,Actual closing balances remain pending.
FC5-002,Opening term principal,462.5,650,USD_millions,2026-02-01_00:00,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Existing term is after the January installment; proposed closes immediately before that installment.,Existing installment is funded in the opening revolver and is not a free principal reduction.
FC5-003,Opening revolver,207.39771875,29.89771875,USD_millions,2026-02-01_00:00,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Existing includes the reference movement plus funding for the installment and accrued interest.,"Both are testing positions, not actual balances."
FC5-004,Revolver commitment,475,300,USD_millions,modeled term,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Proposed commitment is $175m smaller.,Final commitment and LC sublimit are uncommitted.
FC5-005,Opening revolver availability after LCs,261.40228125,263.90228125,USD_millions,2026-02-01_00:00,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Availability follows the same-point reconciled draws.,Neither opening draw is an actual January 2026 balance.
FC5-006,Accrued interest through closing,3.64771875,3.64771875,USD_millions,through_2026-01-31_closing,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Existing is funded through the reconciled revolver; proposed is funded in the Phase 4 closing bridge.,Counted once and excluded from post-February modeled interest.
FC5-007,Upfront financing and advisory fees,0,10,USD_millions,2026-01-31,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Proposed refinancing incurs the Phase 4 reference fee use.,Final fees are pending.
FC5-008,Recurring financing fees,not_determinable,not_determinable,USD_millions,modeled_term,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Existing and proposed unused-commitment and LC-related fee cash amounts are not modeled.,Excluded rather than entered as zero; liquidity is before these fees.
FC5-009,Cumulative cash interest on common horizon,127.4711665797101677540328191,130.0565446238712572817742345,USD_millions,2026-02-01_to_2029-07-31,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Identical interest period for both alternatives.,Existing uses the 6.57% rate-neutral case; actual applicable pricing is not determinable.
FC5-010,Modeled all-in rate,6.57_rate_neutral,6.57_owner_reviewed_midpoint,percent,modeled_term,calculated_or_explicitly_qualitative,like_for_like_base_case_comparison,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-040;P5A-042,Holds the central comparison rate-neutral.,Existing 6.57% is not actual or representative pricing.
