condition_id,description,risk_addressed,responsible_party,evidence_required,timing,waivability,consequence_if_unmet,public_or_hypothetical_status,source_ids,owner_review_status,notes
CP-001,Payoff letters,"Exact principal, accrued interest, fees and wire instructions",Borrower/Existing agent,Executed payoff letter and funds-flow approval,At least 2 business days before close,Not waivable without replacement evidence,No closing; bank debt amount is unverified,private_essential,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-002,Existing lien releases,Avoid competing liens and confirm discharge,Existing agent/New counsel,Release documents and UCC/IP termination authorization,Closing,Not waivable for first-priority structure,No closing or expressly junior/unperfected position,private_essential,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-003,New lien perfection,Create and perfect proposed collateral package,Borrower/New agent counsel,"Executed security documents, filings, searches and control agreements",Closing/post-close period only if tightly bounded,Limited post-close undertakings only,No closing or documented collateral exception,hypothetical_essential,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-004,Guarantee execution,Establish eligible domestic subsidiary support,Borrower/New agent counsel,"Current entity chart, guaranty and joinders",Closing,Only agreed excluded subsidiaries,No closing or reduced approved credit support,hypothetical_essential,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-005,Corporate authority,Ensure enforceable execution and borrowing authority,Borrower counsel,"Resolutions, incumbency, charter documents and good standing",Closing,Not waivable,No closing,standard_hypothetical,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-006,KYC and beneficial ownership,Meet AML/sanctions and onboarding requirements,Borrower/Lenders,"KYC, beneficial-ownership and sanctions materials",Before funding,Not waivable where legally required,No funding,standard_hypothetical,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-007,Legal opinions,"Confirm authorization, enforceability and security",Borrower counsel,"Corporate, enforceability and security opinions by jurisdiction",Closing,Scope exceptions subject to lender approval,No closing or explicit risk acceptance,hypothetical_essential,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-008,Existing compliance certificate,Verify no default and current headroom,Borrower,Latest delivered certificate and detailed calculation,Before commitment/close,Not waivable without lender credit approval,Stop underwriting or require cure/waiver,private_essential,SRC-001;SRC-003;SRC-016,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-009,Projected compliance certificate,Test proposed structure under agreed definitions,Borrower/CFO,Pro forma certificate using final debt and approved EBITDA,Closing,Not waivable without credit approval,No closing or resize/restructure,hypothetical_essential,SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-010,January closing-balance certificate,Replace October facts with actual closing balances,Borrower/CFO,"Term, revolver, cash, LC, other debt and working-capital certificate",Closing,Not waivable,No closing or delayed funding,private_essential,SRC-001;SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-011,Minimum usable liquidity,Protect operations at close,Borrower/New agent,Sources/uses and liquidity certificate under final definition,Closing,Only with credit approval,No closing or add equity/reduce uses,hypothetical_essential,,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-012,Borrower cash contribution,Avoid unsupported debt funding where required,Borrower,Accessible-cash evidence and funds flow,Closing if required,May be zero only if approved sources fully cover uses,Funding gap remains or transaction resizes,pending_information,SRC-001;SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
CP-013,LC replacement,Maintain operating instruments without double funding,Borrower/Existing and new issuing banks,"LC schedule, beneficiaries, replacement/cash-collateral mechanics",Closing,Not waivable while exposure remains,No closing or cash collateral included once,private_essential,SRC-001;SRC-003,owner_reviewed_methodology,Owner review approves the condition category and consequence as methodology only; it does not establish satisfaction. Evidence remains required at the stated time.
