candidate_id,candidate_name,alternative_type,quantitative_status,selection_status,opening_term_principal,opening_revolver,opening_bank_debt,retained_other_funded_debt,opening_gross_funded_debt,term_commitment,revolver_commitment,total_term_plus_revolver_commitments,letters_of_credit,opening_revolver_availability,opening_usable_liquidity,undrawn_term_commitment,unused_term_commitment_treatment,required_non_debt_contribution,reference_closing_uses,sources_uses_control,annual_amortization_percent,annual_scheduled_term_principal,maturity_date,all_in_rate_percent,excess_cash_flow_sweep_percent,source_ids,upstream_ids,review_status,rationale,limitations
STR-001,Retain existing facilities,existing_retention,quantified_existing_rate_neutral_case,live_alternative,462.5,207.39771875,669.89771875,62.619,732.51671875,462.5,475,937.5,6.2,261.40228125,261.40228125,0,none; funded term equals commitment and no delayed-draw availability is assumed,0,,,,,2029-08-01,6.57,0,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,owner_reviewed,Preserves the committed existing-facility comparison and avoids unsupported transaction assumptions.,Applicable existing pricing tier and amendment economics remain not determinable; August 2029 maturity dependence remains.
STR-002,Limited amendment or extension,amend_extend,qualitative_only,live_alternative,,,,,,,,,,,,,not_determinable,,,,,,,,,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,owner_reviewed,"Retains an amendment or extension as a live option without inventing tenor, fees, pricing, covenants, or capacity.",No lender proposal or sufficiently complete public terms support quantitative modeling.
STR-003,$650m reference term / 10% amortization,reference_refinancing,quantified_phase6_reference,not_selected,650,29.89771875,679.89771875,62.619,742.51671875,650,300,950,6.2,263.90228125,263.90228125,0,none; funded term equals commitment and no delayed-draw availability is assumed,0,679.89771875,0,10,65,2031-01-31,6.57,50,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,owner_reviewed,Preserves the Phase 4-6 reference transaction for direct reconciliation.,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved."
STR-004,$650m term / 5% amortization,lower_amortization_refinancing,quantified_sensitivity,not_selected,650,29.89771875,679.89771875,62.619,742.51671875,650,300,950,6.2,263.90228125,263.90228125,0,none; funded term equals commitment and no delayed-draw availability is assumed,0,679.89771875,0,5,32.5,2031-01-31,6.57,50,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,owner_reviewed,Tests lower scheduled principal and a larger reliance on the annual cash sweep and maturity refinancing.,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved."
STR-005,$650m term / 7.5% amortization,lower_amortization_refinancing,quantified_sensitivity,not_selected,650,29.89771875,679.89771875,62.619,742.51671875,650,300,950,6.2,263.90228125,263.90228125,0,none; funded term equals commitment and no delayed-draw availability is assumed,0,679.89771875,0,7.5,48.75,2031-01-31,6.57,50,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,owner_reviewed,Tests an intermediate scheduled-amortization burden with a separately identified 50% annual cash sweep.,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved."
STR-006,$650m term / 15% amortization,higher_amortization_refinancing,quantified_sensitivity,not_selected,650,29.89771875,679.89771875,62.619,742.51671875,650,300,950,6.2,263.90228125,263.90228125,0,none; funded term equals commitment and no delayed-draw availability is assumed,0,679.89771875,0,15,97.5,2031-01-31,6.57,50,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,owner_reviewed,Tests faster contractual deleveraging and the corresponding near-term liquidity burden.,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved."
STR-007,$625m term / conditional $25m contribution / 7.5% amortization,conditional_cash_supported_refinancing,quantified_conditional_sensitivity,not_selected,625,29.89771875,654.89771875,62.619,717.51671875,625,300,925,6.2,263.90228125,263.90228125,0,none; funded term equals commitment and no delayed-draw availability is assumed,25,679.89771875,0,7.5,46.875,2031-01-31,6.57,50,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,owner_reviewed,Shows a real reduction in funded debt when a separate $25m non-debt closing source is available.,"No accessible cash or equity source is established. The contribution may not consume the separate $25m operating cash floor. Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved."
STR-008,$635m practical term / $15m conditional contribution / 7.5% amortization,recommended_conditional_refinancing,quantified_practical_sizing_with_cushion,owner_reviewed_phase7_provisional_structure,635,29.89771875,664.89771875,62.619,727.51671875,635,300,935,6.2,263.90228125,263.90228125,0,none; funded term equals commitment and no delayed-draw availability is assumed,15,679.89771875,0,7.5,47.625,2031-01-31,6.57,50,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,owner_reviewed,Uses a practical rounded term amount below the exact 3.25x total-funded-debt capacity and closes below the inclusive 3.25x analyst warning.,"The $15m non-debt source is a closing condition, not an assumption that book or foreign cash is accessible, and it may not consume the separate $25m operating cash floor. Unused term commitment is not treated as delayed-draw availability. Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved."
STR-009,Exact 3.25x analytical total-funded-debt boundary / 7.5% amortization,analytical_capacity_boundary,quantified_analytical_boundary,not_selected,639.85128125,29.89771875,669.749,62.619,732.368,639.85128125,300,939.85128125,6.2,263.90228125,263.90228125,0,none; funded term equals commitment and no delayed-draw availability is assumed,10.14871875,679.89771875,0,7.5,47.98884609375,2031-01-31,6.57,50,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,owner_reviewed,Preserves the exact calculated allocation at the 3.25x total-funded-debt boundary without presenting the result as a negotiated facility amount.,"Closing exactly at 3.25x activates the inclusive analyst warning but does not breach the proposed 3.50x covenant. Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved."
STR-010,$640m rounded term / $10m contribution / reference revolver,rounded_marginal_exception,quantified_marginal_exception,not_selected,640,29.89771875,669.89771875,62.619,732.51671875,640,300,940,6.2,263.90228125,263.90228125,0,none; funded term equals commitment and no delayed-draw availability is assumed,10,679.89771875,0,7.5,48,2031-01-31,6.57,50,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,owner_reviewed,Tests a conventional rounded term amount while keeping the reference revolver allocation and a round $10m non-debt source.,"The structure exceeds the 3.25x analytical sizing boundary by $0.149m and therefore remains an unselected sizing exception. Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved."
