sources_uses_id,case_id,sequence,category,item,amount,units,calculation,classification,status,source_ids,owner_review_status,notes
SU-0001,CC-LOW,1,use,Existing Term A payoff,462.5,USD_millions,Opening principal less pre-closing amortization only,fact_plus_timing_assumption,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001;SRC-003,owner_reviewed_for_phase5_testing,
SU-0002,CC-LOW,2,use,Existing revolver payoff,172.5,USD_millions,October 31 draw plus owner-reviewed principal-balance sensitivity; historical FCF is calibration only,fact_plus_sensitivity,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001;SRC-021,owner_reviewed_for_phase5_testing,
SU-0003,CC-LOW,3,use,Other bank-debt movement,0,USD_millions,Explicit input,sensitivity,pending_information,SRC-001,owner_reviewed_for_phase5_testing,
SU-0004,CC-LOW,4,use,Accrued interest,0,USD_millions,Separate unpaid payoff-interest sensitivity; must reconcile to Phase 5 integrated interest,sensitivity,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001,owner_reviewed_for_phase5_testing,Do not double count cash interest already embedded in the historical FCF calibration reference.
SU-0005,CC-LOW,5,use,Prepayment premium,0,USD_millions,No premium under public agreement; breakage separate,reported_contract_term,supported_with_diligence,SRC-003,owner_reviewed_for_phase5_testing,
SU-0006,CC-LOW,6,use,Hedge and interest-period break cost,0,USD_millions,Explicit sensitivity,sensitivity,pending_information,SRC-003,owner_reviewed_for_phase5_testing,
SU-0007,CC-LOW,7,use,Financing fees,3,USD_millions,Explicit fee sensitivity,sensitivity,pending_information,,owner_reviewed_for_phase5_testing,Not a lender quote.
SU-0008,CC-LOW,8,use,"Legal, advisory and administrative expenses",2,USD_millions,Explicit cost sensitivity,sensitivity,pending_information,,owner_reviewed_for_phase5_testing,
SU-0009,CC-LOW,9,use,LC cash collateral,0,USD_millions,Zero if LCs replace under new revolver; $6.2m only in collateralization case,restricted_cash_funding_use,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001;SRC-003,owner_reviewed_for_phase5_testing,Creates restricted cash or another restricted asset; excluded from usable operating liquidity and counted exactly once.
SU-0010,CC-LOW,10,total_use,Total uses,640,USD_millions,Sum of use rows,calculated,calculated,,owner_reviewed_for_phase5_testing,
SU-0011,CC-LOW,11,source,New term funding,640,USD_millions,"Supported uses less approved cash, capped at $650m",calculated_proposed_source,owner_reviewed_for_phase5_testing,,owner_reviewed_for_phase5_testing,
SU-0012,CC-LOW,12,source,Opening new-revolver draw,0,USD_millions,"Residual supported use, capped by $300m less replacement LCs",calculated_proposed_source,owner_reviewed_for_phase5_testing,,owner_reviewed_for_phase5_testing,Explicit funding waterfall; not an unexplained plug.
SU-0013,CC-LOW,13,source,Borrower cash contribution,0,USD_millions,Cannot exceed identified accessible cash,assumption,pending_information,SRC-001;SRC-003,owner_reviewed_for_phase5_testing,
SU-0014,CC-LOW,14,total_source,Total sources excluding funding gap,640,USD_millions,Sum of committed-modeled sources,calculated,calculated,,owner_reviewed_for_phase5_testing,
SU-0015,CC-LOW,15,gap,Explicit residual funding gap,0,USD_millions,Maximum of zero and uses less capped modeled sources,calculated,calculated,,owner_reviewed_for_phase5_testing,
SU-0016,CC-LOW,16,control,Sources plus explicit gap less uses,0,USD_millions,Total sources + gap - total uses,calculated_control,PASS,,owner_reviewed_for_phase5_testing,
SU-0017,CC-REF,1,use,Existing Term A payoff,468.75,USD_millions,Opening principal less pre-closing amortization only,fact_plus_timing_assumption,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001;SRC-003,owner_reviewed_for_phase5_testing,
SU-0018,CC-REF,2,use,Existing revolver payoff,197.5,USD_millions,October 31 draw plus owner-reviewed principal-balance sensitivity; historical FCF is calibration only,fact_plus_sensitivity,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001;SRC-021,owner_reviewed_for_phase5_testing,
SU-0019,CC-REF,3,use,Other bank-debt movement,0,USD_millions,Explicit input,sensitivity,pending_information,SRC-001,owner_reviewed_for_phase5_testing,
SU-0020,CC-REF,4,use,Accrued interest,3.64771875,USD_millions,Separate unpaid payoff-interest sensitivity; must reconcile to Phase 5 integrated interest,sensitivity,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001,owner_reviewed_for_phase5_testing,Do not double count cash interest already embedded in the historical FCF calibration reference.
SU-0021,CC-REF,5,use,Prepayment premium,0,USD_millions,No premium under public agreement; breakage separate,reported_contract_term,supported_with_diligence,SRC-003,owner_reviewed_for_phase5_testing,
SU-0022,CC-REF,6,use,Hedge and interest-period break cost,0,USD_millions,Explicit sensitivity,sensitivity,pending_information,SRC-003,owner_reviewed_for_phase5_testing,
SU-0023,CC-REF,7,use,Financing fees,7.5,USD_millions,Explicit fee sensitivity,sensitivity,pending_information,,owner_reviewed_for_phase5_testing,Not a lender quote.
SU-0024,CC-REF,8,use,"Legal, advisory and administrative expenses",2.5,USD_millions,Explicit cost sensitivity,sensitivity,pending_information,,owner_reviewed_for_phase5_testing,
SU-0025,CC-REF,9,use,LC cash collateral,0,USD_millions,Zero if LCs replace under new revolver; $6.2m only in collateralization case,restricted_cash_funding_use,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001;SRC-003,owner_reviewed_for_phase5_testing,Creates restricted cash or another restricted asset; excluded from usable operating liquidity and counted exactly once.
SU-0026,CC-REF,10,total_use,Total uses,679.89771875,USD_millions,Sum of use rows,calculated,calculated,,owner_reviewed_for_phase5_testing,
SU-0027,CC-REF,11,source,New term funding,650,USD_millions,"Supported uses less approved cash, capped at $650m",calculated_proposed_source,owner_reviewed_for_phase5_testing,,owner_reviewed_for_phase5_testing,
SU-0028,CC-REF,12,source,Opening new-revolver draw,29.89771875,USD_millions,"Residual supported use, capped by $300m less replacement LCs",calculated_proposed_source,owner_reviewed_for_phase5_testing,,owner_reviewed_for_phase5_testing,Explicit funding waterfall; not an unexplained plug.
SU-0029,CC-REF,13,source,Borrower cash contribution,0,USD_millions,Cannot exceed identified accessible cash,assumption,pending_information,SRC-001;SRC-003,owner_reviewed_for_phase5_testing,
SU-0030,CC-REF,14,total_source,Total sources excluding funding gap,679.89771875,USD_millions,Sum of committed-modeled sources,calculated,calculated,,owner_reviewed_for_phase5_testing,
SU-0031,CC-REF,15,gap,Explicit residual funding gap,0,USD_millions,Maximum of zero and uses less capped modeled sources,calculated,calculated,,owner_reviewed_for_phase5_testing,
SU-0032,CC-REF,16,control,Sources plus explicit gap less uses,0,USD_millions,Total sources + gap - total uses,calculated_control,PASS,,owner_reviewed_for_phase5_testing,
SU-0033,CC-HIGH,1,use,Existing Term A payoff,468.75,USD_millions,Opening principal less pre-closing amortization only,fact_plus_timing_assumption,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001;SRC-003,owner_reviewed_for_phase5_testing,
SU-0034,CC-HIGH,2,use,Existing revolver payoff,222.5,USD_millions,October 31 draw plus owner-reviewed principal-balance sensitivity; historical FCF is calibration only,fact_plus_sensitivity,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001;SRC-021,owner_reviewed_for_phase5_testing,
SU-0035,CC-HIGH,3,use,Other bank-debt movement,0,USD_millions,Explicit input,sensitivity,pending_information,SRC-001,owner_reviewed_for_phase5_testing,
SU-0036,CC-HIGH,4,use,Accrued interest,7.5691875,USD_millions,Separate unpaid payoff-interest sensitivity; must reconcile to Phase 5 integrated interest,sensitivity,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001,owner_reviewed_for_phase5_testing,Do not double count cash interest already embedded in the historical FCF calibration reference.
SU-0037,CC-HIGH,5,use,Prepayment premium,0,USD_millions,No premium under public agreement; breakage separate,reported_contract_term,supported_with_diligence,SRC-003,owner_reviewed_for_phase5_testing,
SU-0038,CC-HIGH,6,use,Hedge and interest-period break cost,10,USD_millions,Explicit sensitivity,sensitivity,pending_information,SRC-003,owner_reviewed_for_phase5_testing,
SU-0039,CC-HIGH,7,use,Financing fees,15,USD_millions,Explicit fee sensitivity,sensitivity,pending_information,,owner_reviewed_for_phase5_testing,Not a lender quote.
SU-0040,CC-HIGH,8,use,"Legal, advisory and administrative expenses",5,USD_millions,Explicit cost sensitivity,sensitivity,pending_information,,owner_reviewed_for_phase5_testing,
SU-0041,CC-HIGH,9,use,LC cash collateral,6.2,USD_millions,Zero if LCs replace under new revolver; $6.2m only in collateralization case,restricted_cash_funding_use,owner_reviewed_sensitivity_pending_closing_diligence,SRC-001;SRC-003,owner_reviewed_for_phase5_testing,Creates restricted cash or another restricted asset; excluded from usable operating liquidity and counted exactly once.
SU-0042,CC-HIGH,10,total_use,Total uses,735.0191875,USD_millions,Sum of use rows,calculated,calculated,,owner_reviewed_for_phase5_testing,
SU-0043,CC-HIGH,11,source,New term funding,650,USD_millions,"Supported uses less approved cash, capped at $650m",calculated_proposed_source,owner_reviewed_for_phase5_testing,,owner_reviewed_for_phase5_testing,
SU-0044,CC-HIGH,12,source,Opening new-revolver draw,85.0191875,USD_millions,"Residual supported use, capped by $300m less replacement LCs",calculated_proposed_source,owner_reviewed_for_phase5_testing,,owner_reviewed_for_phase5_testing,Explicit funding waterfall; not an unexplained plug.
SU-0045,CC-HIGH,13,source,Borrower cash contribution,0,USD_millions,Cannot exceed identified accessible cash,assumption,pending_information,SRC-001;SRC-003,owner_reviewed_for_phase5_testing,
SU-0046,CC-HIGH,14,total_source,Total sources excluding funding gap,735.0191875,USD_millions,Sum of committed-modeled sources,calculated,calculated,,owner_reviewed_for_phase5_testing,
SU-0047,CC-HIGH,15,gap,Explicit residual funding gap,0,USD_millions,Maximum of zero and uses less capped modeled sources,calculated,calculated,,owner_reviewed_for_phase5_testing,
SU-0048,CC-HIGH,16,control,Sources plus explicit gap less uses,0,USD_millions,Total sources + gap - total uses,calculated_control,PASS,,owner_reviewed_for_phase5_testing,
