bridge_id,sequence,item,existing_value,proposed_value,units,as_of_or_period,existing_treatment,proposed_treatment,existing_cash_effect,proposed_cash_effect,existing_bank_debt_effect,proposed_bank_debt_effect,status,classification,review_status,source_ids,upstream_ids,calculation,limitations
OB-001,1,"October 31, 2025 Term A",468.75,468.75,USD_millions,2025-10-31,reported opening principal,reported opening principal,,,,,supported_or_explicit_assumption,reported_fact,owner_reviewed_for_phase5_testing,SRC-001;SRC-002,DT-008,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-002,2,"October 31, 2025 revolver",172.5,172.5,USD_millions,2025-10-31,reported opening principal,reported opening principal,,,,,supported_or_explicit_assumption,reported_fact,owner_reviewed_for_phase5_testing,SRC-001;SRC-002,DT-019,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-003,3,November-January revolver movement,25,25,USD_millions,2025-11-01_to_2026-01-31,Phase 4 reference principal sensitivity,included in Phase 4 payoff,,,25,25,supported_or_explicit_assumption,owner_reviewed_reference_sensitivity,owner_reviewed_for_phase5_testing,SRC-021,P5-026;CC-REF,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-004,4,FY2026 Q1 operating CFADS before cash interest,0.30058782918787770867427544,0.30058782918787770867427544,USD_millions,2025-11-01_to_2026-01-31,disclosed; not separately credited against the $25m principal sensitivity,same treatment; not separately credited,0,0,0,0,supported_or_explicit_assumption,formula_calculated_operating_output,owner_reviewed_for_phase5_testing,SRC-001,OP-0001,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-005,5,January 31 Term A installment,6.25,0,USD_millions,2026-01-31_immediately_after_closing_timestamp,paid and funded with revolver to preserve same-point cash,refinancing closes immediately before installment; no installment paid,-6.25,0,0,0,supported_or_explicit_assumption,timing_and_funding_treatment,owner_reviewed_for_phase5_testing,SRC-003,DT-009;P5A-027,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-006,6,Accrued interest through closing timestamp,3.64771875,3.64771875,USD_millions,through_2026-01-31_closing,economic cash use funded with revolver before February model,Phase 4 closing use funded once in new revolver,-3.64771875,-3.64771875,3.64771875,3.64771875,supported_or_explicit_assumption,same_point_cash_use,owner_reviewed_for_phase5_testing,SRC-001,CB-0035,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-007,7,Refinancing fees,0,10,USD_millions,2026-01-31_closing,not applicable,Phase 4 fee and legal/advisory uses funded once,0,-10,0,10,supported_or_explicit_assumption,phase4_reference_closing_use,owner_reviewed_for_phase5_testing,,CB-0038;CB-0039,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-008,8,Existing-debt payoff,0,666.25,USD_millions,2026-01-31_closing,facilities retained,Phase 4 principal payoff,0,-666.25,0,-666.25,supported_or_explicit_assumption,phase4_reference_closing_use,owner_reviewed_for_phase5_testing,SRC-001;SRC-003;SRC-021,CB-0033,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-009,9,New term funding,0,650,USD_millions,2026-01-31_closing,not applicable,Phase 4 source,0,650,0,650,supported_or_explicit_assumption,phase4_reference_closing_source,owner_reviewed_for_phase5_testing,,CB-0048,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
OB-010,10,New revolver funding,0,29.89771875,USD_millions,2026-01-31_closing,not applicable,Phase 4 residual source including accrued interest and fees,0,29.89771875,0,29.89771875,supported_or_explicit_assumption,phase4_reference_closing_source,owner_reviewed_for_phase5_testing,,CB-0050,Generated deterministically from approved Phase 4 reference inputs and Phase 5 owner-reviewed timing.,"Actual January cash, cash-flow timing, payoff letter and applicable pricing remain unavailable; the $25m cash balance is a disclosed testing assumption."
