record_id,output_file,layer,metric_or_item,value,units,source_ids,document_titles,source_urls,publication_dates,source_reference,classification,owner_review_status,notes
CC-LOW,data/phase4/raw/CLOSING_CASE_INPUTS.csv,owner_reviewed_closing_sensitivities,minimum_payoff,owner_reviewed_sensitivity_pending_closing_diligence,text,SRC-001;SRC-003;SRC-021,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement;Quanex FY2025 Q1 results release,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm;https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2025-results,2025-12-12;2024-06-13;2025-03-10,,owner_reviewed_sensitivity_pending_closing_diligence,owner_reviewed_for_phase5_testing,
CC-REF,data/phase4/raw/CLOSING_CASE_INPUTS.csv,owner_reviewed_closing_sensitivities,reference_case,owner_reviewed_sensitivity_pending_closing_diligence,text,SRC-001;SRC-003;SRC-021,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement;Quanex FY2025 Q1 results release,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm;https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2025-results,2025-12-12;2024-06-13;2025-03-10,,owner_reviewed_sensitivity_pending_closing_diligence,owner_reviewed_for_phase5_testing,
CC-HIGH,data/phase4/raw/CLOSING_CASE_INPUTS.csv,owner_reviewed_closing_sensitivities,funding_pressure,owner_reviewed_sensitivity_pending_closing_diligence,text,SRC-001;SRC-003;SRC-021,Quanex FY2025 Form 10-K;Amendment No. 1 with conformed Second Amended and Restated Credit Agreement;Quanex FY2025 Q1 results release,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm;https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm;https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2025-results,2025-12-12;2024-06-13;2025-03-10,,owner_reviewed_sensitivity_pending_closing_diligence,owner_reviewed_for_phase5_testing,
PT-001,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,borrower,Quanex Building Products Corporation,text,SRC-003,Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,2024-06-13,,supported_borrower_identity,not_applicable_existing_fact,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-002,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,term_loan_commitment_cap,650,USD_millions,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-003,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,revolver_commitment,300,USD_millions,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-004,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,permitted_use,Refinance bank borrowings; term out persistent revolver usage; preserve seasonal access; fund supported fees,text,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-005,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,participating_bank_hold_cap,50,USD_millions,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-006,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,projected_closing,2026-01-31,date,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-007,data/phase4/raw/PROPOSED_TERM_INPUTS.csv,hypothetical_term_inputs,tenor,5,years,,,,,,hypothetical_owner_reviewed_for_phase5_testing,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
