ledger_id,artifact_path,record_type,record_id,source_ids,upstream_ids,classification,review_status,source_date,cutoff_status,notes
P6L-00001,data/phase6/raw/STARTING_CHECKPOINT.csv,starting_checkpoint,owencchapman24/quanex-credit-underwriting,,,raw_governance_record,deterministic_calculation,,within_cutoff,Live remote verified before Phase 6 editing; Phase 5 baseline validations and 184 tests passed.
P6L-00002,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0001,SRC-001;SRC-002;SRC-003,SCN-001,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00003,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0002,SRC-001;SRC-002;SRC-003,SCN-002,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00004,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0003,SRC-001;SRC-002;SRC-003,SCN-003,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00005,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0004,SRC-001;SRC-002;SRC-003,SCN-004,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00006,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0005,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00007,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0006,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00008,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0007,SRC-001;SRC-002;SRC-003,SCN-009,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00009,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0008,SRC-001;SRC-002;SRC-003,SCN-006,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00010,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0009,SRC-001;SRC-002;SRC-003,SCN-005,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6L-00011,data/phase6/raw/SCENARIO_ASSUMPTIONS.csv,scenario_assumption,P6A-0010,SRC-001;SRC-002;SRC-003,SCN-003;SCN-004,raw_governance_record,inherited_owner_reviewed_phase5_testing,2025-12-12,within_cutoff,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
