term_id,instrument_name,as_of_date,term_name,value_text,numeric_value,units,status,source_ids,source_reference,conflict_group,authority_resolution,notes
DT-001,Term Loan A and Revolving Credit Facility,2025-10-31,borrower,Quanex Building Products Corporation,,text,reported,SRC-003,Conformed Credit Agreement,,,
DT-002,Term Loan A and Revolving Credit Facility,2025-10-31,guarantee_scope,Subsidiary guarantors other than excluded subsidiaries,,text,reported,SRC-003,Conformed Credit Agreement,,,
DT-003,Term Loan A and Revolving Credit Facility,2025-10-31,current_named_guarantors,Public evidence does not establish the complete post-Tyman guarantor schedule,,text,not_determinable,SRC-001;SRC-003,Conformed Credit Agreement,,,
DT-004,Term Loan A and Revolving Credit Facility,2025-10-31,security,"First-priority liens, subject to permitted liens, on substantially all loan-party assets",,text,reported,SRC-003,Conformed Credit Agreement,,,
DT-005,Term Loan A and Revolving Credit Facility,2025-10-31,collateral_scope,Substantially all domestic assets other than real property; excluded assets and foreign-equity limits apply,,text,reported,SRC-001;SRC-003,Conformed Credit Agreement,,,
DT-006,Term Loan A and Revolving Credit Facility,2025-10-31,current_perfection_and_joinders,"Exact post-Tyman joinders, pledged equity, excluded assets, and perfection",,text,not_determinable,SRC-001;SRC-003,Conformed Credit Agreement,,,
DT-007,Term Loan A,2025-10-31,original_principal,$500.0 million,500,USD_millions,reported,SRC-003,Conformed Credit Agreement,,,
DT-008,Term Loan A,2025-10-31,current_funded_principal,$468.75 million,468.75,USD_millions,reported,SRC-001;SRC-002,FY2025 Form 10-K Note 9 and FY2025 results release,,,
DT-009,Term Loan A,2025-10-31,scheduled_amortization_quarterly,1.25% of original principal / $6.25 million,6.25,USD_millions,reported,SRC-003,Conformed Credit Agreement,,,
DT-010,Term Loan A,2025-10-31,scheduled_amortization_annual,$25.0 million,25,USD_millions,calculated,SRC-003,Conformed Credit Agreement,,,Four quarterly installments of $6.25 million.
DT-011,Term Loan A,2025-10-31,maturity,"August 1, 2029",,date,reported,SRC-003,Conformed Credit Agreement,,,
DT-012,Term Loan A,2025-10-31,voluntary_prepayment,"Permitted without premium or penalty, subject to notice, minimums, and interest-period breakage",,text,reported,SRC-003,Conformed Credit Agreement,,,
DT-013,Term Loan A,2025-10-31,mandatory_prepayment,"Specified non-permitted debt and qualifying asset-sale, insurance, and condemnation proceeds, subject to exceptions and thresholds",,text,reported,SRC-003,Conformed Credit Agreement,,,
DT-014,Term Loan A and Revolving Credit Facility,2025-10-31,facility_principal_due_fy2026,$25.0 million,25,USD_millions,reported,SRC-001,FY2025 Form 10-K Note 9 debt maturity table,,,
DT-015,Term Loan A and Revolving Credit Facility,2025-10-31,facility_principal_due_fy2027,$25.0 million,25,USD_millions,reported,SRC-001,FY2025 Form 10-K Note 9 debt maturity table,,,
DT-016,Term Loan A and Revolving Credit Facility,2025-10-31,facility_principal_due_fy2028,$25.0 million,25,USD_millions,reported,SRC-001,FY2025 Form 10-K Note 9 debt maturity table,,,
DT-017,Term Loan A and Revolving Credit Facility,2025-10-31,facility_principal_due_fy2029,$566.25 million,566.25,USD_millions,reported,SRC-001,FY2025 Form 10-K Note 9 debt maturity table,,,Includes current revolver usage and the Term A balloon; revolver usage can change.
DT-018,Revolving Credit Facility,2025-10-31,total_commitment,$475.0 million,475,USD_millions,reported,SRC-003,Conformed Credit Agreement,,,
DT-019,Revolving Credit Facility,2025-10-31,current_funded_principal,$172.5 million,172.5,USD_millions,reported,SRC-001;SRC-002,FY2025 Form 10-K Note 9 and FY2025 results release,,,
DT-020,Revolving Credit Facility,2025-10-31,letters_of_credit_outstanding,$6.2 million,6.2,USD_millions,reported,SRC-001,FY2025 Form 10-K Note 9,,,
DT-021,Revolving Credit Facility,2025-10-31,availability,$296.3 million,296.3,USD_millions,calculated,SRC-001;SRC-003,Conformed Credit Agreement,,,$475.0m commitment less $172.5m borrowings and $6.2m letters of credit.
DT-022,Revolving Credit Facility,2025-10-31,maturity,"August 1, 2029",,date,reported,SRC-003,Conformed Credit Agreement,,,
DT-023,Revolving Credit Facility,2025-10-31,alternative_currency_sublimit,$100.0 million,100,USD_millions,reported,SRC-003,Conformed Credit Agreement,,,
DT-024,Revolving Credit Facility,2025-10-31,letter_of_credit_sublimit,$30.0 million,30,USD_millions,reported,SRC-003,Conformed Credit Agreement,,,
DT-025,Revolving Credit Facility,2025-10-31,swingline_sublimit,$15.0 million,15,USD_millions,reported,SRC-003,Conformed Credit Agreement,,,
