assumption_id,category,description,value,unit,classification,source_or_ids,rationale,sensitivity_role,limitation,review_status
P9A-001,recovery_date,primary recovery-analysis date,2027-12-31,date,calculated,STR-008;SEVERE_UNMITIGATED,First mandatory cash-interest failure in the selected severe continued-draw path.,primary_date,First mandatory cash-interest failure in the selected severe continued-draw path.,owner_reviewed
P9A-002,scenario,primary recovery scenario,SEVERE_UNMITIGATED,identifier,calculated,P7SC-STR-008-SEVERE_UNMITIGATED,Selected severe unmitigated proposed structure; not the Base case.,primary_date,Selected severe unmitigated proposed structure; not the Base case.,owner_reviewed
P9A-003,claim,term principal at recovery date,551.65625,USD_millions,calculated,Phase 7 selected monthly path,Ending term principal at the first mandatory-payment failure date.,both,Ending term principal at the first mandatory-payment failure date.,approved_upstream_calculation
P9A-004,claim,revolver principal at recovery date,293.8,USD_millions,calculated,Phase 7 selected monthly path,Ending revolver principal at the first mandatory-payment failure date.,both,Ending revolver principal at the first mandatory-payment failure date.,approved_upstream_calculation
P9A-005,claim,unpaid cash interest at recovery date,5.39512953595644479781130965,USD_millions,calculated,Phase 7 selected monthly path,Cash-interest shortfall in the first mandatory-payment failure month.,both,Cash-interest shortfall in the first mandatory-payment failure month.,owner_reviewed
P9A-006,claim,retained finance lease and other funded obligations,62.619,USD_millions,calculated,P5A-032,"Retained funded obligations included in the sensitivity; ranking, collateral priority, entity allocation and enforceability remain not determinable.",both,"Retained funded obligations included in the sensitivity; ranking, collateral priority, entity allocation and enforceability remain not determinable.",owner_reviewed
P9A-007,earnings,stressed TTM lender-base EBITDA,130.3558835302512783028345627,USD_millions,calculated,Phase 7 selected monthly path,Stress-date TTM lender EBITDA; not contractual EBITDA or a compliance certificate.,going_concern,Stress-date TTM lender EBITDA; not contractual EBITDA or a compliance certificate.,owner_reviewed
P9A-008,going_concern,low going-concern multiple,3,turns,proposed_assumption,P9D-003,Continued-operation enterprise-value sensitivity; no market evidence is asserted and a sale versus restructuring path is not selected.,going_concern_low,Continued-operation enterprise-value sensitivity; no market evidence is asserted and a sale versus restructuring path is not selected.,owner_reviewed
P9A-009,going_concern,base going-concern multiple,4,turns,proposed_assumption,P9D-003,Continued-operation enterprise-value sensitivity; no market evidence is asserted and a sale versus restructuring path is not selected.,going_concern_base,Continued-operation enterprise-value sensitivity; no market evidence is asserted and a sale versus restructuring path is not selected.,owner_reviewed
P9A-010,going_concern,high going-concern multiple,5,turns,proposed_assumption,P9D-003,Continued-operation enterprise-value sensitivity; no market evidence is asserted and a sale versus restructuring path is not selected.,going_concern_high,Continued-operation enterprise-value sensitivity; no market evidence is asserted and a sale versus restructuring path is not selected.,owner_reviewed
