ledger_id,source_path,source_type,source_date,phase9_use,input_signature,cutoff_status,review_status,limitations
P9L-001,data/phase2/processed/historical_spread.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",c0045e0c7cb204402ca98f94dbb8441daa0cd7e06221ed6e9203386f0b219fd9,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-002,data/phase2/processed/adjustment_decisions.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",233bbee03bf120551b1aa015b9867b2797062c02759dcec6d17dcba1ab237cbd,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-003,data/phase3/processed/RISK_DRIVER_MAP.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",be301cdfa8f1ed86493fe1341136f71cff9eb73556a3a7d4b49313fbc366d1ec,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-004,data/phase3/processed/INFORMATION_GAPS.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",35bf059935104e80b0fa1b4bd424c03d4b5135092c9f9cf5399a83b4cf6efab3,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-005,data/phase4/processed/LEGAL_STRUCTURE_REGISTER.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",3916f4dc4eb933f53d0dfae13683188b09c17a09c8105aea519d43a5b018d025,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-006,data/phase5/processed/BASE_CASE_CREDIT_METRICS.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",0f90a4a0d0a9f839a1df1f8e462eb623032b069ff7031c472c3713ea7c076ce8,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-007,data/phase6/processed/SCENARIO_RESULTS.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",e8d9ab51cd3293b4aa9585210f03bade596d874ea50e0cc09b2972a3a06f5875,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-008,data/phase7/processed/STRUCTURE_COMPARISON.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",1855871fd0bb74adb0970ef11f78c6d8b7dcafb18a499285228c194d250a5937,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-009,data/phase7/processed/BREACH_INTERVENTION_TIMELINE.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",580248335d21b509e7478e8eb7ead97a0cec071a6072e1c0c9fd20f6492d0f82,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-010,data/phase7/processed/ULTIMATE_MATURITY_COMPARISON.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",63dab1bf62a979ae185a7db094bd23eb83f35970e6d3863520c67fb3d6b6d230,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-011,data/phase8/processed/FORMULA_PARITY_RESULTS.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",4d81ff7a250356322f8eee3a12c5d51f4561b5c41b9929671a0ae2d78ea09829,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
P9L-012,docs/phase-0/EVIDENCE_INVENTORY.csv,approved_prior_phase_artifact,2025-12-15_or_earlier,"recovery exposure, book-value reference, risk assessment, monitoring, or control",176a1fa5a4817969f79d7d99142d16d9413b66cf51c23324da1c5693a444555f,within_cutoff,approved_upstream,"Use retains the classifications, dates and limitations in the source artifact."
