record_id,category,metric_name,fiscal_year,period_start,period_end,period_type,original_value,original_units,normalized_value,normalized_units,source_id,source_reference,classification,notes
S2R-0001,balance_sheet,total_assets,FY2021,,2021-10-31,instant,717323,USD_thousands,717.323,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Balance Sheets, p. 35",reported_supplemental_extract,
S2R-0002,balance_sheet,total_liabilities,FY2021,,2021-10-31,instant,297541,USD_thousands,297.541,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Balance Sheets, p. 35",reported_supplemental_extract,
S2R-0003,balance_sheet,shareholders_equity,FY2021,,2021-10-31,instant,419782,USD_thousands,419.782,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Balance Sheets, p. 35",reported_supplemental_extract,
S2R-0004,balance_sheet,total_assets,FY2022,,2022-10-31,instant,724617,USD_thousands,724.617,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Balance Sheets, p. 35",reported_supplemental_extract,
S2R-0005,balance_sheet,total_liabilities,FY2022,,2022-10-31,instant,259782,USD_thousands,259.782,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Balance Sheets, p. 35",reported_supplemental_extract,
S2R-0006,balance_sheet,shareholders_equity,FY2022,,2022-10-31,instant,464835,USD_thousands,464.835,USD_millions,SRC-014,"FY2022 Form 10-K, Consolidated Balance Sheets, p. 35",reported_supplemental_extract,
S2R-0007,balance_sheet,total_assets,FY2023,,2023-10-31,instant,831143,USD_thousands,831.143,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Balance Sheets, p. 40",reported_supplemental_extract,
S2R-0008,balance_sheet,total_liabilities,FY2023,,2023-10-31,instant,285589,USD_thousands,285.589,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Balance Sheets, p. 40",reported_supplemental_extract,
S2R-0009,balance_sheet,shareholders_equity,FY2023,,2023-10-31,instant,545554,USD_thousands,545.554,USD_millions,SRC-012,"FY2024 Form 10-K, Consolidated Balance Sheets, p. 40",reported_supplemental_extract,
S2R-0010,balance_sheet,total_assets,FY2024,,2024-10-31,instant,2319788,USD_thousands,2319.788,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Balance Sheets, p. 42",reported_supplemental_extract,
S2R-0011,balance_sheet,total_liabilities,FY2024,,2024-10-31,instant,1309042,USD_thousands,1309.042,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Balance Sheets, p. 42",reported_supplemental_extract,
S2R-0012,balance_sheet,shareholders_equity,FY2024,,2024-10-31,instant,1010746,USD_thousands,1010.746,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Balance Sheets, p. 42",reported_supplemental_extract,
S2R-0013,balance_sheet,total_assets,FY2025,,2025-10-31,instant,1968233,USD_thousands,1968.233,USD_millions,SRC-001,"FY2025 Form 10-K, Consolidated Balance Sheets, p. 42",reported_supplemental_extract,
