scenario_assumption_id,scenario_id,driver_id,shock_name,base_value,shock_value,units,start_period,end_period,plateau_quarters,recovery_quarters,recovery_pattern,affected_lines,transmission_method,cash_or_noncash,double_counting_control,review_status,source_ids,upstream_ids,limitations
P6A-0001,BASE,DRV-001,volume_vs_base,0,0,percent,not_applicable,not_applicable,0,0,none,revenue,Multiply Phase 5 revenue by one plus the scenario volume shock.,operating,Do not apply a separate EBITDA percentage shock.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-001,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0002,BASE,DRV-003,gross_margin_vs_base,0,0,basis_points,not_applicable,not_applicable,0,0,none,gross_profit;lender_base_ebitda,Apply to Phase 5 gross margin; EBITDA remains gross profit less cash operating expenses.,operating,Includes fixed-cost deleverage and execution disruption; no second opex penalty.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-002,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0003,BASE,DRV-005,dso_vs_base,0,0,days,not_applicable,not_applicable,0,0,none,accounts_receivable;working_capital_cash_flow,Recalculate receivables from stressed TTM revenue and DSO.,cash,No blanket working-capital shock.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-003,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0004,BASE,DRV-005,dio_vs_base,0,0,days,not_applicable,not_applicable,0,0,none,inventory;working_capital_cash_flow,Recalculate inventory from stressed TTM cost of sales and DIO.,cash,No second inventory cash plug.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-004,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0005,BASE,DRV-013,accounts_payable_ratio_vs_base,0,0,basis_points,not_applicable,not_applicable,0,0,none,accounts_payable;working_capital_cash_flow,Adjust the explicitly labeled AP-to-cost-of-sales balance relationship.,cash,This is not DPO and cost of sales is not called purchases.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0006,BASE,DRV-013,other_current_assets_ratio_vs_base,0,0,basis_points,not_applicable,not_applicable,0,0,none,other_operating_current_assets;working_capital_cash_flow,Adjust the separate other-current-assets-to-revenue relationship.,cash,Kept separate from receivables and the AP relationship.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0007,BASE,DRV-013,other_current_liabilities_ratio_vs_base,0,0,basis_points,not_applicable,not_applicable,0,0,none,other_operating_current_liabilities;working_capital_cash_flow,Adjust the separate other-current-liabilities-to-revenue relationship.,cash,Kept separate from payables and no funding plug is used.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0008,BASE,DRV-012,floating_rate_vs_base,0,0,basis_points,not_applicable,not_applicable,0,0,none,cash_interest;revolver;liquidity,Add once to the modeled all-in rate and recalculate interest on average endogenous debt.,cash,Do not also change the Phase 5 base-rate or spread inputs.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-006,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0009,BASE,DRV-007,additional_remediation_cash,0,0,USD_millions,not_applicable,not_applicable,0,0,none,other_operating_cash_uses;cfads,Spread the proposed cash-only amount across the initial stressed quarters.,cash,Gross-margin stress contains the operating effect; this amount is not deducted from EBITDA.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-005,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0010,BASE,DRV-005,monthly_timing_pattern,equal thirds,equal_thirds,allocation_pattern,not_applicable,not_applicable,0,0,none,monthly cash flow;liquidity,Delay stressed-quarter cash generation within the quarter and preserve the quarterly total.,cash,Quarterly values reconcile exactly; the pattern is not asserted actual seasonality.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-003;SCN-004,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0011,BASE,DRV-010,distribution_treatment,Phase 5 selected policy,no,status,not_applicable,not_applicable,0,0,none,dividends;share_repurchases;revolver,Retain base distributions in unmitigated cases and apply dated actions only in mitigated cases.,cash,No reduction is embedded in unmitigated stress.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,SCN-007,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0012,BASE,DRV-012,drawability_convention,continued analytical drawability,no,status,not_applicable,not_applicable,0,0,none,usable_revolver_availability;cash_shortfall,"For proposed no-waiver paths only, shut off unused capacity from the month after first analytical failure.",cash,Stress convention only; existing facilities receive analytical warnings without shutoff.,inherited_owner_reviewed_phase5_testing,SRC-001;SRC-002;SRC-003,GAP-005;GAP-006,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0013,MODERATE_UNMITIGATED,DRV-001,volume_vs_base,0,-6.5,percent,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,revenue,Multiply Phase 5 revenue by one plus the scenario volume shock.,operating,Do not apply a separate EBITDA percentage shock.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-001,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0014,MODERATE_UNMITIGATED,DRV-003,gross_margin_vs_base,0,-200,basis_points,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,gross_profit;lender_base_ebitda,Apply to Phase 5 gross margin; EBITDA remains gross profit less cash operating expenses.,operating,Includes fixed-cost deleverage and execution disruption; no second opex penalty.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-002,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0015,MODERATE_UNMITIGATED,DRV-005,dso_vs_base,0,5,days,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,accounts_receivable;working_capital_cash_flow,Recalculate receivables from stressed TTM revenue and DSO.,cash,No blanket working-capital shock.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-003,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0016,MODERATE_UNMITIGATED,DRV-005,dio_vs_base,0,10,days,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,inventory;working_capital_cash_flow,Recalculate inventory from stressed TTM cost of sales and DIO.,cash,No second inventory cash plug.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-004,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0017,MODERATE_UNMITIGATED,DRV-013,accounts_payable_ratio_vs_base,0,-50,basis_points,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,accounts_payable;working_capital_cash_flow,Adjust the explicitly labeled AP-to-cost-of-sales balance relationship.,cash,This is not DPO and cost of sales is not called purchases.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0018,MODERATE_UNMITIGATED,DRV-013,other_current_assets_ratio_vs_base,0,25,basis_points,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,other_operating_current_assets;working_capital_cash_flow,Adjust the separate other-current-assets-to-revenue relationship.,cash,Kept separate from receivables and the AP relationship.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0019,MODERATE_UNMITIGATED,DRV-013,other_current_liabilities_ratio_vs_base,0,-25,basis_points,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,other_operating_current_liabilities;working_capital_cash_flow,Adjust the separate other-current-liabilities-to-revenue relationship.,cash,Kept separate from payables and no funding plug is used.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0020,MODERATE_UNMITIGATED,DRV-012,floating_rate_vs_base,0,100,basis_points,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,cash_interest;revolver;liquidity,Add once to the modeled all-in rate and recalculate interest on average endogenous debt.,cash,Do not also change the Phase 5 base-rate or spread inputs.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-006,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0021,MODERATE_UNMITIGATED,DRV-007,additional_remediation_cash,0,3,USD_millions,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,other_operating_cash_uses;cfads,Spread the proposed cash-only amount across the initial stressed quarters.,cash,Gross-margin stress contains the operating effect; this amount is not deducted from EBITDA.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-005,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0022,MODERATE_UNMITIGATED,DRV-005,monthly_timing_pattern,equal thirds,20%_30%_50%,allocation_pattern,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,monthly cash flow;liquidity,Delay stressed-quarter cash generation within the quarter and preserve the quarterly total.,cash,Quarterly values reconcile exactly; the pattern is not asserted actual seasonality.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-003;SCN-004,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0023,MODERATE_UNMITIGATED,DRV-010,distribution_treatment,Phase 5 selected policy,no,status,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,dividends;share_repurchases;revolver,Retain base distributions in unmitigated cases and apply dated actions only in mitigated cases.,cash,No reduction is embedded in unmitigated stress.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-007,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0024,MODERATE_UNMITIGATED,DRV-012,drawability_convention,continued analytical drawability,no,status,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,usable_revolver_availability;cash_shortfall,"For proposed no-waiver paths only, shut off unused capacity from the month after first analytical failure.",cash,Stress convention only; existing facilities receive analytical warnings without shutoff.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,GAP-005;GAP-006,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0025,SEVERE_UNMITIGATED,DRV-001,volume_vs_base,0,-15,percent,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,revenue,Multiply Phase 5 revenue by one plus the scenario volume shock.,operating,Do not apply a separate EBITDA percentage shock.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-001,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0026,SEVERE_UNMITIGATED,DRV-003,gross_margin_vs_base,0,-375,basis_points,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,gross_profit;lender_base_ebitda,Apply to Phase 5 gross margin; EBITDA remains gross profit less cash operating expenses.,operating,Includes fixed-cost deleverage and execution disruption; no second opex penalty.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-002,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0027,SEVERE_UNMITIGATED,DRV-005,dso_vs_base,0,15,days,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,accounts_receivable;working_capital_cash_flow,Recalculate receivables from stressed TTM revenue and DSO.,cash,No blanket working-capital shock.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-003,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0028,SEVERE_UNMITIGATED,DRV-005,dio_vs_base,0,25,days,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,inventory;working_capital_cash_flow,Recalculate inventory from stressed TTM cost of sales and DIO.,cash,No second inventory cash plug.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-004,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0029,SEVERE_UNMITIGATED,DRV-013,accounts_payable_ratio_vs_base,0,-100,basis_points,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,accounts_payable;working_capital_cash_flow,Adjust the explicitly labeled AP-to-cost-of-sales balance relationship.,cash,This is not DPO and cost of sales is not called purchases.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0030,SEVERE_UNMITIGATED,DRV-013,other_current_assets_ratio_vs_base,0,50,basis_points,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,other_operating_current_assets;working_capital_cash_flow,Adjust the separate other-current-assets-to-revenue relationship.,cash,Kept separate from receivables and the AP relationship.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0031,SEVERE_UNMITIGATED,DRV-013,other_current_liabilities_ratio_vs_base,0,-50,basis_points,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,other_operating_current_liabilities;working_capital_cash_flow,Adjust the separate other-current-liabilities-to-revenue relationship.,cash,Kept separate from payables and no funding plug is used.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0032,SEVERE_UNMITIGATED,DRV-012,floating_rate_vs_base,0,200,basis_points,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,cash_interest;revolver;liquidity,Add once to the modeled all-in rate and recalculate interest on average endogenous debt.,cash,Do not also change the Phase 5 base-rate or spread inputs.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-006,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0033,SEVERE_UNMITIGATED,DRV-007,additional_remediation_cash,0,10,USD_millions,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,other_operating_cash_uses;cfads,Spread the proposed cash-only amount across the initial stressed quarters.,cash,Gross-margin stress contains the operating effect; this amount is not deducted from EBITDA.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-005,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0034,SEVERE_UNMITIGATED,DRV-005,monthly_timing_pattern,equal thirds,10%_25%_65%,allocation_pattern,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,monthly cash flow;liquidity,Delay stressed-quarter cash generation within the quarter and preserve the quarterly total.,cash,Quarterly values reconcile exactly; the pattern is not asserted actual seasonality.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-003;SCN-004,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0035,SEVERE_UNMITIGATED,DRV-010,distribution_treatment,Phase 5 selected policy,no,status,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,dividends;share_repurchases;revolver,Retain base distributions in unmitigated cases and apply dated actions only in mitigated cases.,cash,No reduction is embedded in unmitigated stress.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-007,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0036,SEVERE_UNMITIGATED,DRV-012,drawability_convention,continued analytical drawability,no,status,FY2026_Q2,FY2028_Q1_plateau_then_FY2028_Q2_FY2029_Q1_recovery,8,4,linear_to_zero_after_plateau,usable_revolver_availability;cash_shortfall,"For proposed no-waiver paths only, shut off unused capacity from the month after first analytical failure.",cash,Stress convention only; existing facilities receive analytical warnings without shutoff.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,GAP-005;GAP-006,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0037,MODERATE_MITIGATED,DRV-001,volume_vs_base,0,-6.5,percent,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,revenue,Multiply Phase 5 revenue by one plus the scenario volume shock.,operating,Do not apply a separate EBITDA percentage shock.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-001,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0038,MODERATE_MITIGATED,DRV-003,gross_margin_vs_base,0,-200,basis_points,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,gross_profit;lender_base_ebitda,Apply to Phase 5 gross margin; EBITDA remains gross profit less cash operating expenses.,operating,Includes fixed-cost deleverage and execution disruption; no second opex penalty.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-002,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0039,MODERATE_MITIGATED,DRV-005,dso_vs_base,0,5,days,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,accounts_receivable;working_capital_cash_flow,Recalculate receivables from stressed TTM revenue and DSO.,cash,No blanket working-capital shock.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-003,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0040,MODERATE_MITIGATED,DRV-005,dio_vs_base,0,10,days,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,inventory;working_capital_cash_flow,Recalculate inventory from stressed TTM cost of sales and DIO.,cash,No second inventory cash plug.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-004,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0041,MODERATE_MITIGATED,DRV-013,accounts_payable_ratio_vs_base,0,-50,basis_points,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,accounts_payable;working_capital_cash_flow,Adjust the explicitly labeled AP-to-cost-of-sales balance relationship.,cash,This is not DPO and cost of sales is not called purchases.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0042,MODERATE_MITIGATED,DRV-013,other_current_assets_ratio_vs_base,0,25,basis_points,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,other_operating_current_assets;working_capital_cash_flow,Adjust the separate other-current-assets-to-revenue relationship.,cash,Kept separate from receivables and the AP relationship.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
P6A-0043,MODERATE_MITIGATED,DRV-013,other_current_liabilities_ratio_vs_base,0,-25,basis_points,FY2026_Q2,FY2027_Q1_plateau_then_FY2027_Q2_Q4_recovery,4,3,linear_to_zero_after_plateau,other_operating_current_liabilities;working_capital_cash_flow,Adjust the separate other-current-liabilities-to-revenue relationship.,cash,Kept separate from payables and no funding plug is used.,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SCN-009,"Owner reviewed the exact stress point, timing, recovery, distribution treatment and drawability convention for Phase 6 analytical testing only. These are not management forecasts, contractual conclusions or final loan terms."
