assumption_id,driver_id,forecast_line,units,proposed_low,proposed_high,proposed_direction_or_range,starting_historical_reference,evidence_ids,source_ids,assumption_role,forecast_override_permitted,calculation_method,rationale,confidence,alternative_interpretation,information_gap,status,owner_review_status
ASM-001,DRV-001,underlying_volume,percent,-2,1,-2% to +1% year over year,"FY2024 legacy -5.0%; FY2025 ex-Tyman Q2 -1.4%, Q3 +1.4%, Q4 total -0.5%",EVD-0114;EVD-0116;EVD-0118;EVD-0120;EVD-0099,SRC-001;SRC-020;SRC-016;SRC-022;SRC-002;SRC-023;SRC-024;SRC-025,primary_forecast_input,only_after_periodization,Apply segment-level volume only after perimeter is fixed.,Soft indicators and borrower commentary do not support a rebound assumption.,medium,"Remodeling nominal spend remains positive, but may not translate to units.",No full-year organic bridge by current segment.,owner_reviewed_range,owner_reviewed
ASM-002,DRV-002,price_and_mix,percent,0,1,0% to +1%,FY2025 Q3 tariff/pricing pass-through offset lower volume,EVD-0009;EVD-0008;EVD-0099,SRC-001;SRC-018;SRC-022;SRC-002,primary_forecast_input,only_after_periodization,Separate unit volume from price/mix.,Allows modest recovery without treating pass-through as organic units.,low_to_medium,Price could be negative where indexed input costs fall.,Customer-level index coverage and tariff bridge missing.,owner_reviewed_range,owner_reviewed
ASM-003,DRV-003,gross_margin,percent,26,28,26% to 28%,FY2025 annual 27.2%; quarterly 23.1%-29.0%,EVD-0007;EVD-0101;EVD-0013,SRC-001;SRC-017;SRC-018;SRC-019;SRC-020;SRC-002,primary_forecast_input,only_after_periodization,Apply to revenue after volume/price; range contains the annual result below the peak.,Recognizes Q1 seasonality and uncertain integration benefit.,medium,A segment build may produce a different consolidated range.,Plant-level and segment cost bridges missing.,owner_reviewed_range,owner_reviewed
ASM-004,DRV-003,calculated_lender_normalized_ebitda_margin_validation,percent,12,13,12% to 13% validation band,FY2025 Phase 2 lender-base margin 12.26%; company-adjusted margin 13.22%,EVD-0007;EVD-0101;EVD-0013,SRC-001;SRC-017;SRC-018;SRC-019;SRC-020;SRC-002,validation_band,no,"Calculate EBITDA from revenue, gross margin, operating expenses and accepted adjustments; compare the result with this band and flag any result outside it.",The band is a reasonableness check and cannot override the authoritative operating build.,medium,A supported operating build may fall outside the band and must be escalated rather than forced back inside it.,No post-integration through-cycle history.,owner_reviewed_methodology,owner_reviewed
ASM-005,DRV-005,days_sales_outstanding,days,40,43,40 to 43 days,FY2024 42.25; FY2025 40.03,EVD-0103;EVD-0005,SRC-001;SRC-017;SRC-018;SRC-019;SRC-020;SRC-021;SRC-016;SRC-022;SRC-002,primary_forecast_input,only_after_periodization,Use average-balance convention consistent with Phase 2.,Keeps the base inside observed mixed/post-Tyman values.,medium,Customer/mix changes may alter the stable level.,Only two acquisition-affected annual observations.,owner_reviewed_range,owner_reviewed
ASM-006,DRV-005,days_inventory_outstanding,days,70,75,70 to 75 days,FY2024 70.30; FY2025 72.22,EVD-0103;EVD-0005,SRC-001;SRC-017;SRC-018;SRC-019;SRC-020;SRC-021;SRC-016;SRC-022;SRC-002,primary_forecast_input,only_after_periodization,Use cost-of-sales denominator and average inventory.,Does not assume the FY2025 inventory cash release repeats.,medium,Stabilization could normalize inventory below 70.,Purchase and safety-stock detail missing.,owner_reviewed_range,owner_reviewed
ASM-007,DRV-006,capital_expenditures_as_percent_of_revenue,percent,3,4,"3% to 4% of revenue, subject to maintenance floor",FY2025 3.41%; FY2024 2.90%,EVD-0013,SRC-001,provisional_total_capex_input,only_after_periodization,Apply to revenue only until category schedule is obtained.,Anchors to reported total capex without calling all spend maintenance.,low,Integration spend could fall after stabilization.,Maintenance/expansion/integration split missing.,owner_reviewed_range,owner_reviewed
ASM-008,DRV-004,incremental_unrealized_synergies,USD_millions,0,0,$0 base credit; $15m company/high claim tracked separately,Management: $30m realized; path to $45m,EVD-0100;EVD-0101;EVD-0105,SRC-001;SRC-002;SRC-022,normalization_constraint,only_after_periodization,Exclude unrealized synergy from base EBITDA; monitor realization outside forecast until approved.,Impairment and plant issues require realized evidence.,high,Verified run-rate savings could later enter base.,"Timing, cost-to-achieve and duplicate savings bridge missing.",owner_reviewed_range,owner_reviewed
ASM-009,DRV-007,restructuring_cash_payments,USD_millions,0.7,,At least $0.7m known accrual; upper amount pending,$0.7m workforce accrual at FY2025 year-end; additional charges possible,EVD-0107;EVD-0102,SRC-001;SRC-002,minimum_cash_requirement,only_after_periodization,Enter known cash need; do not invent an upper bound.,Only disclosed residual is certain.,low,Some accrual may pay later or be offset.,Cash timing and future program scope missing.,owner_reviewed_range,owner_reviewed
ASM-010,DRV-010,share_repurchases,USD_millions,0,10,$0-$10m owner-reviewed financial-policy range; not a fixed forecast,FY2025 repurchases $32.360m,EVD-0104,SRC-001;SRC-002,financial_policy_range,only_after_periodization,Separate discretionary distributions from operations and retain the selected amount in both unmitigated downside cases.,Phase 4 must determine proposed-facility restrictions; the existing-financing alternative cannot assume restraint without support.,low,A later owner decision may set zero until a leverage threshold is met.,No binding prospective policy or Phase 4 restriction is established.,owner_reviewed_range,owner_reviewed
