metric_id,fiscal_year,metric_name,numerator,denominator,value,display_value,units,status,failure_flag,source_ids,input_ids,calculation,comparability_note,notes
S2M-0001,FY2021,revenue_growth,,,,N/D,percent,not_determinable,MISSING_PRIOR_YEAR,,,current revenue / prior revenue - 1,pre_tyman,FY2020 is outside the approved five-year spread.
S2M-0002,FY2021,gross_margin,240.608,1072.149,22.44165689656941339310114546,22.44165689656941339310114546,percent,calculated,,,,gross profit / revenue,pre_tyman,
S2M-0003,FY2021,operating_margin,81.87,1072.149,7.6360655095513776536656752,7.6360655095513776536656752,percent,calculated,,,,operating income / revenue,pre_tyman,
S2M-0004,FY2021,unadjusted_ebitda_margin,124.602,1072.149,11.62170556517797433006046734,11.62170556517797433006046734,percent,calculated,,,,unadjusted EBITDA / revenue,pre_tyman,
S2M-0005,FY2021,company_adjusted_ebitda_margin,,1072.149,,N/D,percent,not_determinable,MISSING_INPUT,,,company-adjusted EBITDA / revenue,pre_tyman,
S2M-0006,FY2021,provisional_lender_normalized_ebitda_margin,124.602,1072.149,11.62170556517797433006046734,11.62170556517797433006046734,percent,calculated,,,,provisional lender-normalized EBITDA / revenue,pre_tyman,Uses owner-reviewed lender-base judgments; not contractual EBITDA or a covenant calculation.
S2M-0007,FY2021,cash_flow_from_operations,78.588,,78.588,78.588,USD_millions,reported,,SRC-014,,reported CFO; includes cash interest,pre_tyman,
S2M-0008,FY2021,free_cash_flow,54.58,,54.58,54.58,USD_millions,calculated,,,,CFO + normalized negative capital expenditures,pre_tyman,Cash interest is already included in CFO and is not subtracted again.
S2M-0009,FY2021,cfo_to_unadjusted_ebitda,78.588,124.602,63.07121876053353878749939808,63.07121876053353878749939808,percent,calculated,,,,CFO / unadjusted EBITDA,pre_tyman,
S2M-0010,FY2021,fcf_to_unadjusted_ebitda,54.58,124.602,43.80347024927368742074766055,43.80347024927368742074766055,percent,calculated,,,,FCF / unadjusted EBITDA,pre_tyman,
S2M-0011,FY2021,cfo_to_company_adjusted_ebitda,78.588,,,N/D,percent,not_determinable,MISSING_INPUT,,,CFO / company_adjusted EBITDA,pre_tyman,
S2M-0012,FY2021,fcf_to_company_adjusted_ebitda,54.58,,,N/D,percent,not_determinable,MISSING_INPUT,,,FCF / company_adjusted EBITDA,pre_tyman,
S2M-0013,FY2021,cfo_to_provisional_lender_normalized_ebitda,78.588,124.602,63.07121876053353878749939808,63.07121876053353878749939808,percent,calculated,,,,CFO / provisional_lender_normalized EBITDA,pre_tyman,
S2M-0014,FY2021,fcf_to_provisional_lender_normalized_ebitda,54.58,124.602,43.80347024927368742074766055,43.80347024927368742074766055,percent,calculated,,,,FCF / provisional_lender_normalized EBITDA,pre_tyman,
S2M-0015,FY2021,cfo_to_gross_funded_debt,78.588,53.537,146.7919382856715916095410651,146.7919382856715916095410651,percent,calculated,,,,CFO / gross funded principal,pre_tyman,
S2M-0016,FY2021,fcf_to_gross_funded_debt,54.58,53.537,101.9481853671292750807852513,101.9481853671292750807852513,percent,calculated,,,,FCF / gross funded principal,pre_tyman,
S2M-0017,FY2021,gross_funded_debt_to_unadjusted_ebitda,53.537,124.602,0.4296640503362706858637903083,0.4296640503362706858637903083,turns,calculated,,,,gross funded principal / unadjusted EBITDA,pre_tyman,
S2M-0018,FY2021,gross_funded_debt_to_company_adjusted_ebitda,53.537,,,N/D,turns,not_determinable,MISSING_INPUT,,,gross funded principal / company_adjusted EBITDA,pre_tyman,
S2M-0019,FY2021,gross_funded_debt_to_provisional_lender_normalized_ebitda,53.537,124.602,0.4296640503362706858637903083,0.4296640503362706858637903083,turns,calculated,,,,gross funded principal / provisional_lender_normalized EBITDA,pre_tyman,
S2M-0020,FY2021,net_debt_book_cash_comparable,13.476,,13.476,13.476,USD_millions,calculated,,,,gross funded principal - book cash,pre_tyman,Not contractual net debt; book cash may be inaccessible or ineligible.
S2M-0021,FY2021,net_debt_book_cash_to_provisional_lender_ebitda,13.476,124.602,0.108152357105022391293879713,0.108152357105022391293879713,turns,calculated,,,,(gross funded principal - book cash) / provisional lender EBITDA,pre_tyman,Not the credit-agreement numerator; eligible cash is not public.
S2M-0022,FY2021,provisional_lender_ebitda_to_interest_expense_proxy,124.602,2.53,49.24980237154150197628458498,49.24980237154150197628458498,turns,calculated,,,,provisional lender EBITDA / GAAP interest expense,pre_tyman,Proxy only; contractual paid-or-payable and closing-LTM cash interest are unavailable. The separately disclosed historical cash-paid amount is presented in its own diagnostic.
S2M-0023,FY2021,ebitda_to_cash_interest,124.602,,,N/D,turns,not_determinable,MISSING_CASH_INTEREST,,,EBITDA / contractual cash interest paid or payable,pre_tyman,Contractual paid-or-payable and closing-LTM cash interest remain unavailable; the separately disclosed historical cash-paid amount is not substituted for this measure.
S2M-0024,FY2021,current_ratio,249.047,158.001,1.576236859260384427946658565,1.576236859260384427946658565,turns,calculated,,,,current assets / current liabilities,pre_tyman,
S2M-0025,FY2021,quick_ratio,148.37,158.001,0.9390446895905722115682812134,0.9390446895905722115682812134,turns,calculated,,,,(cash and cash equivalents + accounts receivable) / current liabilities,pre_tyman,"Restricted cash, inventory, tax receivables, and prepaids are excluded."
S2M-0026,FY2021,days_sales_outstanding,,,,N/D,days,not_determinable,MISSING_OPENING_BALANCE,,,average accounts receivable / revenue * actual fiscal days,pre_tyman,FY2020 opening balance is outside the approved foundation.
S2M-0027,FY2021,days_inventory_outstanding,,,,N/D,days,not_determinable,MISSING_OPENING_BALANCE,,,average inventory / cost of sales excluding D&A * actual fiscal days,pre_tyman,FY2020 opening balance is outside the approved foundation.
S2M-0028,FY2021,days_payables_outstanding,86.765,,,N/D,days,not_determinable,MISSING_PURCHASES_DENOMINATOR,,,average accounts payable / purchases * actual fiscal days,pre_tyman,Purchases are not in the approved evidence; revenue or cost of sales is not substituted.
S2M-0029,FY2022,revenue_growth,149.353,1072.149,13.93024663549562607436093304,13.93024663549562607436093304,percent,calculated,,,,(current revenue - prior revenue) / prior revenue,pre_tyman,FY2023 includes LMI; FY2024-FY2025 growth is acquisition-distorted and is not organic growth.
S2M-0030,FY2022,gross_margin,268.498,1221.502,21.98097096852890949011954135,21.98097096852890949011954135,percent,calculated,,,,gross profit / revenue,pre_tyman,
S2M-0031,FY2022,operating_margin,111.281,1221.502,9.110177470032795689241605826,9.110177470032795689241605826,percent,calculated,,,,operating income / revenue,pre_tyman,
S2M-0032,FY2022,unadjusted_ebitda_margin,151.39,1221.502,12.39375784894335007228805192,12.39375784894335007228805192,percent,calculated,,,,unadjusted EBITDA / revenue,pre_tyman,
S2M-0033,FY2022,company_adjusted_ebitda_margin,,1221.502,,N/D,percent,not_determinable,MISSING_INPUT,,,company-adjusted EBITDA / revenue,pre_tyman,
S2M-0034,FY2022,provisional_lender_normalized_ebitda_margin,151.39,1221.502,12.39375784894335007228805192,12.39375784894335007228805192,percent,calculated,,,,provisional lender-normalized EBITDA / revenue,pre_tyman,Uses owner-reviewed lender-base judgments; not contractual EBITDA or a covenant calculation.
S2M-0035,FY2022,cash_flow_from_operations,97.965,,97.965,97.965,USD_millions,reported,,SRC-014,,reported CFO; includes cash interest,pre_tyman,
S2M-0036,FY2022,free_cash_flow,64.844,,64.844,64.844,USD_millions,calculated,,,,CFO + normalized negative capital expenditures,pre_tyman,Cash interest is already included in CFO and is not subtracted again.
S2M-0037,FY2022,cfo_to_unadjusted_ebitda,97.965,151.39,64.71035074971926811546337275,64.71035074971926811546337275,percent,calculated,,,,CFO / unadjusted EBITDA,pre_tyman,
S2M-0038,FY2022,fcf_to_unadjusted_ebitda,64.844,151.39,42.8324195785719003897219103,42.8324195785719003897219103,percent,calculated,,,,FCF / unadjusted EBITDA,pre_tyman,
S2M-0039,FY2022,cfo_to_company_adjusted_ebitda,97.965,,,N/D,percent,not_determinable,MISSING_INPUT,,,CFO / company_adjusted EBITDA,pre_tyman,
S2M-0040,FY2022,fcf_to_company_adjusted_ebitda,64.844,,,N/D,percent,not_determinable,MISSING_INPUT,,,FCF / company_adjusted EBITDA,pre_tyman,
S2M-0041,FY2022,cfo_to_provisional_lender_normalized_ebitda,97.965,151.39,64.71035074971926811546337275,64.71035074971926811546337275,percent,calculated,,,,CFO / provisional_lender_normalized EBITDA,pre_tyman,
S2M-0042,FY2022,fcf_to_provisional_lender_normalized_ebitda,64.844,151.39,42.8324195785719003897219103,42.8324195785719003897219103,percent,calculated,,,,FCF / provisional_lender_normalized EBITDA,pre_tyman,
S2M-0043,FY2022,cfo_to_gross_funded_debt,97.965,32.202,304.2202347680268306316377865,304.2202347680268306316377865,percent,calculated,,,,CFO / gross funded principal,pre_tyman,
S2M-0044,FY2022,fcf_to_gross_funded_debt,64.844,32.202,201.3663747593317185267995777,201.3663747593317185267995777,percent,calculated,,,,FCF / gross funded principal,pre_tyman,
