qa_id,document,page,rendered_path,status,checks_performed,review_note
P10Q-001,credit_memo.pdf,1,temporary_visual_QA/credit_memo/page-01.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording","Decision, owner-reviewed status, moderate breach, repayment hierarchy, and failure rule are readable."
P10Q-002,credit_memo.pdf,2,temporary_visual_QA/credit_memo/page-02.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording","Structure, all common-horizon balances, ultimate gap dates, and counterargument render without overlap."
P10Q-003,credit_memo.pdf,3,temporary_visual_QA/credit_memo/page-03.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording",Borrower risks and acquisition-comparability boundary are fully visible.
P10Q-004,credit_memo.pdf,4,temporary_visual_QA/credit_memo/page-04.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording","Historical table, cash-conversion chart, and earnings bridge are readable."
P10Q-005,credit_memo.pdf,5,temporary_visual_QA/credit_memo/page-05.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording","Debt, legal, liquidity-support, and closing-coverage limitations are readable."
P10Q-006,credit_memo.pdf,6,temporary_visual_QA/credit_memo/page-06.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording","Annual, cumulative, minimum, common-horizon, and maturity labels are distinct and readable."
P10Q-007,credit_memo.pdf,7,temporary_visual_QA/credit_memo/page-07.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording","Moderate breach, severe failure, N/D recovery, conditions, and final recommendation are readable."
P10Q-008,credit_memo.pdf,8,temporary_visual_QA/credit_memo/page-08.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording",Historical appendix and lender-base bridges are readable without footer overlap.
P10Q-009,credit_memo.pdf,9,temporary_visual_QA/credit_memo/page-09.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording","Scenario appendix distinguishes warnings, breaches, liquidity, and payment failures."
P10Q-010,credit_memo.pdf,10,temporary_visual_QA/credit_memo/page-10.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording",All 26 open conditions and monitoring rows are visible and legible.
P10Q-011,credit_memo.pdf,11,temporary_visual_QA/credit_memo/page-11.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording","Recovery alternatives, secondary-backstop boundary, and N/D conclusion render cleanly."
P10Q-012,committee_brief.pdf,1,temporary_visual_QA/committee_brief/page-01.png,PASS,"header/footer,tables,callouts,clipping,fonts,whitespace,horizon labels,decision wording",One-page brief is self-contained and readable with no clipping or overflow.
