comparison_id,candidate_id,candidate_name,scenario_id,scenario_treatment,opening_term_principal,opening_revolver,opening_bank_debt,retained_other_funded_debt,opening_gross_funded_debt,opening_gross_funded_leverage,zero_cash_net_leverage,capped_25m_cash_net_leverage_diagnostic,cash_eligibility_status,annual_amortization_percent,annual_scheduled_term_principal,cumulative_scheduled_principal_paid,cumulative_cash_sweep,cumulative_cash_interest,revolver_commitment,letters_of_credit,opening_revolver_availability,opening_usable_liquidity,subsequent_minimum_usable_liquidity,subsequent_minimum_liquidity_date,all_in_minimum_usable_liquidity,all_in_minimum_liquidity_date,peak_revolver_including_opening,peak_revolver_date,first_analytical_threshold_failure,first_50m_liquidity_warning,first_cash_floor_failure,revolver_capacity_exhaustion_date,first_mandatory_payment_failure_date,failed_obligation_type,maturity_date,unsupported_maturity_gap,overall_path_status,required_non_debt_contribution,source_ids,upstream_ids,classification,review_status,limitations
P7SC-001,STR-001,Retain existing facilities,BASE,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,462.5,207.39771875,669.89771875,62.619,732.51671875,3.25065996321180062482249361,3.25065996321180062482249361,3.139718469318020448736154502,pending_information_diagnostic_only,,25,87.5,0,127.4711665797101677540328191,475,6.2,261.40228125,261.40228125,267.8138952390046777486444724,2026-02-28,261.40228125,OPENING_POSITION,207.39771875,OPENING_POSITION,,,,,,,2029-07-31,432.7492812067100176549274129,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-001;BASE;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,Applicable existing pricing tier and amendment economics remain not determinable; August 2029 maturity dependence remains. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance.
P7SC-002,STR-001,Retain existing facilities,MODERATE_UNMITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,462.5,207.39771875,669.89771875,62.619,732.51671875,3.25065996321180062482249361,3.25065996321180062482249361,3.139718469318020448736154502,pending_information_diagnostic_only,,25,87.5,0,156.5333505215857675572528182,475,6.2,261.40228125,261.40228125,184.8102137001846421429909361,2027-01-31,184.8102137001846421429909361,2027-01-31,283.9897862998153578570090639,2027-01-31,2026-10-31,,,,,,2029-07-31,512.8279388043013359737406642,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-001;MODERATE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,Applicable existing pricing tier and amendment economics remain not determinable; August 2029 maturity dependence remains. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance.
P7SC-003,STR-001,Retain existing facilities,SEVERE_UNMITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,462.5,207.39771875,669.89771875,62.619,732.51671875,3.25065996321180062482249361,3.25065996321180062482249361,3.139718469318020448736154502,pending_information_diagnostic_only,,25,87.5,0,232.3762081332701582671734519,475,6.2,261.40228125,261.40228125,0,2028-01-31,0,2028-01-31,468.8,2028-01-31,2026-10-31,2027-02-28,2028-01-31,2028-01-31,,,2029-07-31,705.6846154956622955690639524,LIQUIDITY_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-001;SEVERE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,Applicable existing pricing tier and amendment economics remain not determinable; August 2029 maturity dependence remains. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance.
P7SC-004,STR-001,Retain existing facilities,MODERATE_MITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,462.5,207.39771875,669.89771875,62.619,732.51671875,3.25065996321180062482249361,3.25065996321180062482249361,3.139718469318020448736154502,pending_information_diagnostic_only,,25,87.5,0,154.627422181452899334293836,475,6.2,261.40228125,261.40228125,188.1087898688856167194997751,2026-05-31,188.1087898688856167194997751,2026-05-31,280.6912101311143832805002249,2026-05-31,2026-10-31,,,,,,2029-07-31,494.6720104641684677507816819,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-001;MODERATE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,Applicable existing pricing tier and amendment economics remain not determinable; August 2029 maturity dependence remains. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance.
P7SC-005,STR-001,Retain existing facilities,SEVERE_MITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,462.5,207.39771875,669.89771875,62.619,732.51671875,3.25065996321180062482249361,3.25065996321180062482249361,3.139718469318020448736154502,pending_information_diagnostic_only,,25,87.5,0,227.285038501447950786777585,475,6.2,261.40228125,261.40228125,10.9474077815925847135855997,2028-02-29,10.9474077815925847135855997,2028-02-29,457.8525922184074152864144003,2028-02-29,2026-10-31,2027-05-31,,,,,2029-07-31,660.7809458638400880886680856,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-001;SEVERE_MITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,Applicable existing pricing tier and amendment economics remain not determinable; August 2029 maturity dependence remains. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance.
P7SC-006,STR-001,Retain existing facilities,MODERATE_NO_WAIVER,inherited_phase6_analytical_shutoff_sensitivity,462.5,207.39771875,669.89771875,62.619,732.51671875,3.25065996321180062482249361,3.25065996321180062482249361,3.139718469318020448736154502,pending_information_diagnostic_only,,25,87.5,0,156.5333505215857675572528182,475,6.2,261.40228125,261.40228125,184.8102137001846421429909361,2027-01-31,184.8102137001846421429909361,2027-01-31,283.9897862998153578570090639,2027-01-31,2026-10-31,,,,,,2029-07-31,512.8279388043013359737406642,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-001;MODERATE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,Applicable existing pricing tier and amendment economics remain not determinable; August 2029 maturity dependence remains. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance.
P7SC-007,STR-001,Retain existing facilities,SEVERE_NO_WAIVER,inherited_phase6_analytical_shutoff_sensitivity,462.5,207.39771875,669.89771875,62.619,732.51671875,3.25065996321180062482249361,3.25065996321180062482249361,3.139718469318020448736154502,pending_information_diagnostic_only,,25,87.5,0,232.3762081332701582671734519,475,6.2,261.40228125,261.40228125,0,2028-01-31,0,2028-01-31,468.8,2028-01-31,2026-10-31,2027-02-28,2028-01-31,2028-01-31,,,2029-07-31,705.6846154956622955690639524,LIQUIDITY_FAILURE,0,SRC-001;SRC-002;SRC-003,STR-001;SEVERE_NO_WAIVER;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,Applicable existing pricing tier and amendment economics remain not determinable; August 2029 maturity dependence remains. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance.
P7SC-008,STR-002,Limited amendment or extension,NOT_MODELED,qualitative_live_alternative,,,,,,,,,not_determinable,,,,,,,,,,,,,,,,,,,,,,,,not_determinable,,SRC-001;SRC-003,PT-002:PT-024,qualitative_not_determinable,owner_reviewed,No lender proposal or sufficiently complete public terms support quantitative modeling.
P7SC-009,STR-003,$650m reference term / 10% amortization,BASE,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,10,65,325,0,168.5538724511554641279824122,300,6.2,263.90228125,263.90228125,253.8458349441112245272416091,2028-01-31,253.8458349441112245272416091,2028-01-31,39.95416505588877547275839092,2028-01-31,,,,,,,2031-01-31,340.9478312215931607465924833,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-003;BASE;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
P7SC-010,STR-003,$650m reference term / 10% amortization,MODERATE_UNMITIGATED,phase6_operating_case_with_continued_draw_or_waiver_sensitivity,650,29.89771875,679.89771875,62.619,742.51671875,3.295036560769312695257029253,3.295036560769312695257029253,3.184095066875532519170690145,pending_information_diagnostic_only,10,65,325,0,206.0769610555150505446504324,300,6.2,263.90228125,263.90228125,146.52382165301649088122847,2027-01-31,146.52382165301649088122847,2027-01-31,147.27617834698350911877153,2027-01-31,2026-10-31,,,,,,2031-01-31,429.4873934816684656788537555,MATURITY_SHORTFALL,0,SRC-001;SRC-002;SRC-003,STR-003;MODERATE_UNMITIGATED;P6R-001:P6R-014,formula_calculated_structure_scenario_comparison,owner_reviewed,"Uses unchanged Phase 6 operating cases and payment ordering. Actual payoff, fees, accessible cash, pricing, legal terms, and refinancing at maturity remain unresolved. A lower debt balance caused by curtailed drawings or unpaid obligations is not improved performance."
