bridge_id,case_id,sequence,item,opening_value,movement,closing_value,units,calculation,status,classification,source_ids,source_reference,owner_review_status,notes
CB-0001,CC-LOW,1,Existing Term A principal at October 31,468.75,0,468.75,USD_millions,Approved October 31 principal,supported,reported_fact,SRC-001;SRC-002,SRC-001 Note 9; SRC-002 net-debt table,owner_reviewed_for_phase5_testing,
CB-0002,CC-LOW,2,Pre-closing scheduled Term A amortization,468.75,-6.25,462.5,USD_millions,Opening Term A less installment paid before close,sensitivity,timing_assumption,SRC-003,SRC-003 section 2.3,owner_reviewed_for_phase5_testing,Timing: before_closing
CB-0003,CC-LOW,3,Scheduled amortization component embedded in payoff,,0,0,USD_millions,Disclosure only; included within total Term A payoff and never added again,sensitivity,timing_assumption,SRC-003,SRC-003 section 2.3,owner_reviewed_for_phase5_testing,Prevents double counting when the scheduled date coincides with closing.
CB-0004,CC-LOW,4,Term A payoff,468.75,-6.25,462.5,USD_millions,Opening principal less only a pre-closing installment,owner_reviewed_sensitivity_pending_closing_diligence,calculated_from_fact_and_assumption,SRC-001;SRC-003;SRC-021,Closing case input,owner_reviewed_for_phase5_testing,
CB-0005,CC-LOW,5,Existing revolver borrowings,172.5,0,172.5,USD_millions,October 31 revolver plus owner-reviewed principal-balance sensitivity; historical FCF is calibration only,owner_reviewed_sensitivity_pending_closing_diligence,calculated_from_fact_and_assumption,SRC-001;SRC-002;SRC-021,SRC-001 Note 9; SRC-021 FY2025 Q1 cash evidence,owner_reviewed_for_phase5_testing,"Minimum funded-payoff case: scheduled Term A installment precedes close, no seasonal revolver increase, no accrued-interest or hedge use, and $5m total fee sensitivity."
CB-0006,CC-LOW,6,Other bank-debt movement,0,0,0,USD_millions,Explicit sensitivity; no other public bank debt identified,pending_information,assumption,SRC-001,SRC-001 Note 9,owner_reviewed_for_phase5_testing,
CB-0007,CC-LOW,7,Total bank principal payoff,641.25,-6.25,635,USD_millions,Term A payoff + revolver payoff + other bank-debt movement,calculated,calculated,SRC-001;SRC-003;SRC-021,Calculated from closing inputs,owner_reviewed_for_phase5_testing,
CB-0008,CC-LOW,8,Existing letters of credit,6.2,0,6.2,USD_millions,Replacement exposure under new revolver; zero when cash-collateralized as separate use,sensitivity,contingent_exposure,SRC-001;SRC-003,SRC-001 Note 9; SRC-003 sections 2.9 and 2.15,owner_reviewed_for_phase5_testing,Treatment: replace_under_new_revolver_non_cash
CB-0009,CC-LOW,9,Accrued interest,0,0,0,USD_millions,Bank payoff x 6.57% x 0/360; separate unpaid payoff-interest use,owner_reviewed_sensitivity_pending_closing_diligence,calculated_from_reported_rate,SRC-001,SRC-001 Note 9,owner_reviewed_for_phase5_testing,"Exact rate, reset and payment date require payoff letter. Phase 5 must reconcile this use with integrated cash interest and must not add it again through the historical FCF calibration reference."
CB-0010,CC-LOW,10,Prepayment premium,0,0,0,USD_millions,Existing term/revolver prepayment has no premium; interest-period breakage stays separate,supported_with_diligence,reported_contract_term,SRC-003,SRC-003 sections 2.4 and 2.8,owner_reviewed_for_phase5_testing,
CB-0011,CC-LOW,11,Hedge or interest-period break cost,0,0,0,USD_millions,Case sensitivity; not a public payoff amount,pending_information,sensitivity,SRC-003,"SRC-003 sections 2.4, 2.8 and 2.19(e)",owner_reviewed_for_phase5_testing,
CB-0012,CC-LOW,12,Financing fees,0,3,3,USD_millions,Explicit fee sensitivity; not a lender quote,pending_information,sensitivity,,Case input,owner_reviewed_for_phase5_testing,
CB-0013,CC-LOW,13,"Legal, advisory and administrative expenses",0,2,2,USD_millions,Explicit transaction-cost sensitivity,pending_information,sensitivity,,Case input,owner_reviewed_for_phase5_testing,
CB-0014,CC-LOW,14,LC cash-collateralization use,0,0,0,USD_millions,Only a cash use in the collateralization case,owner_reviewed_sensitivity_pending_closing_diligence,sensitivity,SRC-001;SRC-003,SRC-003 sections 2.9 and 2.15,owner_reviewed_for_phase5_testing,LC exposure is counted once and is not also a replacement LC deduction.
CB-0015,CC-LOW,15,Restricted cash created by LC collateralization,0,0,0,USD_millions,Balance-sheet classification of funded LC collateral; disclosure only and not an additional use,owner_reviewed_sensitivity_pending_closing_diligence,restricted_asset_excluded_from_usable_liquidity,SRC-001;SRC-003,SRC-003 sections 2.9 and 2.15,owner_reviewed_for_phase5_testing,The funded amount is restricted cash or another separately classified restricted asset and is excluded from operating cash and usable liquidity.
CB-0016,CC-LOW,16,Approved borrower cash contribution,0,0,0,USD_millions,"Capped by identified accessible cash, which is conservatively zero pending diligence",pending_information,assumption,SRC-001;SRC-003,SRC-001 liquidity; SRC-003 cash-netting definition,owner_reviewed_for_phase5_testing,
CB-0017,CC-LOW,17,Minimum operating cash,76.018,not_a_funding_source,25,USD_millions,Proposed reserve distinct from accessible closing cash,hypothetical,proposed_term,SRC-001,SRC-001 balance sheet,owner_reviewed_for_phase5_testing,Not a use and not an accessible funding source in Phase 4.
CB-0018,CC-LOW,18,Closing cash,76.018,pending_information,,USD_millions,Actual January cash and legal accessibility unavailable at cutoff,pending_information,missing_value,SRC-001,SRC-001 balance sheet and liquidity,owner_reviewed_for_phase5_testing,
CB-0019,CC-LOW,19,Retained finance leases and other debt,62.619,0,62.619,USD_millions,Retained outside bank payoff,supported,reported_fact,SRC-001;SRC-002,SRC-001 Note 9; SRC-002 net-debt table,owner_reviewed_for_phase5_testing,
CB-0020,CC-LOW,20,Retained operating lease liabilities,160.905,0,160.905,USD_millions,Retained debt-like obligation; excluded from funded debt,supported,reported_fact,SRC-001,SRC-001 Note 6,owner_reviewed_for_phase5_testing,
CB-0021,CC-LOW,21,Total closing uses,,,640,USD_millions,Bank payoff + accrued interest + premium + hedge + fees + legal/admin + LC cash collateral,calculated,calculated,SRC-001;SRC-003;SRC-021,Sources and uses,owner_reviewed_for_phase5_testing,
CB-0022,CC-LOW,22,New term funding,0,640,640,USD_millions,Minimum of $650m cap and supported uses after approved cash,calculated_pending_approval,calculated_proposed_source,,Case architecture,owner_reviewed_for_phase5_testing,Not automatically funded at the cap.
CB-0023,CC-LOW,23,Term-only funding gap,0,0,0,USD_millions,Uses less approved cash and capped term funding,calculated,calculated,,Case architecture,owner_reviewed_for_phase5_testing,
CB-0024,CC-LOW,24,Opening new-revolver draw,0,0,0,USD_millions,"Explicit residual supported use after term and approved cash, capped by $300m less replacement LCs",calculated_pending_approval,calculated_proposed_source,,Case architecture,owner_reviewed_for_phase5_testing,"A transparent funding source, not an unexplained balancing plug."
CB-0025,CC-LOW,25,Nominal remaining new-revolver availability,300,-6.2,293.8,USD_millions,$300m commitment less opening draw less replacement LCs,calculated,calculated,,Case architecture,owner_reviewed_for_phase5_testing,Not proof of Phase 5 seasonal sufficiency.
CB-0026,CC-LOW,26,Residual funding gap after capped revolver,0,0,0,USD_millions,Term-only gap less permitted opening revolver draw,calculated,calculated,,Case architecture,owner_reviewed_for_phase5_testing,
