distress_event_id,scenario_id,structure,event_type,event_date,status,observed_value,threshold_or_rule,failed_obligation_type,amount_due,amount_paid,unpaid_amount,revolver_capacity_already_exhausted,drawability_shutoff_active,cash_available_before_payment,cash_remaining_after_payment,scenario_timing_convention,interim_failure_or_maturity_shortfall,sequence_number,classification,source_ids,upstream_ids,notes
P6E-0001,BASE,proposed,OPENING_REVOLVER_EXPOSURE,OPENING_POSITION,WARNING,29.89771875,opening balance,,,,,,,,,equal_neutral,,1,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0002,BASE,proposed,FIRST_INCREMENTAL_POST_CLOSING_DRAW,2026-04-30,WARNING,9.82329762199995342260467161,>0 incremental draw,,,,,no,no,,,equal_neutral,,3,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-BASE-P-0003,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0003,BASE,proposed,FIRST_REVOLVER_REPAYMENT,2026-02-28,WARNING,6.35671369946206325842780365,>0 repayment,,,,,no,no,,,equal_neutral,,2,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-BASE-P-0001,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0004,BASE,proposed,PEAK_SUBSEQUENT_PERIOD_END_REVOLVER,2028-01-31,WARNING,39.95416505588877547275839092,maximum modeled month-end balance after opening,,,,,no,no,,,equal_neutral,,4,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-BASE-P-0024,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0005,BASE,proposed,PEAK_REVOLVER_INCLUDING_OPENING,2028-01-31,WARNING,39.95416505588877547275839092,maximum of opening and subsequent month-end balances,,,,,no,no,,,equal_neutral,,4,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-BASE-P-0024,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0006,BASE,proposed,FIRST_LIQUIDITY_WARNING,,PASS,,usable liquidity <50,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0007,BASE,proposed,FIRST_CASH_FLOOR_FAILURE,,PASS,,cash-floor shortfall >0,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0008,BASE,proposed,FIRST_ANALYTICAL_LEVERAGE_FAILURE,,PASS,,above analytical threshold,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0009,BASE,proposed,FIRST_ANALYTICAL_COVERAGE_FAILURE,,PASS,,below 3.00x,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0010,BASE,proposed,FIRST_NO_WAIVER_DRAWABILITY_SHUTOFF,,NOT_APPLICABLE,,new draws unavailable,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0011,BASE,proposed,FIRST_REVOLVER_CAPACITY_EXHAUSTION,,PASS,,nominal revolver availability <=0,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0012,BASE,proposed,FIRST_MANDATORY_PAYMENT_FAILURE,,PASS,,"unpaid cash interest, scheduled term principal or retained mandatory obligation",,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0013,BASE,proposed,FIRST_SCHEDULED_INTEREST_FAILURE,,PASS,,cash-interest shortfall >0,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0014,BASE,proposed,FIRST_SCHEDULED_PRINCIPAL_FAILURE,,PASS,,scheduled-term-principal shortfall >0,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0015,BASE,proposed,FIRST_RETAINED_OBLIGATION_FAILURE,,PASS,,retained-obligation shortfall >0,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0016,BASE,proposed,FIRST_DISTRIBUTION_RESTRICTION_FLAG,2026-02-28,WARNING,0,narrow or broad analytical flag; not a payment default,,,,,no,no,,,equal_neutral,,2,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,P6M-BASE-P-0001,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
P6E-0017,BASE,proposed,EXISTING_MATURITY_SHORTFALL,,NOT_APPLICABLE,,unfunded at existing maturity,,,,,,,,,equal_neutral,,,chronological_analytical_event_not_contractual_default,SRC-001;SRC-002;SRC-003,BASE,"Mandatory payment failure excludes missed dividends and repurchases. Maturity shortfall, analytical warnings and drawability conventions remain separately classified and are not official covenant conclusions."
