check_id,fiscal_year,category,description,left_value,right_value,difference,tolerance,status,severity,source_ids,input_ids,resolution,notes
S2C-0001,FY2021,balance_sheet,Assets = liabilities + equity,717.323,717.323,0,0.001,PASS,material,SRC-014,,,
S2C-0002,FY2021,cash_flow,Detailed CFO bridge = reported CFO,78.588,78.588,0,0.001,PASS,material,SRC-014,,,
S2C-0003,FY2021,cash_flow,CFO plus capex = free cash flow,54.58,54.58,0,0.001,PASS,material,SRC-014,,Cash interest remains inside CFO; it is not subtracted twice.,
S2C-0004,FY2021,cash_flow,Financing activity detail = financing cash flow,-71.861,-71.861,0,0.001,PASS,material,SRC-014,,,
S2C-0005,FY2021,cash_flow,CFO + CFI + CFF + FX = reported cash change,-11.56,-11.56,0,0.001,PASS,material,SRC-014,,,
S2C-0006,FY2021,cash_flow,Beginning cash plus reported change = ending cash,40.061,40.061,0,0.001,PASS,material,SRC-014,,,
S2C-0007,FY2021,debt,Gross funded principal less financing fees = carrying amount,52.94,52.94,0,0.001,PASS,material,SRC-014,,,
S2C-0008,FY2021,debt,Current plus long-term debt = carrying amount,52.94,52.94,0,0.001,PASS,material,SRC-014,,,
S2C-0009,FY2021,debt,Instrument principal = consolidated funded principal,53.537,53.537,0,0.001,PASS,material,SRC-014,,,
S2C-0010,FY2021,earnings,Income-statement D&A = cash-flow D&A addback,42.732,42.732,0,0.001,PASS,material,SRC-014,,,
S2C-0011,FY2021,cash_flow,"Acquisition cash flow explicitly missing, not zero",,,,0.001,EXPLICIT_MISSING,informational,,,No plug or zero assigned.,No dedicated material acquisition-cash-flow line in the selected Phase 1 statement; absence is not zero.
S2C-0012,FY2022,balance_sheet,Assets = liabilities + equity,724.617,724.617,0,0.001,PASS,material,SRC-014,,,
S2C-0013,FY2022,cash_flow,Detailed CFO bridge = reported CFO,97.965,97.965,0,0.001,PASS,material,SRC-014,,,
S2C-0014,FY2022,cash_flow,CFO plus capex = free cash flow,64.844,64.844,0,0.001,PASS,material,SRC-014,,Cash interest remains inside CFO; it is not subtracted twice.,
S2C-0015,FY2022,cash_flow,Financing activity detail = financing cash flow,-45.879,-45.879,0,0.001,PASS,material,SRC-012,,,
S2C-0016,FY2022,cash_flow,CFO + CFI + CFF + FX = reported cash change,15.032,15.032,0,0.001,PASS,material,SRC-012,,,
S2C-0017,FY2022,cash_flow,Beginning cash plus reported change = ending cash,55.093,55.093,0,0.001,PASS,material,SRC-012,,,
S2C-0018,FY2022,debt,Gross funded principal less financing fees = carrying amount,30.674,30.674,0,0.001,PASS,material,SRC-014,,,
S2C-0019,FY2022,debt,Current plus long-term debt = carrying amount,30.674,30.674,0,0.001,PASS,material,SRC-014,,,
S2C-0020,FY2022,debt,Instrument principal = consolidated funded principal,32.202,32.202,0,0.001,PASS,material,SRC-014,,,
