analysis_id,segment,metric_name,existing_value,proposed_value,units,period_start,period_end,measurement_event,status,classification,review_status,source_ids,assumption_ids,calculation,limitations
CH-001,common_horizon,opening_term_debt,462.5,650,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Opening position from reconciled February 1 bridge.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-002,common_horizon,opening_revolver_debt,207.39771875,29.89771875,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Opening position from reconciled February 1 bridge.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-003,common_horizon,opening_total_bank_debt,669.89771875,679.89771875,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Term plus revolver.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-004,common_horizon,upfront_fees,0,10,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Proposed amount funded once at closing; existing not applicable.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-005,common_horizon,accrued_interest_through_closing,3.64771875,3.64771875,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Existing amount is revolver-funded; proposed amount is in the Phase 4 closing use.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-006,common_horizon,cumulative_cash_interest,127.4711665797101677540328191,130.0565446238712572817742345,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,"Identical February 1, 2026 through July 31, 2029 period.","Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-007,common_horizon,cumulative_recurring_financing_fees,not_determinable,not_determinable,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,not_determinable,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Blank does not mean zero.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-008,common_horizon,scheduled_principal,87.5,227.5,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Mandatory scheduled term principal.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-009,common_horizon,revolver_repayments,169.2340601427289049587548786,156.9973388133452991118844743,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Gross modeled revolver repayments.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-010,common_horizon,revolver_draws,19.58562259943892261368229137,149.9342793142164062945533027,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Gross modeled revolver draws.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-011,common_horizon,cash_sweeps,0,0,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Provisional October sweep after revolver repayment.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-012,common_horizon,planned_distributions,68.24999999999999999999999996,68.24999999999999999999999996,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Dividends plus repurchases retained in the unmitigated case.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-013,common_horizon,retained_obligation_payments,25.99775000000000000000000004,25.99775000000000000000000004,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Mandatory payments; principal and interest split unavailable.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-014,common_horizon,total_cash_debt_service,410.2029767224390727127876977,540.5516334372165563936587088,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,"Bank interest, retained payments, scheduled principal, revolver repayments, sweeps and maturity cash application.","Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
CH-015,common_horizon,total_lender_cash_receipts,384.2052267224390727127876977,514.5538834372165563936587088,USD_millions,2026-02-01,2029-07-31,existing_maturity_2029-08-01,calculated,like_for_like_common_horizon_or_separate_tail,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-025;P5A-026;P5A-027;P5A-028;P5A-040;P5A-042,Bank interest plus gross bank principal receipts; excludes retained-obligation payments.,"Recurring fees and formal covenant compliance remain not determinable; no refinancing, waiver or post-maturity revolver availability is assumed."
