monitor_id,risk_driver_ids,metric_or_event,exact_definition,unit,frequency,required_report_or_source,observability_status,baseline,warning_threshold,covenant_or_contractual_threshold,comparator_direction,lookback_period,responsible_lender_reviewer,required_borrower_response,lender_action,escalation_timing,severity_classification,cure_or_waiver_relevance,source_or_assumption_ids,limitation,review_status
MON-001,DRV-001,Comparable revenue and volume,Organic or ex-Tyman revenue and unit volume by segment/geography versus prior year and approved case.,percent,quarterly,Quarterly segment/geography price-volume-mix bridge,available_through_required_borrower_reporting,FY2025 reported perimeter,below -5% year over year or 5% below approved case,,less_than,quarter and trailing four quarters,Portfolio manager,Explain variance and provide revised demand bridge.,Reconcile within 10 business days; require monthly volume reporting if unresolved.,10_business_days,analyst_warning,no,DRV-001,Comparable volume requires borrower reporting.,owner_reviewed
MON-002,DRV-002,"Price, mix and raw-material recovery",Segment price/mix benefit less raw-material and index cost movement.,basis_points,quarterly,Price-volume-mix and index-pass-through bridge,available_through_required_borrower_reporting,No quantified Phase 9 baseline,adverse gross-margin effect above 100 bps,,greater_than,quarter,Portfolio manager,Provide pass-through actions and customer/mix explanation.,Request corrective pricing plan within 10 business days.,10_business_days,analyst_warning,no,DRV-002,Public reporting does not isolate all effects.,owner_reviewed
MON-003,DRV-003,Gross margin,"Consolidated gross profit divided by revenue, with segment and plant bridge.",percent,monthly,Monthly management accounts and plant operating report,available_through_required_borrower_reporting,FY2025 27.2%; Phase 3 range 26%-28%,below 25%,,less_than,month and trailing quarter,Portfolio manager,"Provide plant, mix and fixed-cost bridge.",Increase reporting frequency and require a 30-day margin action plan.,5_business_days,analyst_warning,no,DRV-003,Acquisition mix and seasonality affect comparisons.,owner_reviewed
MON-004,DRV-003;DRV-007,Lender-base EBITDA,"LTM lender-base EBITDA using the approved adjustment register, separately reconciled to company and contractual measures.",USD_millions,monthly,Monthly EBITDA bridge and quarterly compliance certificate,available_through_required_borrower_reporting,FY2025 $225.344m,below $180m LTM,,less_than,LTM,Credit officer,Deliver detailed variance and add-back bridge.,Require revised projections and monthly lender-base EBITDA reporting.,5_business_days,analyst_warning,no,DRV-003;DRV-007;P9D-016,Threshold is proposed for owner review and is not contractual.,owner_reviewed
MON-005,DRV-007,Adjustment and add-back usage,"Company, contractual and lender adjustments by category, cash status, cap and remaining eligibility.",USD_millions,monthly,"Adjustment, accrual and cash-payment roll-forward",available_through_required_borrower_reporting,$10.263m FY2025 composite unresolved,new composite item or LTM lender adjustments above $40m excluding impairment,subject to final EBITDA definition,greater_than,LTM,Credit officer,"Provide invoices, cash timing, cap and double-counting analysis.",Defer new lender credit pending evidence; escalate certificate exception.,immediate,reporting_exception,possible,DRV-007,Contractual eligibility remains separate from lender normalization.,owner_reviewed
MON-006,DRV-005,CFO to lender EBITDA conversion,Trailing-twelve-month CFO divided by lender-base EBITDA.,percent,quarterly,Cash-flow statement and EBITDA bridge,available_through_required_borrower_reporting,FY2025 73.2%,below 60%,,less_than,LTM,Portfolio manager,Provide cash conversion and working-capital bridge.,Require revised cash forecast and monthly working-capital reporting.,10_business_days,analyst_warning,no,DRV-005,CFO includes cash interest under US GAAP.,owner_reviewed
MON-007,DRV-005;DRV-006,FCF to lender EBITDA conversion,CFO less capital expenditure divided by lender-base EBITDA.,percent,quarterly,Cash-flow statement and project-level capex schedule,available_through_required_borrower_reporting,FY2025 45.4%,below 35%,,less_than,LTM,Portfolio manager,Explain working-capital and capex variance.,Require revised liquidity forecast; do not cut maintenance capex without evidence.,10_business_days,analyst_warning,no,DRV-005;DRV-006,Maintenance versus growth capex remains pending.,owner_reviewed
MON-008,DRV-005,DSO,Average gross trade receivables divided by revenue times fiscal days.,days,monthly,Receivables aging and average-balance schedule,available_through_required_borrower_reporting,FY2025 40.03,above 45 days,,greater_than,month and trailing three months,Portfolio manager,"Provide aging, disputes and collection plan.",Require weekly collections report if above threshold for two months.,5_business_days,analyst_warning,no,DRV-005,Acquisition perimeter affects historical comparison.,owner_reviewed
MON-009,DRV-005,DIO,Average inventory divided by cost of sales times fiscal days.,days,monthly,Inventory aging and reserve schedule,available_through_required_borrower_reporting,FY2025 72.22,above 80 days,,greater_than,month and trailing three months,Portfolio manager,"Provide SKU aging, reserve and liquidation plan.",Require monthly inventory reduction milestones.,10_business_days,analyst_warning,no,DRV-005,Mix and acquisition perimeter affect comparability.,owner_reviewed
MON-010,DRV-013,Payables and other operating working capital,"AP, accrued liabilities and other operating balances versus approved monthly forecast, separately bridged.",USD_millions,monthly,"Purchases, AP, accrual and other operating working-capital bridge",available_through_required_borrower_reporting,DPO not determinable,variance above 10% from approved forecast or unexplained supplier stretching,,absolute_variance_greater_than,month,Portfolio manager,Provide supplier aging and cash-flow reconciliation.,Escalate unexplained funding benefit and revise liquidity forecast.,5_business_days,reporting_exception,no,DRV-013,Cost of sales is not purchases; DPO remains N/D.,owner_reviewed
