headroom_id,test_id,scenario_id,period_end,framework,metric,actual,threshold,ratio_or_amount_headroom,debt_headroom,break_even_ebitda,earnings_cushion,units,status,formula,source_ids,upstream_ids,review_status,limitations
P7H-00001,P7CT-0001,BASE,2026-01-31,proposed_contractual,gross_funded_leverage,3.228471664433044589605225788,3.5,0.271528335566955410394774212,61.18728125,207.8619196428571428571428571,,turns,compliant,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0001,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00002,P7CT-0001,BASE,2026-01-31,proposed_contractual,cash_interest_coverage,N/D,3,N/D,,,N/D,turns,not_determinable,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0001,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00003,P7CT-0001,BASE,2026-01-31,proposed_contractual,usable_liquidity,263.90228125,50,213.90228125,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0001,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00004,P7CT-0001,BASE,2026-01-31,analyst_warning,analyst_leverage_warning,3.228471664433044589605225788,3.25,0.021528335566955410394774212,,,,turns,compliant,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0001,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00005,P7CT-0002,BASE,2026-04-30,proposed_contractual,gross_funded_leverage,N/D,3.5,N/D,N/D,202.3123658077108251528428924,,turns,not_determinable,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0002,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00006,P7CT-0002,BASE,2026-04-30,proposed_contractual,cash_interest_coverage,N/D,3,N/D,,,N/D,turns,not_determinable,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0002,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00007,P7CT-0002,BASE,2026-04-30,proposed_contractual,usable_liquidity,271.4194696730121119650498767,50,221.4194696730121119650498767,,,,USD_millions,compliant,liquidity headroom = usable liquidity - minimum liquidity,SRC-001;SRC-002;SRC-003,P7CT-0002,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00008,P7CT-0002,BASE,2026-04-30,analyst_warning,analyst_leverage_warning,N/D,3.25,N/D,,,,turns,not_determinable,warning gap = warning threshold - D/E,SRC-001;SRC-002;SRC-003,P7CT-0002,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00009,P7CT-0003,BASE,2026-07-31,proposed_contractual,gross_funded_leverage,N/D,3.5,N/D,N/D,196.6997853479772592469285647,,turns,not_determinable,ratio headroom = L - D/E; debt headroom = L*E - D; break-even EBITDA = D/L,SRC-001;SRC-002;SRC-003,P7CT-0003,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
P7H-00010,P7CT-0003,BASE,2026-07-31,proposed_contractual,cash_interest_coverage,N/D,3,N/D,,,N/D,turns,not_determinable,coverage cushion = E - C*I,SRC-001;SRC-002;SRC-003,P7CT-0003,owner_reviewed,N/D is reported when information is missing. N/M is reserved for a mathematically non-meaningful nonpositive denominator. Missing information is never converted to zero.
