record_id,artifact_path,record_type,source_or_assumption_id,source_type,source_date,forecast_period,units,original_value,normalized_value,classification,review_status,formula_or_transformation,upstream_artifact,source_ids,limitation_or_rationale
LED-A-P5A-001,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-001,upstream_fact_or_explicit_modeling_assumption,,FY2026-FY2031,percent,-0.5,-0.5,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,Midpoint of the owner-reviewed -2% to +1% range.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,,"A midpoint is a modeling choice, not evidence of actual volume growth."
LED-A-P5A-002,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-002,upstream_fact_or_explicit_modeling_assumption,,FY2026-FY2031,percent,0.5,0.5,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,Midpoint of the owner-reviewed 0% to +1% range.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,,Does not represent organic unit growth or guaranteed pass-through.
LED-A-P5A-003,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-003,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,percent,27,27,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,Midpoint of the owner-reviewed 26%-28% range.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,SRC-001,Quarterly shape retains FY2025 full-post-Tyman seasonality; plant execution remains a risk.
LED-A-P5A-004,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-004,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,percent_of_revenue,14.9041,14.9041,owner_reviewed_rounded_run_rate_assumption,owner_reviewed_for_phase5_testing,(FY2025 gross profit - owner-reviewed lender-base EBITDA) / FY2025 revenue.,data/phase2/processed/historical_spread.csv,SRC-001,No unrealized synergy or separate forecast addback is included.
LED-A-P5A-005,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-005,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,percent_of_revenue,5.6292,5.6292,owner_reviewed_rounded_run_rate_assumption,owner_reviewed_for_phase5_testing,FY2025 D&A / FY2025 revenue.,data/phase2/processed/historical_spread.csv,SRC-001,Asset-level depreciation and acquisition-intangible runoff are unavailable.
LED-A-P5A-006,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-006,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,days,41.5,41.5,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,Midpoint of the owner-reviewed 40-43 day range using trailing-12-month revenue.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,SRC-001,Only two acquisition-affected annual observations support the range.
LED-A-P5A-007,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-007,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,days,72.5,72.5,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,Midpoint of the owner-reviewed 70-75 day range using trailing-12-month cost of sales.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,SRC-001,Does not assume the FY2025 inventory cash release repeats.
LED-A-P5A-008,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-008,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,percent,9.8106,9.8106,owner_reviewed_rounded_proxy_assumption,owner_reviewed_for_phase5_testing,FY2025 ending accounts payable / FY2025 cost of sales.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,SRC-001,This is not DPO and is not a purchases-based payment-period measure.
LED-A-P5A-009,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-009,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,percent,1.9673,1.9673,owner_reviewed_rounded_proxy_assumption,owner_reviewed_for_phase5_testing,FY2025 other presented operating current assets / FY2025 revenue.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,SRC-001,The residual combines unlike accounts and requires account-level diligence.
LED-A-P5A-010,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-010,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,percent,5.8353,5.8353,owner_reviewed_rounded_proxy_assumption,owner_reviewed_for_phase5_testing,FY2025 other presented operating current liabilities / FY2025 revenue.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,SRC-001,The residual combines unlike accounts and requires account-level diligence.
LED-A-P5A-011,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-011,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,percent,3.5,3.5,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,Midpoint of the owner-reviewed 3%-4% total-capex range.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,SRC-001,"Maintenance, integration and expansion categories remain not determinable."
LED-A-P5A-012,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-012,upstream_fact_or_explicit_modeling_assumption,,FY2026-FY2031,percent_of_positive_operating_income,25,25,new_modeling_assumption,owner_reviewed_for_phase5_testing,Applied to positive operating income before financing.,data/phase2/processed/historical_spread.csv,,A legal-entity cash-tax forecast and interest tax-shield schedule are unavailable.
LED-A-P5A-013,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-013,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026_Q2,USD_millions,0.7,0.7,inherited_minimum_with_timing_assumption,owner_reviewed_for_phase5_testing,"Known FY2025 year-end accrual, modeled as paid in FY2026 Q2.",data/phase3/processed/ASSUMPTION_CANDIDATES.csv,SRC-001,Amount is inherited; payment quarter is newly proposed and future program cost is unknown.
LED-A-P5A-014,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-014,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,USD_millions,14.5,14.5,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,Midpoint of the owner-reviewed $14m-$15m annual reference.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,SRC-001;SRC-002,Board actions are not committed; modeled evenly by month.
LED-A-P5A-015,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-015,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,USD_millions,5,5,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,Midpoint of the owner-reviewed $0-$10m range.,data/phase3/processed/ASSUMPTION_CANDIDATES.csv,SRC-001;SRC-002,Not a commitment; reductions remain Phase 6 mitigations.
LED-A-P5A-016,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-016,upstream_fact_or_explicit_modeling_assumption,,2026-01-31,USD_millions,25,25,inherited_testing_assumption,inherited_owner_reviewed,Phase 4 owner-reviewed operating cash floor retained at closing.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,,Book cash is not treated as accessible closing or debt-repayment cash.
LED-A-P5A-017,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-017,upstream_fact_or_explicit_modeling_assumption,2025-12-12,2026-01-31,USD_millions,0,0,conservative_model_boundary,owner_reviewed_for_phase5_testing,No cash beyond the $25m operating floor is credited at closing.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,SRC-001;SRC-003,"This is a conservative model boundary, not evidence that accessible cash is zero."
LED-A-P5A-018,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-018,upstream_fact_or_explicit_modeling_assumption,2025-12-12,2026-02-01_to_2031-01-31,percent,3.57,3.57,new_modeling_assumption,owner_reviewed_for_phase5_testing,October reported 6.57% rate less proposed 300 bps midpoint spread.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,SRC-001,Not a quoted SOFR rate or forward curve; the base-rate path remains owner review.
LED-A-P5A-019,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-019,upstream_fact_or_explicit_modeling_assumption,,2026-02-01_to_2031-01-31,basis_points,300,300,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,Midpoint of the owner-reviewed 250-350 bps testing range.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,,"Not a market quote, lender commitment or approved term."
LED-A-P5A-020,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-020,upstream_fact_or_explicit_modeling_assumption,2025-12-12,2026-02-01_to_2029-08-01,percent,6.57,6.57,rate_neutral_comparison_assumption,owner_reviewed_for_phase5_testing,Held equal to the proposed 3.57% base-rate proxy plus 300 bps solely for a rate-neutral comparison.,data/processed/debt_terms.csv,SRC-001;SRC-003,Not an actual or representative January 2026 existing-facility rate. The applicable leverage tier is not determinable.
LED-A-P5A-021,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-021,upstream_fact_or_explicit_modeling_assumption,,2026-04-30_to_2031-01-31,percent_of_original_principal,10,10,inherited_testing_assumption,inherited_owner_reviewed,Paid quarterly at 2.5% of original principal.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,,Five-percent and 15% financing sensitivities remain separate.
LED-A-P5A-022,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-022,upstream_fact_or_explicit_modeling_assumption,,FY2026-FY2030,percent_of_cash_above_floor,50,50,inherited_rate_new_timing_definition,owner_reviewed_for_phase5_testing,"After revolver repayment, 50% of cash above the floor is swept at October 31 subject to the Phase 4 $50m analytical liquidity threshold.",data/phase4/processed/PHASE5_OPENING_INPUTS.csv,,The rate is owner-reviewed for testing; timing and simplified public definition require review. The $50m threshold is not a final covenant.
LED-A-P5A-023,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-023,upstream_fact_or_explicit_modeling_assumption,,first_24_months,text,equal_one_third_within_each_fiscal_quarter,equal_one_third_within_each_fiscal_quarter,new_modeling_assumption,owner_reviewed_for_phase5_testing,Quarterly operating flows are allocated equally across each quarter's three months.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,,No public monthly seasonality is available; Phase 6 must test more adverse timing.
LED-A-P5A-024,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-024,upstream_fact_or_explicit_modeling_assumption,,all_modeled_months,text,average_beginning_and_ending_debt,average_beginning_and_ending_debt,new_modeling_assumption,owner_reviewed_for_phase5_testing,Monthly interest uses average term after scheduled principal and iterated average revolver.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,,Sweeps occur at month end and reduce interest beginning the following month.
LED-A-P5A-025,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-025,upstream_fact_or_explicit_modeling_assumption,,2026-01-31,USD_millions,650,650,inherited_reference_case,inherited_owner_reviewed,Exact Phase 4 reference closing bridge.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,,Actual payoff and final funding remain pending.
LED-A-P5A-026,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-026,upstream_fact_or_explicit_modeling_assumption,,2026-01-31,USD_millions,29.89771875,29.89771875,inherited_reference_case,inherited_owner_reviewed,Exact Phase 4 reference closing bridge.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,,Not an actual January 2026 balance.
LED-A-P5A-027,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-027,upstream_fact_or_explicit_modeling_assumption,2025-12-12,2026-02-01,USD_millions,462.5,462.5,calculated_reference_timing,calculated_from_approved_inputs,$468.75m October balance less the January 31 scheduled $6.25m payment after the hypothetical refinancing timestamp.,data/phase2/processed/historical_spread.csv,SRC-001;SRC-003,February 1 same-point balance. The installment is funded in the revolver bridge and is not a free debt reduction.
LED-A-P5A-028,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-028,upstream_fact_or_explicit_modeling_assumption,2025-12-12,2026-02-01,USD_millions,207.39771875,207.39771875,calculated_same_point_opening_bridge,calculated_from_approved_inputs,"$172.5m October draw plus $25m reference movement, $6.25m January installment funding and $3.64771875m accrued-interest funding.",data/phase2/processed/historical_spread.csv,SRC-001;SRC-003;SRC-021,"Same-point Phase 5 comparison assumption, not an actual January 2026 balance; FY2026 Q1 CFADS is disclosed but not separately credited to the Phase 4 principal sensitivity."
LED-A-P5A-029,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-029,upstream_fact_or_explicit_modeling_assumption,,2026-01-31_to_2031-01-31,USD_millions,300,300,inherited_testing_assumption,inherited_owner_reviewed,Phase 4 provisional structure.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,,Not a commitment.
LED-A-P5A-030,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-030,upstream_fact_or_explicit_modeling_assumption,2025-12-12,2026-01-31_to_2029-08-01,USD_millions,475,475,existing_contract_fact,not_applicable_existing_fact,Existing executed facility commitment.,data/phase2/processed/historical_spread.csv,SRC-001;SRC-003,Availability ceases at maturity absent amendment or waiver.
LED-A-P5A-031,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-031,upstream_fact_or_explicit_modeling_assumption,2025-12-12,modeled_term,USD_millions,6.2,6.2,inherited_reference_case,inherited_owner_reviewed,Reference case assumes noncash replacement once under the applicable revolver.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,SRC-001;SRC-003,"Issuer, sublimit and transition remain pending; LCs are counted once."
LED-A-P5A-032,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-032,upstream_fact_or_explicit_modeling_assumption,2025-12-12,2026-01-31,USD_millions,62.619,62.619,reported_opening_fact,not_applicable_existing_fact,"October 31, 2025 finance leases and other funded debt retained.",data/phase4/processed/PHASE5_OPENING_INPUTS.csv,SRC-001;SRC-002,Public data do not allocate future payments between principal and interest.
LED-A-P5A-033,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-033,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026,USD_millions,8.351,8.351,reported_undiscounted_payment_bucket,not_applicable_existing_fact,Phase 4 retained-obligation maturity schedule.,data/phase2/processed/historical_spread.csv,SRC-001,Includes interest and principal; not a liability roll-forward.
LED-A-P5A-034,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-034,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2027,USD_millions,8.031,8.031,reported_undiscounted_payment_bucket,not_applicable_existing_fact,Phase 4 retained-obligation maturity schedule.,data/phase2/processed/historical_spread.csv,SRC-001,Includes interest and principal; not a liability roll-forward.
LED-A-P5A-035,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-035,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2028,USD_millions,6.83,6.83,reported_undiscounted_payment_bucket,not_applicable_existing_fact,Phase 4 retained-obligation maturity schedule.,data/phase2/processed/historical_spread.csv,SRC-001,Includes interest and principal; not a liability roll-forward.
LED-A-P5A-036,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-036,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2029,USD_millions,6.498,6.498,reported_undiscounted_payment_bucket,not_applicable_existing_fact,Phase 4 retained-obligation maturity schedule.,data/phase2/processed/historical_spread.csv,SRC-001,Includes interest and principal; not a liability roll-forward.
LED-A-P5A-037,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-037,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2030,USD_millions,6.146,6.146,reported_undiscounted_payment_bucket,not_applicable_existing_fact,Phase 4 retained-obligation maturity schedule.,data/phase2/processed/historical_spread.csv,SRC-001,Includes interest and principal; not a liability roll-forward.
LED-A-P5A-038,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-038,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2031,USD_millions,6.146,6.146,continuation_assumption,owner_reviewed_for_phase5_testing,FY2030 annual amount continued solely to allocate FY2031 Q1.,data/phase2/processed/historical_spread.csv,SRC-001,The public filing puts FY2031 and later in an unallocated thereafter bucket.
LED-A-P5A-039,data/phase5/raw/MODEL_ASSUMPTIONS.csv,model_assumption,P5A-039,upstream_fact_or_explicit_modeling_assumption,2025-12-12,FY2026-FY2031,text,included_in_operating_costs_no_separate_subtraction,included_in_operating_costs_no_separate_subtraction,methodology_control,owner_reviewed_for_phase5_testing,Operating lease expense remains in the operating cost base.,data/phase4/processed/PHASE5_OPENING_INPUTS.csv,SRC-001,Contractual cash timing is not separately forecast to avoid double counting.
