metric_id,category,metric_name,scenario_or_period,value,units,display_value,classification,source_path,source_ids,review_status,measurement_horizon,measurement_basis,limitations
P10M-001,historical,revenue,FY2024,1277.862,USD_millions,"$1,277.862m",approved_prior_phase_fact_or_calculation,data/phase2/processed/historical_spread.csv,SRC-001,approved_upstream,FY2024,annual_fiscal_period,mixed_perimeter_includes_three_months_tyman
P10M-002,historical,operating_income,FY2024,54.826,USD_millions,$54.826m,approved_prior_phase_fact_or_calculation,data/phase2/processed/historical_spread.csv,SRC-001,approved_upstream,FY2024,annual_fiscal_period,mixed_perimeter_includes_three_months_tyman
P10M-003,historical,cash_flow_from_operations,FY2024,88.812,USD_millions,$88.812m,approved_prior_phase_fact_or_calculation,data/phase2/processed/historical_spread.csv,SRC-001,approved_upstream,FY2024,annual_fiscal_period,mixed_perimeter_includes_three_months_tyman
P10M-004,historical,free_cash_flow,FY2024,51.726,USD_millions,$51.726m,approved_prior_phase_fact_or_calculation,data/phase2/processed/historical_spread.csv,SRC-001,approved_upstream,FY2024,annual_fiscal_period,mixed_perimeter_includes_three_months_tyman; Mechanical calculation; not an analyst adjustment.
P10M-005,historical,cfo_to_provisional_lender_normalized_ebitda,FY2024,49.51660923962131602716354999,percent,49.5%,approved_prior_phase_calculation,data/phase2/processed/historical_credit_metrics.csv,,approved_upstream,FY2024,annual_fiscal_period,
P10M-006,historical,fcf_to_provisional_lender_normalized_ebitda,FY2024,28.83952764861338774964038404,percent,28.8%,approved_prior_phase_calculation,data/phase2/processed/historical_credit_metrics.csv,,approved_upstream,FY2024,annual_fiscal_period,
P10M-007,earnings,lender_base_ebitda,FY2024,179.358,USD_millions,$179.358m,owner_reviewed_prior_phase_calculation,data/phase2/processed/earnings_bridges.csv,P2 adjustment decisions,owner_reviewed_upstream,FY2024,annual_fiscal_period,Lender normalization is not contractual EBITDA or cash flow.
P10M-008,earnings,unadjusted_ebitda,FY2024,115.154,USD_millions,$115.154m,approved_prior_phase_calculation,data/phase2/processed/earnings_bridges.csv,SRC-001,approved_upstream,FY2024,annual_fiscal_period,Negative EBITDA produces N/M where used as a denominator.
P10M-009,historical,revenue,FY2025,1837.641,USD_millions,"$1,837.641m",approved_prior_phase_fact_or_calculation,data/phase2/processed/historical_spread.csv,SRC-001,approved_upstream,FY2025,annual_fiscal_period,first_full_post_tyman_year_with_integration_effects
P10M-010,historical,operating_income,FY2025,-193.952,USD_millions,$-193.952m,approved_prior_phase_fact_or_calculation,data/phase2/processed/historical_spread.csv,SRC-001,approved_upstream,FY2025,annual_fiscal_period,first_full_post_tyman_year_with_integration_effects
P10M-011,historical,cash_flow_from_operations,FY2025,164.897,USD_millions,$164.897m,approved_prior_phase_fact_or_calculation,data/phase2/processed/historical_spread.csv,SRC-001,approved_upstream,FY2025,annual_fiscal_period,first_full_post_tyman_year_with_integration_effects
P10M-012,historical,free_cash_flow,FY2025,102.255,USD_millions,$102.255m,approved_prior_phase_fact_or_calculation,data/phase2/processed/historical_spread.csv,SRC-001,approved_upstream,FY2025,annual_fiscal_period,first_full_post_tyman_year_with_integration_effects; Mechanical calculation; not an analyst adjustment.
P10M-013,historical,cfo_to_provisional_lender_normalized_ebitda,FY2025,73.1756780744106787844362397,percent,73.2%,approved_prior_phase_calculation,data/phase2/processed/historical_credit_metrics.csv,,approved_upstream,FY2025,annual_fiscal_period,
P10M-014,historical,fcf_to_provisional_lender_normalized_ebitda,FY2025,45.37728983243396762283442204,percent,45.4%,approved_prior_phase_calculation,data/phase2/processed/historical_credit_metrics.csv,,approved_upstream,FY2025,annual_fiscal_period,
P10M-015,earnings,lender_base_ebitda,FY2025,225.344,USD_millions,$225.344m,owner_reviewed_prior_phase_calculation,data/phase2/processed/earnings_bridges.csv,P2 adjustment decisions,owner_reviewed_upstream,FY2025,annual_fiscal_period,Lender normalization is not contractual EBITDA or cash flow.
P10M-016,earnings,unadjusted_ebitda,FY2025,-90.508,USD_millions,$-90.508m,approved_prior_phase_calculation,data/phase2/processed/earnings_bridges.csv,SRC-001,approved_upstream,FY2025,annual_fiscal_period,Negative EBITDA produces N/M where used as a denominator.
P10M-017,structure,term_facility,selected,635,USD_millions,$635.000m,hypothetical_proposed_term,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,facility_term,hypothetical_proposed_term,Terms remain hypothetical and subject to final documentation.
P10M-018,structure,revolver_commitment,selected,300,USD_millions,$300.000m,hypothetical_proposed_term,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,facility_term,hypothetical_proposed_term,Terms remain hypothetical and subject to final documentation.
P10M-019,structure,opening_revolver_draw,selected,29.89771875,USD_millions,$29.898m,approved_prior_phase_calculation,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,2026-01-31,hypothetical_closing_point_in_time,Terms remain hypothetical and subject to final documentation.
P10M-020,structure,conditional_non_debt_source,selected,15,USD_millions,$15.000m,conditional_hypothetical_source,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,facility_term,hypothetical_proposed_term,Terms remain hypothetical and subject to final documentation.
P10M-021,structure,opening_funded_debt,selected,727.51671875,USD_millions,$727.517m,approved_prior_phase_calculation,data/phase7/processed/STRUCTURE_COMPARISON.csv,SRC-001;SRC-002;SRC-003,owner_reviewed_upstream,2026-01-31,hypothetical_closing_point_in_time,Terms remain hypothetical and subject to final documentation.
