comparison_id,item,existing_value,proposed_reference_value,units,existing_source_ids,proposed_status,borrower_benefit,lender_protection,principal_risk,owner_review_status,notes
FC-001,Funded term debt,468.750 at 2025-10-31,650 at hypothetical close,USD_millions,SRC-001;SRC-002,owner_reviewed_for_phase5_testing_not_final,Terms out bank payoff and supported costs,Creates scheduled deleveraging,Higher mandatory amortization and fees; dates differ,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-002,Revolver borrowings,172.500 at 2025-10-31,29.89771875 opening reference draw,USD_millions,SRC-001;SRC-002,owner_reviewed_for_phase5_testing_not_final,Restores revolver toward working-capital purpose,Visibility and control over seasonal drawings,Actual January balance and peak need are unknown,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-003,Facility commitments,$500m original term plus $475m revolver,Up to $650m term plus $300m revolver,USD_millions,SRC-003,owner_reviewed_for_phase5_testing_not_final,Potentially terms out persistent revolver use,New underwriting and protections,Headline total falls from $975m to $950m and term is not reusable,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-004,LC capacity and treatment,$30m sublimit; $6.2m outstanding,$6.2m replacement assumed; proposed sublimit pending,USD_millions,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Avoids operational disruption if replacement agreed,LC exposure consumes commitment,Issuer consent and final sublimit pending,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-005,Opening undrawn availability,296.300 reported,263.90228125,USD_millions,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Reference availability remains substantial,Explicit cap prevents overdraw,$300m commitment is $175m smaller and not yet proven sufficient,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-006,Final maturity,2029-08-01,2031-01-31,date,SRC-003,owner_reviewed_for_phase5_testing_not_final,Approximately 18-month extension,Longer runway for repayment,Limited extension relative to cost and restrictions,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-007,Annual scheduled term amortization,$25m,65 base 10% case,USD_millions,SRC-003,owner_reviewed_for_phase5_testing_not_final,Faster debt reduction,Reduces balloon,Raises near-term debt-service burden,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-008,Beginning funded principal in maturity reporting fiscal year,566.25,371.14771875,USD_millions,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Like-for-like reporting-year opening balance,Makes the maturity build auditable,Reporting fiscal years have different lengths before maturity,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-009,Scheduled term principal in maturity reporting fiscal year,18.75,16.25,USD_millions,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Separates installments from balloons,Shows contractual deleveraging,Quanex FY2031 contains only the January 2031 proposed installment,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-010,Final scheduled installment due on maturity date,0,16.25,USD_millions,SRC-003,owner_reviewed_for_phase5_testing_not_final,Separates same-day installment from balloon,Prevents understated maturity-date term due,"Existing final quarterly installment is July 31, 2029, one day before maturity",owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-011,Post-installment term balloon,375,325,USD_millions,SRC-003,owner_reviewed_for_phase5_testing_not_final,True post-installment balloon comparison,Separates residual refinance risk,Excludes revolver and retained debt,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-012,Total term principal due on maturity date,375,341.25,USD_millions,SRC-003,owner_reviewed_for_phase5_testing_not_final,Includes any same-day scheduled installment,Prevents balloon-definition ambiguity,Assumes no sweep or voluntary prepayment,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-013,Revolver principal due on maturity date,172.5,29.89771875,USD_millions,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Shows revolver separately,Makes maturity funding need visible,Opening/reference revolver is assumed unchanged solely for this comparison,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-014,Total funded principal due on maturity date,547.5,371.14771875,USD_millions,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Like-for-like same-date funded principal,Separates maturity wall from earlier installments,Excludes retained finance leases and other debt,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-015,Total funded principal payments in maturity reporting fiscal year,566.25,371.14771875,USD_millions,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Explains the reported $566.25m correctly,Prevents fiscal-year totals being mislabeled balloons,"$566.25m is the existing FY2029 total, not a maturity-date balloon",owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
FC-016,Total funded principal payments in final 12 months to maturity,572.5,419.89771875,USD_millions,SRC-001;SRC-003,owner_reviewed_for_phase5_testing_not_final,Consistent rolling-12-month comparison,Captures four proposed quarterly installments,Different from the Quanex reporting fiscal-year measure,owner_reviewed_for_phase5_testing,Existing and proposed values are not represented as equivalent-date borrower facts.
