source_id,document_type,document_title,reporting_or_effective_date,publication_or_filing_date,source_location,intended_analytical_use,authority,cutoff_status,notes
SRC-001,SEC 10-K,Quanex FY2025 Form 10-K,2025-10-31,2025-12-12,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,"Latest audited financials; business and segment description; debt balances; liquidity; maturity schedule; risks; FY2023-FY2025 history","Authoritative for filed audited financial statements and dated disclosures; governing debt documents control contract terms",ALLOWED,"Filed three calendar days before committee date"
SRC-002,SEC 8-K exhibit,Quanex Q4 and FY2025 results release,2025-10-31,2025-12-11,https://www.sec.gov/Archives/edgar/data/1423221/000117184325007891/exh_991.htm,"Latest management results presentation; adjusted EBITDA; cash flow; debt and liquidity cross-check","Supplemental borrower disclosure; non-GAAP measures require reconciliation; not authoritative over the credit agreement",ALLOWED,"Use alongside SRC-001"
SRC-003,SEC 8-K exhibit,Amendment No. 1 with conformed Second Amended and Restated Credit Agreement,2024-08-01,2024-06-13,https://www.sec.gov/Archives/edgar/data/1423221/000110465924071335/tm2417183d1_ex10-1.htm,"Operative facility terms after Tyman closing; commitments; pricing; amortization; covenants; baskets; guarantees; collateral","Primary authoritative contract for amended terms; executed June 12, 2024 and effective August 1, 2024",ALLOWED,"Controls over inconsistent 10-K summaries"
SRC-004,SEC 8-K exhibit,Second Amended and Restated Credit Agreement,2022-07-06,2022-07-06,https://www.sec.gov/Archives/edgar/data/1423221/000110465922077705/tm2220473d1_ex10-1.htm,"Original agreement architecture; schedules; definitions; pre-amendment history","Primary authoritative contract except where superseded by SRC-003",ALLOWED,"Read together with Amendment No. 1"
SRC-005,SEC 8-K exhibits,Quanex announcement of proposed Tyman acquisition,2024-04-22,2024-04-22,https://www.sec.gov/Archives/edgar/data/1423221/000110465924049723/tm2412350d1_8k.htm,"Transaction announcement; strategic rationale; initial consideration and synergy claims","Authoritative for announcement and management claims as of publication; projections are not facts",ALLOWED,"Includes cooperation agreement and investor presentation exhibits"
SRC-006,SEC DEFM14A,Quanex definitive merger proxy statement,2024-06-06,2024-06-06,https://www.sec.gov/Archives/edgar/data/1423221/000110465924068913/tm2414631-3_defm14a.htm,"Transaction background; consideration; financing; forecasts; risk factors; Tyman information","Primary transaction disclosure; forecasts remain management estimates and must retain their vintage",ALLOWED,"Do not import later actuals into forecast evaluation"
SRC-007,SEC 8-K,Completion of Tyman acquisition,2024-08-01,2024-08-01,https://www.sec.gov/Archives/edgar/data/1423221/000110465924084639/0001104659-24-084639-index.htm,"Closing confirmation; acquisition effective date; financing effectiveness","Authoritative for filed transaction completion facts",ALLOWED,"Index location retained because filing contains multiple relevant exhibits"
SRC-008,SEC 8-K/A exhibit,Unaudited pro forma condensed combined financial information,2024-08-01,2024-10-16,https://www.sec.gov/Archives/edgar/data/1423221/000110465924109176/tm2426109d1_ex99-1.htm,"Pro forma bridge and acquisition financing; Tyman historical alignment","Primary SEC-filed pro forma disclosure; unaudited and assumption-dependent",ALLOWED,"Useful for comparability bridge, not a substitute for reported results"
SRC-009,SEC 10-Q,Quanex FY2025 Q1 Form 10-Q,2025-01-31,2025-03-11,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000003/0001423221-25-000003-index.htm,"Interim debt, liquidity, cash flow, integration, and working-capital trend","Authoritative for filed interim financial statements and dated disclosures",ALLOWED,"Unaudited interim filing"
SRC-010,SEC 10-Q,Quanex FY2025 Q2 Form 10-Q,2025-04-30,2025-06-06,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000007/0001423221-25-000007-index.htm,"Interim debt, liquidity, cash flow, integration, and working-capital trend","Authoritative for filed interim financial statements and dated disclosures",ALLOWED,"Unaudited interim filing"
SRC-011,SEC 10-Q,Quanex FY2025 Q3 Form 10-Q,2025-07-31,2025-09-05,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000024/0001423221-25-000024-index.htm,"Interim debt, liquidity, impairment, segment recast, and cash flow trend","Authoritative for filed interim financial statements and dated disclosures",ALLOWED,"Unaudited interim filing"
SRC-012,SEC 10-K,Quanex FY2024 Form 10-K,2024-10-31,2024-12-16,https://www.sec.gov/Archives/edgar/data/1423221/000142322124000015/nx-20241031.htm,"FY2022-FY2024 audited history; initial post-close balance sheet; acquisition and financing disclosures","Authoritative for filed audited financial statements; governing debt documents control contract terms",ALLOWED,"Contains only three months of Tyman results"
SRC-013,SEC 10-K,Quanex FY2023 Form 10-K,2023-10-31,2023-12-15,https://www.sec.gov/Archives/edgar/data/1423221/000142322123000016/nx-20231031.htm,"FY2021-FY2023 audited standalone history and pre-Tyman capital structure","Authoritative for filed audited financial statements",ALLOWED,"Pre-acquisition baseline"
SRC-014,SEC 10-K,Quanex FY2022 Form 10-K,2022-10-31,2022-12-16,https://www.sec.gov/Archives/edgar/data/1423221/000142322122000014/nx-20221031.htm,"FY2020-FY2022 audited history and 2022 refinancing disclosure","Authoritative for filed audited financial statements",ALLOWED,"Supports FY2021-FY2022 history"
SRC-015,SEC 10-K,Quanex FY2021 Form 10-K,2021-10-31,2021-12-17,https://www.sec.gov/Archives/edgar/data/1423221/000142322121000018/0001423221-21-000018-index.htm,"FY2019-FY2021 audited history and predecessor financing baseline","Authoritative for filed audited financial statements",ALLOWED,"Earliest target historical year"
SRC-016,SEC 8-K exhibit,Quanex FY2025 Q2 results release and covenant clarification,2025-04-30,2025-06-05,https://www.sec.gov/Archives/edgar/data/1423221/000117184325003726/exh_991.htm,"Borrower-reported covenant ratio and confirmation of acquisition-step-up timing","Supplemental borrower disclosure; governing agreement controls covenant construction",ALLOWED,"States 3.75x through FY2025 Q4 and 3.25x beginning FY2026 Q1"
