decision_id,topic,working_decision,decision_status,governing_evidence,conditionality,consequence_if_not_approved_or_satisfied,owner_action_required
P10D-001,recommendation,"Conditional Approval of the selected structure, subject to every material condition.",owner_reviewed,P10M-015:P10M-091;P10R-001:P10R-012,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the project recommendation; conditions remain open.
P10D-002,recommended facilities,"$635m fully funded term facility and $300m revolver, including a $29.898m opening draw; do not substitute incremental debt for the conditional $15m source.",owner_reviewed,P10M-017:P10M-022,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the hypothetical facility sizes.
P10D-003,bank hold,Up to $50m of combined commitments.,owner_reviewed,P10M-026;docs/phase-0/CASE_CHARTER.md,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the exposure cap.
P10D-004,transaction rationale,"No faster same-horizon deleveraging; support rests only on maturity extension, liquidity structure, amortization, lender protections, and monitoring, subject to final economics and documents.",owner_reviewed,docs/phase-0/EXISTING_FINANCING.md;P10M-075:P10M-079,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the corrected rationale.
P10D-005,fallback alternative,"If any material condition fails, do not close as modeled and do not add debt; retain or amend the existing facilities through a limited amendment or extension.",owner_reviewed,P10M-079:P10M-081;P10R-012,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the mandatory fallback.
P10D-006,decisive strengths,"FY2025 cash conversion, full-year post-Tyman earnings capacity, base interim debt service, opening liquidity, amortization/sweep, capped hold, and explicit fallback.",owner_reviewed,P10M-007:P10M-015;P10M-031:P10M-041,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the strengths.
P10D-007,decisive risks,"Thin opening leverage cushion, no same-horizon debt benefit, early moderate breach, severe liquidity/payment failure, integration/control risk, $324.780m maturity gap, unresolved refinancing, and N/D recovery.",owner_reviewed,P10M-021:P10M-074;P10R-005:P10R-011,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the risks.
P10D-008,conditions precedent,"Require the full closing, legal, financial, funding, and diligence package in P10CM-001 through P10CM-013.",owner_reviewed,P10CM-001:P10CM-013,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the CP package; satisfaction remains open.
P10D-009,distribution restrictions,"No debt-funded buybacks; distributions conditioned on no default, leverage, liquidity, draw usage, and pro forma compliance.",owner_reviewed,P10CM-014:P10CM-015,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the restriction framework.
P10D-010,monitoring and escalation,"Use monthly liquidity/integration reporting, quarterly certificates, early covenant intervention, and maturity escalation.",owner_reviewed,P10CM-018:P10CM-026,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the monitoring framework.
P10D-011,risk-grade wording,"Elevated is a project-specific qualitative risk assessment, not a bank grade, agency rating, calibrated PD, or official classification.",owner_reviewed,P10M-082;P10R-009,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the qualified assessment.
P10D-012,recovery wording,Official recovery remains N/D; collateral/business-sale recoveries are secondary backstops and the two illustrative methods remain separate alternatives.,owner_reviewed,P10M-083:P10M-096,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the recovery boundary.
P10D-013,residual refinancing dependency,"The $324.780m bank-debt gap at January 31, 2031 is an unresolved separately underwritten maturity dependency; no takeout proceeds are assumed.",owner_reviewed,P10M-041;P10M-053;P10M-065;P10M-077:P10M-081,"Owner reviewed; all applicable closing, documentation, diligence, covenant, and monitoring requirements remain conditions, not satisfied facts.","Owner decision is recorded; if a material closing condition remains unsatisfied, do not close the modeled refinancing and use the mandatory fallback.",Owner approved the refinancing conclusion.
