common_horizon_id,candidate_id,candidate_name,scenario_id,period_start,period_end,cumulative_cash_interest,cumulative_scheduled_principal,cumulative_ecf_sweep,cumulative_revolver_repayments,ending_term_debt,ending_revolver_debt,ending_total_bank_debt,ending_total_funded_debt,peak_revolver_usage,opening_usable_liquidity,subsequent_minimum_usable_liquidity,subsequent_minimum_liquidity_date,all_in_minimum_usable_liquidity,all_in_minimum_liquidity_date,unpaid_mandatory_obligations,first_warning_date,first_breach_date,warning_status,covenant_status,comparison_status,source_ids,upstream_ids,review_status,limitations
P7CH-001,STR-001,Retain existing facilities,BASE,2026-02-01,2029-07-31,127.4711665797101677540328191,87.5,0,169.2340601427289049587548786,375,57.74928120671001765492741287,432.7492812067100176549274129,495.3682812067100176549274129,207.39771875,261.40228125,267.8138952390046777486444724,2026-02-28,261.40228125,OPENING_POSITION,0,2026-01-31,,warning,not_determinable,common_horizon_comparable,SRC-001;SRC-002;SRC-003,STR-001;BASE;P6M-BASE,owner_reviewed,All quantitative candidates use the same 2026-02-01 through 2029-07-31 horizon. The existing-facility maturity event is shown separately in the ultimate-maturity view.
P7CH-002,STR-002,Limited amendment or extension,BASE,2026-02-01,2029-07-31,,,,,,,,,,,,,,,,,,,,not_determinable,SRC-001;SRC-003,PT-002:PT-024,owner_reviewed,No lender proposal or sufficiently complete public terms support quantitative modeling.
P7CH-003,STR-003,$650m reference term / 10% amortization,BASE,2026-02-01,2029-07-31,130.0565446238712572817742345,227.5,0,156.9973388133452991118844743,422.5,22.83465925087110718266882846,445.3346592508711071826688285,507.9536592508711071826688285,39.95416505588877547275839092,263.90228125,253.8458349441112245272416091,2028-01-31,253.8458349441112245272416091,2028-01-31,0,2026-01-31,,warning,not_determinable,common_horizon_comparable,SRC-001;SRC-002;SRC-003,STR-003;BASE;P6M-BASE,owner_reviewed,All quantitative candidates use the same 2026-02-01 through 2029-07-31 horizon. The existing-facility maturity event is shown separately in the ultimate-maturity view.
P7CH-004,STR-004,$650m term / 5% amortization,BASE,2026-02-01,2029-07-31,134.2974907063608761125200371,113.75,41.16379009456674369805088729,40.62428765978131673170288712,495.0862099054332563019491128,0,495.0862099054332563019491128,557.7052099054332563019491128,29.89771875,263.90228125,270.2589949494620632584278036,2026-02-28,263.90228125,OPENING_POSITION,0,2026-01-31,,warning,not_determinable,common_horizon_comparable,SRC-001;SRC-002;SRC-003,STR-004;BASE;P6M-BASE,owner_reviewed,All quantitative candidates use the same 2026-02-01 through 2029-07-31 horizon. The existing-facility maturity event is shown separately in the ultimate-maturity view.
P7CH-005,STR-005,$650m term / 7.5% amortization,BASE,2026-02-01,2029-07-31,131.3149823858197271653488777,170.625,12.32796212545365005326458263,81.13384417561785765894561659,467.0470378745463499467354173,0,467.0470378745463499467354173,529.6660378745463499467354173,29.89771875,263.90228125,270.2589949494620632584278036,2026-02-28,263.90228125,OPENING_POSITION,0,2026-01-31,,warning,not_determinable,common_horizon_comparable,SRC-001;SRC-002;SRC-003,STR-005;BASE;P6M-BASE,owner_reviewed,All quantitative candidates use the same 2026-02-01 through 2029-07-31 horizon. The existing-facility maturity event is shown separately in the ultimate-maturity view.
P7CH-006,STR-006,$650m term / 15% amortization,BASE,2026-02-01,2029-07-31,130.0565446238709303788544651,341.25,0,156.9973388133450422121352268,308.75,136.5846592508707802797490589,445.3346592508707802797490589,507.9536592508707802797490589,136.5846592508707802797490589,263.90228125,157.2153407491292197202509411,2029-07-31,157.2153407491292197202509411,2029-07-31,0,2026-01-31,,warning,not_determinable,common_horizon_comparable,SRC-001;SRC-002;SRC-003,STR-006;BASE;P6M-BASE,owner_reviewed,All quantitative candidates use the same 2026-02-01 through 2029-07-31 horizon. The existing-facility maturity event is shown separately in the ultimate-maturity view.
P7CH-007,STR-007,$625m term / conditional $25m contribution / 7.5% amortization,BASE,2026-02-01,2029-07-31,125.4906634427973677052797715,164.0625,18.73527818195265728599723584,68.19505572185535647908267661,442.2022218180473427140027641,0,442.2022218180473427140027641,504.8212218180473427140027641,29.89771875,263.90228125,270.3962456733185994839694754,2026-02-28,263.90228125,OPENING_POSITION,0,,,not_determinable,not_determinable,common_horizon_comparable,SRC-001;SRC-002;SRC-003,STR-007;BASE;P6M-BASE,owner_reviewed,All quantitative candidates use the same 2026-02-01 through 2029-07-31 horizon. The existing-facility maturity event is shown separately in the ultimate-maturity view.
P7CH-008,STR-008,$635m practical term / $15m conditional contribution / 7.5% amortization,BASE,2026-02-01,2029-07-31,127.8081479683407016420935855,166.6875,16.177792213819660490533563,72.15900616610626947720195357,452.134707786180339509466437,0,452.134707786180339509466437,514.753707786180339509466437,29.89771875,263.90228125,270.3413453837759849937528067,2026-02-28,263.90228125,OPENING_POSITION,0,,,not_determinable,not_determinable,common_horizon_comparable,SRC-001;SRC-002;SRC-003,STR-008;BASE;P6M-BASE,owner_reviewed,All quantitative candidates use the same 2026-02-01 through 2029-07-31 horizon. The existing-facility maturity event is shown separately in the ultimate-maturity view.
P7CH-009,STR-009,Exact 3.25x analytical total-funded-debt boundary / 7.5% amortization,BASE,2026-02-01,2029-07-31,128.9399492261435986813005125,167.960961328125,14.93268497892793585242507598,74.62789350313124284507818848,456.957634942947064147574924,0,456.957634942947064147574924,519.576634942947064147574924,29.89771875,263.90228125,270.3147117092482193185161634,2026-02-28,263.90228125,OPENING_POSITION,0,2026-01-31,,warning,not_determinable,common_horizon_comparable,SRC-001;SRC-002;SRC-003,STR-009;BASE;P6M-BASE,owner_reviewed,All quantitative candidates use the same 2026-02-01 through 2029-07-31 horizon. The existing-facility maturity event is shown separately in the ultimate-maturity view.
P7CH-010,STR-010,$640m rounded term / $10m contribution / reference revolver,BASE,2026-02-01,2029-07-31,128.9746452290415701386448078,168,14.89451551769765701144390288,74.70357863036503964011122101,457.1054844823023429885560972,0,457.1054844823023429885560972,519.7244844823023429885560972,29.89771875,263.90228125,270.3138952390046777486444724,2026-02-28,263.90228125,OPENING_POSITION,0,2026-01-31,,warning,not_determinable,common_horizon_comparable,SRC-001;SRC-002;SRC-003,STR-010;BASE;P6M-BASE,owner_reviewed,All quantitative candidates use the same 2026-02-01 through 2029-07-31 horizon. The existing-facility maturity event is shown separately in the ultimate-maturity view.
