drawability_path_id,scenario_id,structure,path_convention,analytical_trigger_date,shutoff_effective_date,new_draws_after_shutoff,outstanding_revolver_preserved,minimum_usable_liquidity,cash_floor_failure_date,revolver_capacity_exhaustion_date,first_mandatory_payment_failure_date,failed_obligation_type,maturity_gap,status,classification,review_status,source_ids,upstream_ids,limitations
P6DP-001,BASE,proposed,WAIVER_OR_CONTINUED_DRAWABILITY,,,not_applicable,yes,253.8458349441112245272416091,,,,,340.9478312215931607465924833,MATURITY_SHORTFALL,analytical_drawability_convention_not_legal_conclusion,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P6M-BASE-P-0001:P6M-BASE-P-0060,Proposed no-waiver shutoff is a Phase 6 stress convention. Existing drawability remains an analytical warning because formal covenant inputs are incomplete.
P6DP-002,BASE,existing,EXISTING_ANALYTICAL_WARNING_ONLY,,,not_applicable,yes,261.40228125,,,,,432.7492812067100176549274129,MATURITY_SHORTFALL,analytical_drawability_convention_not_legal_conclusion,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P6M-BASE-E-0001:P6M-BASE-E-0042,Proposed no-waiver shutoff is a Phase 6 stress convention. Existing drawability remains an analytical warning because formal covenant inputs are incomplete.
P6DP-003,MODERATE_UNMITIGATED,proposed,WAIVER_OR_CONTINUED_DRAWABILITY,2026-10-31,,not_applicable,yes,146.52382165301649088122847,,,,,429.4873934816684656788537555,MATURITY_SHORTFALL,analytical_drawability_convention_not_legal_conclusion,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-P-0001:P6M-MODERATE_UNMITIGATED-P-0060,Proposed no-waiver shutoff is a Phase 6 stress convention. Existing drawability remains an analytical warning because formal covenant inputs are incomplete.
P6DP-004,MODERATE_UNMITIGATED,existing,EXISTING_ANALYTICAL_WARNING_ONLY,2026-10-31,,not_applicable,yes,184.8102137001846421429909361,,,,,512.8279388043013359737406642,MATURITY_SHORTFALL,analytical_drawability_convention_not_legal_conclusion,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-E-0001:P6M-MODERATE_UNMITIGATED-E-0042,Proposed no-waiver shutoff is a Phase 6 stress convention. Existing drawability remains an analytical warning because formal covenant inputs are incomplete.
P6DP-005,SEVERE_UNMITIGATED,proposed,WAIVER_OR_CONTINUED_DRAWABILITY,2026-07-31,,not_applicable,yes,0,2027-04-30,2027-04-30,2027-07-31,SCHEDULED_TERM_PRINCIPAL,599.6383060174362866681549561,MANDATORY_PAYMENT_FAILURE,analytical_drawability_convention_not_legal_conclusion,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-SEVERE_UNMITIGATED-P-0001:P6M-SEVERE_UNMITIGATED-P-0060,Proposed no-waiver shutoff is a Phase 6 stress convention. Existing drawability remains an analytical warning because formal covenant inputs are incomplete.
P6DP-006,SEVERE_UNMITIGATED,existing,EXISTING_ANALYTICAL_WARNING_ONLY,2026-10-31,,not_applicable,yes,0,2028-01-31,2028-01-31,,,705.6846154956622955690639524,LIQUIDITY_FAILURE,analytical_drawability_convention_not_legal_conclusion,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-SEVERE_UNMITIGATED-E-0001:P6M-SEVERE_UNMITIGATED-E-0042,Proposed no-waiver shutoff is a Phase 6 stress convention. Existing drawability remains an analytical warning because formal covenant inputs are incomplete.
P6DP-007,MODERATE_MITIGATED,proposed,WAIVER_OR_CONTINUED_DRAWABILITY,2026-10-31,,not_applicable,yes,150.3823314888083323719222941,,,,,401.5690299099911542104946431,MATURITY_SHORTFALL,analytical_drawability_convention_not_legal_conclusion,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-MODERATE_MITIGATED-P-0001:P6M-MODERATE_MITIGATED-P-0060,Proposed no-waiver shutoff is a Phase 6 stress convention. Existing drawability remains an analytical warning because formal covenant inputs are incomplete.
P6DP-008,MODERATE_MITIGATED,existing,EXISTING_ANALYTICAL_WARNING_ONLY,2026-10-31,,not_applicable,yes,188.1087898688856167194997751,,,,,494.6720104641684677507816819,MATURITY_SHORTFALL,analytical_drawability_convention_not_legal_conclusion,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-MODERATE_MITIGATED-E-0001:P6M-MODERATE_MITIGATED-E-0042,Proposed no-waiver shutoff is a Phase 6 stress convention. Existing drawability remains an analytical warning because formal covenant inputs are incomplete.
P6DP-009,SEVERE_MITIGATED,proposed,WAIVER_OR_CONTINUED_DRAWABILITY,2026-08-31,,not_applicable,yes,0,2027-06-30,2027-06-30,2027-10-31,SCHEDULED_TERM_PRINCIPAL,552.112862534656563368911288,MANDATORY_PAYMENT_FAILURE,analytical_drawability_convention_not_legal_conclusion,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-SEVERE_MITIGATED-P-0001:P6M-SEVERE_MITIGATED-P-0060,Proposed no-waiver shutoff is a Phase 6 stress convention. Existing drawability remains an analytical warning because formal covenant inputs are incomplete.
P6DP-010,SEVERE_MITIGATED,existing,EXISTING_ANALYTICAL_WARNING_ONLY,2026-10-31,,not_applicable,yes,10.9474077815925847135855997,,,,,660.7809458638400880886680856,MATURITY_SHORTFALL,analytical_drawability_convention_not_legal_conclusion,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-SEVERE_MITIGATED-E-0001:P6M-SEVERE_MITIGATED-E-0042,Proposed no-waiver shutoff is a Phase 6 stress convention. Existing drawability remains an analytical warning because formal covenant inputs are incomplete.
