reconciliation_id,candidate_id,candidate_name,term_commitment,initial_term_funding,opening_revolver,required_non_debt_contribution,total_sources,reference_closing_uses,sources_less_uses,opening_bank_debt,retained_other_funded_debt,opening_total_funded_debt,closing_gross_leverage,warning_status,covenant_status,undrawn_term_commitment,unused_term_commitment_treatment,status,source_ids,upstream_ids,review_status,limitations
P7SU-001,STR-001,Retain existing facilities,,,,,,,,,,,,not_determinable,not_determinable,,,not_determinable,SRC-001;SRC-002;SRC-003,STR-001,owner_reviewed,Existing retention and amend/extend are not the Phase 4 reference refinancing sources-and-uses case.
P7SU-002,STR-002,Limited amendment or extension,,,,,,,,,,,,not_determinable,not_determinable,,,not_determinable,SRC-001;SRC-002;SRC-003,STR-002,owner_reviewed,Existing retention and amend/extend are not the Phase 4 reference refinancing sources-and-uses case.
P7SU-003,STR-003,$650m reference term / 10% amortization,650,650,29.89771875,0,679.89771875,679.89771875,0,679.89771875,62.619,742.51671875,3.295036560769312695257029253,warning,compliant,0,none; funded term equals commitment and no delayed-draw availability is assumed,compliant,SRC-001;SRC-002;SRC-003,STR-003,owner_reviewed,"The reference closing-use total remains subject to final payoff, fee, hedge and LC evidence. Non-debt contributions remain pending evidence and cannot use the $25m operating cash floor."
P7SU-004,STR-004,$650m term / 5% amortization,650,650,29.89771875,0,679.89771875,679.89771875,0,679.89771875,62.619,742.51671875,3.295036560769312695257029253,warning,compliant,0,none; funded term equals commitment and no delayed-draw availability is assumed,compliant,SRC-001;SRC-002;SRC-003,STR-004,owner_reviewed,"The reference closing-use total remains subject to final payoff, fee, hedge and LC evidence. Non-debt contributions remain pending evidence and cannot use the $25m operating cash floor."
P7SU-005,STR-005,$650m term / 7.5% amortization,650,650,29.89771875,0,679.89771875,679.89771875,0,679.89771875,62.619,742.51671875,3.295036560769312695257029253,warning,compliant,0,none; funded term equals commitment and no delayed-draw availability is assumed,compliant,SRC-001;SRC-002;SRC-003,STR-005,owner_reviewed,"The reference closing-use total remains subject to final payoff, fee, hedge and LC evidence. Non-debt contributions remain pending evidence and cannot use the $25m operating cash floor."
P7SU-006,STR-006,$650m term / 15% amortization,650,650,29.89771875,0,679.89771875,679.89771875,0,679.89771875,62.619,742.51671875,3.295036560769312695257029253,warning,compliant,0,none; funded term equals commitment and no delayed-draw availability is assumed,compliant,SRC-001;SRC-002;SRC-003,STR-006,owner_reviewed,"The reference closing-use total remains subject to final payoff, fee, hedge and LC evidence. Non-debt contributions remain pending evidence and cannot use the $25m operating cash floor."
P7SU-007,STR-007,$625m term / conditional $25m contribution / 7.5% amortization,625,625,29.89771875,25,679.89771875,679.89771875,0,654.89771875,62.619,717.51671875,3.184095066875532519170690145,compliant,compliant,0,none; funded term equals commitment and no delayed-draw availability is assumed,compliant,SRC-001;SRC-002;SRC-003,STR-007,owner_reviewed,"The reference closing-use total remains subject to final payoff, fee, hedge and LC evidence. Non-debt contributions remain pending evidence and cannot use the $25m operating cash floor."
P7SU-008,STR-008,$635m practical term / $15m conditional contribution / 7.5% amortization,635,635,29.89771875,15,679.89771875,679.89771875,0,664.89771875,62.619,727.51671875,3.228471664433044589605225788,compliant,compliant,0,none; funded term equals commitment and no delayed-draw availability is assumed,compliant,SRC-001;SRC-002;SRC-003,STR-008,owner_reviewed,"The reference closing-use total remains subject to final payoff, fee, hedge and LC evidence. Non-debt contributions remain pending evidence and cannot use the $25m operating cash floor."
P7SU-009,STR-009,Exact 3.25x analytical total-funded-debt boundary / 7.5% amortization,639.85128125,639.85128125,29.89771875,10.14871875,679.89771875,679.89771875,0,669.749,62.619,732.368,3.25,warning,compliant,0,none; funded term equals commitment and no delayed-draw availability is assumed,compliant,SRC-001;SRC-002;SRC-003,STR-009,owner_reviewed,"The reference closing-use total remains subject to final payoff, fee, hedge and LC evidence. Non-debt contributions remain pending evidence and cannot use the $25m operating cash floor."
P7SU-010,STR-010,$640m rounded term / $10m contribution / reference revolver,640,640,29.89771875,10,679.89771875,679.89771875,0,669.89771875,62.619,732.51671875,3.25065996321180062482249361,warning,compliant,0,none; funded term equals commitment and no delayed-draw availability is assumed,compliant,SRC-001;SRC-002;SRC-003,STR-010,owner_reviewed,"The reference closing-use total remains subject to final payoff, fee, hedge and LC evidence. Non-debt contributions remain pending evidence and cannot use the $25m operating cash floor."
P7SU-011,STR-011,$640m rounded term / exact non-debt source / reallocated revolver,640,640,29.749,10.14871875,679.89771875,679.89771875,0,669.749,62.619,732.368,3.25,warning,compliant,0,none; funded term equals commitment and no delayed-draw availability is assumed,compliant,SRC-001;SRC-002;SRC-003,STR-011,owner_reviewed,"The reference closing-use total remains subject to final payoff, fee, hedge and LC evidence. Non-debt contributions remain pending evidence and cannot use the $25m operating cash floor."
