grid_point_id,grid_name,structure,x_dimension,x_value,x_units,y_dimension,y_value,y_units,minimum_usable_liquidity,opening_revolver_balance,peak_subsequent_period_end_revolver,peak_revolver_including_opening,peak_revolver_date,first_distress_date,maturity_gap,minimum_interest_coverage,no_waiver_shortfall,classification,review_status,source_ids,upstream_ids,limitations
P6G-0001,volume_vs_gross_margin,proposed,volume_decline,5,percent,gross_margin_decline,150,basis_points,150.5145218426499695093163308,29.89771875,157.4364451837612196857412671,157.4364451837612196857412671,2031-01-31,2026-10-31,482.4364451837612196857412671,4.283651242113342695049206858,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0002,volume_vs_gross_margin,proposed,volume_decline,5,percent,gross_margin_decline,300,basis_points,31.4261007921659663982810901,29.89771875,280.3510517790593169294271198,280.3510517790593169294271198,2031-01-31,2026-10-31,605.3510517790593169294271198,3.618725986775263442444289129,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0003,volume_vs_gross_margin,proposed,volume_decline,5,percent,gross_margin_decline,450,basis_points,0,29.89771875,293.8,293.8,2029-10-31,2026-10-31,667.1020157252432159902996214,2.853032652918087064379307535,25,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0004,volume_vs_gross_margin,proposed,volume_decline,10,percent,gross_margin_decline,150,basis_points,137.5198775544204839447132249,29.89771875,170.8657030768646479955649789,170.8657030768646479955649789,2031-01-31,2026-10-31,495.8657030768646479955649789,4.080468765521076199742479876,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0005,volume_vs_gross_margin,proposed,volume_decline,10,percent,gross_margin_decline,300,basis_points,24.6992681381716930462470814,29.89771875,287.3111198513585553215048137,287.3111198513585553215048137,2031-01-31,2026-10-31,612.3111198513585553215048137,3.449686027674998039030017851,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0006,volume_vs_gross_margin,proposed,volume_decline,10,percent,gross_margin_decline,450,basis_points,0,29.89771875,293.8,293.8,2029-11-30,2026-10-31,666.3079378509443147188995921,2.717389934776598241996834881,25,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0007,volume_vs_gross_margin,proposed,volume_decline,15,percent,gross_margin_decline,150,basis_points,124.5252332661909983801101194,29.89771875,184.2949609699680763053886903,184.2949609699680763053886903,2031-01-31,2026-10-31,509.2949609699680763053886903,3.875043702462800632727034791,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0008,volume_vs_gross_margin,proposed,volume_decline,15,percent,gross_margin_decline,300,basis_points,17.9724354841795822283064146,29.89771875,293.8,293.8,2031-01-31,2026-10-31,618.8,3.278520515113234863053059859,0.4698980467146197899658852,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0009,volume_vs_gross_margin,proposed,volume_decline,15,percent,gross_margin_decline,450,basis_points,0,29.89771875,293.8,293.8,2029-11-30,2026-10-31,665.4984784178617617648373865,2.581077399046737704242801166,25,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
P6G-0010,dso_vs_dio,proposed,dso_increase,5,days,dio_increase,10,days,179.4691588360063131661704398,29.89771875,114.3308411639936868338295602,114.3308411639936868338295602,2029-02-28,2026-12-31,428.2513175006867665195146171,4.81303712443538466575297271,0,decision_relevant_two_variable_sensitivity,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Grid points are sensitivities, not forecasts or owner-approved scenario assumptions."
