maturity_comparison_id,candidate_id,candidate_name,scenario_id,period_start,maturity_date,horizon_months,cumulative_cash_interest,cumulative_scheduled_principal,cumulative_ecf_sweep,final_term_debt,final_revolver_debt,final_total_bank_debt,final_total_funded_debt,maturity_payment_due,available_cash_applied,unsupported_maturity_gap,first_interim_payment_failure_date,failed_obligation_type,comparison_status,source_ids,upstream_ids,review_status,limitations
P7UM-001,STR-001,Retain existing facilities,BASE,2026-02-01,2029-08-01,43,127.4711665797101677540328191,87.5,0,375,57.74928120671001765492741287,432.7492812067100176549274129,495.3682812067100176549274129,432.7492812067100176549274129,0,432.7492812067100176549274129,,,different_contractual_horizon_not_directly_comparable,SRC-001;SRC-002;SRC-003,STR-001;BASE;P6M-BASE-E-0042,owner_reviewed,"Existing and proposed structures have different maturities. Interest, amortization, cash generation and maturity balances are not directly comparable without the common-horizon view."
P7UM-002,STR-002,Limited amendment or extension,BASE,2026-02-01,,,,,,,,,,,,,,,not_determinable,SRC-001;SRC-003,PT-002:PT-024,owner_reviewed,No lender proposal or sufficiently complete public terms support quantitative modeling.
P7UM-003,STR-003,$650m reference term / 10% amortization,BASE,2026-02-01,2031-01-31,60,168.5538724511554641279824122,325,0,325,15.94783122159316074659248327,340.9478312215931607465924833,403.5668312215931607465924833,340.9478312215931607465924833,0,340.9478312215931607465924833,,,different_contractual_horizon_not_directly_comparable,SRC-001;SRC-002;SRC-003,STR-003;BASE;P6M-BASE-P-0060,owner_reviewed,"Existing and proposed structures have different maturities. Interest, amortization, cash generation and maturity balances are not directly comparable without the common-horizon view."
P7UM-004,STR-004,$650m term / 5% amortization,BASE,2026-02-01,2031-01-31,60,177.8915764158820586527899215,162.5,106.8970220266519061043799539,350.2855351863197552713999928,0,350.2855351863197552713999928,412.9045351863197552713999928,380.6029779733480938956200462,30.31744278702833862422005343,350.2855351863197552713999928,,,different_contractual_horizon_not_directly_comparable,SRC-001;SRC-002;SRC-003,STR-004;BASE;P6M-BASE-P-0060,owner_reviewed,"Existing and proposed structures have different maturities. Interest, amortization, cash generation and maturity balances are not directly comparable without the common-horizon view."
P7UM-005,STR-005,$650m term / 7.5% amortization,BASE,2026-02-01,2031-01-31,60,172.4923619895674089257862446,243.75,49.25699627213950722846753302,344.8863207600051055443963155,0,344.8863207600051055443963155,407.5053207600051055443963155,356.9930037278604927715324669,12.10668296785538722713615136,344.8863207600051055443963155,,,different_contractual_horizon_not_directly_comparable,SRC-001;SRC-002;SRC-003,STR-005;BASE;P6M-BASE-P-0060,owner_reviewed,"Existing and proposed structures have different maturities. Interest, amortization, cash generation and maturity balances are not directly comparable without the common-horizon view."
P7UM-006,STR-006,$650m term / 15% amortization,BASE,2026-02-01,2031-01-31,60,168.5287500781429377244630008,487.5,0,162.5,178.4227088485806343430730716,340.9227088485806343430730716,403.5417088485806343430730716,340.9227088485806343430730716,0,340.9227088485806343430730716,,,different_contractual_horizon_not_directly_comparable,SRC-001;SRC-002;SRC-003,STR-006;BASE;P6M-BASE-P-0060,owner_reviewed,"Existing and proposed structures have different maturities. Interest, amortization, cash generation and maturity balances are not directly comparable without the common-horizon view."
P7UM-007,STR-007,$625m term / conditional $25m contribution / 7.5% amortization,BASE,2026-02-01,2031-01-31,60,164.0031614302979898144869619,234.375,62.6307805034928184374631463,311.3971202007356864330970326,0,311.3971202007356864330970326,374.0161202007356864330970326,327.9942194965071815625368536,16.59709929577149512943982104,311.3971202007356864330970326,,,different_contractual_horizon_not_directly_comparable,SRC-001;SRC-002;SRC-003,STR-007;BASE;P6M-BASE-P-0060,owner_reviewed,"Existing and proposed structures have different maturities. Interest, amortization, cash generation and maturity balances are not directly comparable without the common-horizon view."
P7UM-008,STR-008,$635m practical term / $15m conditional contribution / 7.5% amortization,BASE,2026-02-01,2031-01-31,60,167.3857463497101250426302186,238.125,57.29216815223324129947648838,324.7797051201478216612402904,0,324.7797051201478216612402904,387.3987051201478216612402904,339.5828318477667587005235116,14.80312672761893703928322116,324.7797051201478216612402904,,,different_contractual_horizon_not_directly_comparable,SRC-001;SRC-002;SRC-003,STR-008;BASE;P6M-BASE-P-0060,owner_reviewed,"Existing and proposed structures have different maturities. Interest, amortization, cash generation and maturity balances are not directly comparable without the common-horizon view."
P7UM-009,STR-009,Exact 3.25x analytical total-funded-debt boundary / 7.5% amortization,BASE,2026-02-01,2031-01-31,60,169.0348389457612608610942436,239.94423046875,54.69526297140684990191040145,331.2800789661989574797043144,0,331.2800789661989574797043144,393.8990789661989574797043144,345.2117878098431500980895985,13.93170884364419261838528409,331.2800789661989574797043144,,,different_contractual_horizon_not_directly_comparable,SRC-001;SRC-002;SRC-003,STR-009;BASE;P6M-BASE-P-0060,owner_reviewed,"Existing and proposed structures have different maturities. Interest, amortization, cash generation and maturity balances are not directly comparable without the common-horizon view."
P7UM-010,STR-010,$640m rounded term / $10m contribution / reference revolver,BASE,2026-02-01,2031-01-31,60,169.0853928050162731024484624,240,54.61565338530812085055787856,331.4793515754539697210585334,0,331.4793515754539697210585334,394.0983515754539697210585334,345.3843466146918791494421215,13.90499503923790942838358815,331.4793515754539697210585334,,,different_contractual_horizon_not_directly_comparable,SRC-001;SRC-002;SRC-003,STR-010;BASE;P6M-BASE-P-0060,owner_reviewed,"Existing and proposed structures have different maturities. Interest, amortization, cash generation and maturity balances are not directly comparable without the common-horizon view."
