maturity_id,structure,case_id,amortization_case,fiscal_bucket,obligation_category,amount,units,measurement_basis,status,source_ids,owner_review_status,notes
MT-0001,existing,,EXISTING-EXECUTED,FY2026,reported_bank_facility_principal_payments,25,USD_millions,reported_fiscal_year_principal_payments,supported,SRC-001;SRC-003,not_applicable_existing_fact,Reported fiscal-year bank-facility principal payments.
MT-0002,existing,,EXISTING-EXECUTED,FY2027,reported_bank_facility_principal_payments,25,USD_millions,reported_fiscal_year_principal_payments,supported,SRC-001;SRC-003,not_applicable_existing_fact,Reported fiscal-year bank-facility principal payments.
MT-0003,existing,,EXISTING-EXECUTED,FY2028,reported_bank_facility_principal_payments,25,USD_millions,reported_fiscal_year_principal_payments,supported,SRC-001;SRC-003,not_applicable_existing_fact,Reported fiscal-year bank-facility principal payments.
MT-0004,existing,,EXISTING-EXECUTED,FY2029,reported_bank_facility_principal_payments,566.25,USD_millions,reported_fiscal_year_principal_payments,supported,SRC-001;SRC-003,not_applicable_existing_fact,"The $566.25m FY2029 amount is total bank-facility principal paid in Quanex FY2029: $18.75m of quarterly Term A installments, $375.00m Term A balloon and $172.50m revolver, assuming unchanged revolver principal. It is not a maturity-date balloon."
MT-0005,existing_and_retained,,,FY2026,finance_leases_and_other_contractual_payments,8.351,USD_millions,undiscounted_contractual_payments,supported,SRC-001,not_applicable_existing_fact,$24.874m aggregate present-value discount reconciles $87.493m payments to $62.619m carrying/principal amount; instrument split is not public.
MT-0006,existing_and_retained,,,FY2027,finance_leases_and_other_contractual_payments,8.031,USD_millions,undiscounted_contractual_payments,supported,SRC-001,not_applicable_existing_fact,$24.874m aggregate present-value discount reconciles $87.493m payments to $62.619m carrying/principal amount; instrument split is not public.
MT-0007,existing_and_retained,,,FY2028,finance_leases_and_other_contractual_payments,6.83,USD_millions,undiscounted_contractual_payments,supported,SRC-001,not_applicable_existing_fact,$24.874m aggregate present-value discount reconciles $87.493m payments to $62.619m carrying/principal amount; instrument split is not public.
MT-0008,existing_and_retained,,,FY2029,finance_leases_and_other_contractual_payments,6.498,USD_millions,undiscounted_contractual_payments,supported,SRC-001,not_applicable_existing_fact,$24.874m aggregate present-value discount reconciles $87.493m payments to $62.619m carrying/principal amount; instrument split is not public.
MT-0009,existing_and_retained,,,FY2030,finance_leases_and_other_contractual_payments,6.146,USD_millions,undiscounted_contractual_payments,supported,SRC-001,not_applicable_existing_fact,$24.874m aggregate present-value discount reconciles $87.493m payments to $62.619m carrying/principal amount; instrument split is not public.
MT-0010,existing_and_retained,,,Thereafter,finance_leases_and_other_contractual_payments,51.637,USD_millions,undiscounted_contractual_payments,supported,SRC-001,not_applicable_existing_fact,$24.874m aggregate present-value discount reconciles $87.493m payments to $62.619m carrying/principal amount; instrument split is not public.
MT-0011,existing_and_retained,,,FY2026,operating_lease_contractual_payments,23.884,USD_millions,undiscounted_debt_like_payments_separate_from_funded_debt,supported,SRC-001,not_applicable_existing_fact,$59.302m aggregate present-value discount reconciles $220.207m payments to $160.905m lease liability.
MT-0012,existing_and_retained,,,FY2027,operating_lease_contractual_payments,21.242,USD_millions,undiscounted_debt_like_payments_separate_from_funded_debt,supported,SRC-001,not_applicable_existing_fact,$59.302m aggregate present-value discount reconciles $220.207m payments to $160.905m lease liability.
MT-0013,existing_and_retained,,,FY2028,operating_lease_contractual_payments,19.576,USD_millions,undiscounted_debt_like_payments_separate_from_funded_debt,supported,SRC-001,not_applicable_existing_fact,$59.302m aggregate present-value discount reconciles $220.207m payments to $160.905m lease liability.
MT-0014,existing_and_retained,,,FY2029,operating_lease_contractual_payments,18.314,USD_millions,undiscounted_debt_like_payments_separate_from_funded_debt,supported,SRC-001,not_applicable_existing_fact,$59.302m aggregate present-value discount reconciles $220.207m payments to $160.905m lease liability.
MT-0015,existing_and_retained,,,FY2030,operating_lease_contractual_payments,16.982,USD_millions,undiscounted_debt_like_payments_separate_from_funded_debt,supported,SRC-001,not_applicable_existing_fact,$59.302m aggregate present-value discount reconciles $220.207m payments to $160.905m lease liability.
MT-0016,existing_and_retained,,,Thereafter,operating_lease_contractual_payments,120.209,USD_millions,undiscounted_debt_like_payments_separate_from_funded_debt,supported,SRC-001,not_applicable_existing_fact,$59.302m aggregate present-value discount reconciles $220.207m payments to $160.905m lease liability.
MT-0017,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,term_principal_outstanding_at_beginning_of_period,393.75,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,
MT-0018,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,revolver_principal_outstanding_at_beginning_of_period,172.5,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0019,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,total_funded_principal_outstanding_at_beginning_of_period,566.25,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0020,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,scheduled_term_principal_payments_during_period,18.75,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,
MT-0021,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,final_scheduled_term_installment_due_on_maturity_date,0,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,
MT-0022,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,post_installment_term_balloon,375,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,
MT-0023,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,total_term_principal_due_on_maturity_date,375,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,
MT-0024,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,revolver_principal_due_on_maturity_date,172.5,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0025,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,total_funded_principal_due_on_maturity_date,547.5,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
MT-0026,existing,,EXISTING-EXECUTED,FY2029_maturity_reporting_year,total_funded_principal_payments_during_period,566.25,USD_millions,authoritative_principal_schedule; period_after_2028-11-01_through_2029-08-01,supported_calculation,SRC-001;SRC-003,not_applicable_existing_fact,Revolver equals the opening draw and is assumed unchanged through maturity solely for this principal comparison; Phase 5 must model actual draws and repayments.
