decision_id,topic,proposed_choice,alternatives_considered,quantified_effect,required_evidence,source_ids,upstream_ids,owner_review_status,human_review_status,review_note,limitations
P7OD-001,recommended structure,$635m practical term / $15m conditional contribution / 7.5% amortization,Retain existing; amend/extend; exact analytical boundary; $639m; $640m; full $650m reference; alternative amortization,$635m term commitment and funding; $15m conditional non-debt contribution; opening gross leverage 3.228471664433044589605225788,Executable closing source and final lender diligence,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-002,term commitment and funding,$635m term commitment funded at closing; no continuing unused term availability,$650m cap; exact $639.851m boundary; $639m and $640m rounded alternatives,Avoids false precision and closes below the inclusive 3.25x warning,"Payoff, fees, hedge, LC and funds-flow evidence",SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-003,amortization,"7.5% annually, paid 1.875% quarterly","5%, 10%, 15%",Balances scheduled service with a separately modeled ECF sweep,Lender approval and final legal documentation,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-004,gross or net leverage,Gross total funded leverage; zero cash netting,Bank-only gross; capped-cash net; existing-style net leverage,Reference $650m term is 3.295x on zero-cash total funded debt,"Final funded-debt, EBITDA and cash definitions",SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-005,leverage covenant,"3.50x through FY2027, 3.25x FY2028, 3.00x thereafter",3.25x initial gross covenant; existing 3.25x net test; flat 3.50x,"At closing the 0.25x interval equals $56.336m of debt capacity or $16.096m of EBITDA cushion at the exact analytical boundary; it is maintenance cushion, not sizing capacity",Legal drafting and quarterly certification,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-006,analyst leverage warning,3.25x / 3.00x / 2.75x with inclusive activation,Strictly-greater warning boundary; Phase 6 bank-leverage warnings,"Exactly 3.25x is warning, not breach; selected $635m structure closes below warning",Implementation control and ongoing monitoring data,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-007,cash-interest coverage,3.00x covenant; 3.50x warning,No coverage covenant; higher covenant,Preserves Phase 6 3.00x test as covenant proposal with earlier warning,Complete LTM cash-interest denominator,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-008,minimum liquidity,$50m covenant; $75m warning,$50m only,Adds earlier intervention while preserving the committed Phase 6 $50m failure level,Eligible cash and drawability definitions,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-009,operating cash floor,$25m separate model control,Treat as covenant cash or closing contribution,No cash-netting or contribution credit,"Cash by entity, jurisdiction and restriction",SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-010,ECF sweep,"50%, after revolver repayment, no step-down",25% or leverage-based step-down,Preserves a clear deleveraging mechanism without double-counting operating uses,Final legal ECF definition and annual certificate,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-011,share repurchases,Prohibit debt-funded repurchases and all repurchases while revolver debt is outstanding,Only prohibit directly draw-funded repurchases,Addresses both Phase 6 narrow and broad flags,"Owner, lender and legal approval",SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-012,dividends,"Permit only if no default, gross leverage <=3.00x and liquidity >=$75m after payment",Full suspension; looser basket,Preserves limited flexibility with measurable protection,Board policy and legal drafting,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-013,warning response,Suspend repurchases; deliver a 10-business-day action plan and monthly reporting,Observation only,Creates an intervention timeline before breach,Lender agreement and final legal documentation,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-014,breach response,Suspend all restricted payments; covenant-linked no-waiver shutoff begins in the following month,Immediate same-day shutoff; continued drawability or waiver,Warnings alone do not terminate draws; Phase 6 analytical shutoff remains a separately labeled sensitivity,"Final events-of-default, notice, cure and waiver terms",SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-015,equity cures and acquisition step-ups,None assumed,Negotiated cure or step-up,Avoids unsupported covenant relief,Private lender proposal and legal drafting,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-016,maturity refinancing,No refinancing assumed,Refinancing at or before maturity,Keeps unsupported maturity gaps visible,Future market access cannot be established at cutoff,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-017,book-cash leverage,Diagnostic only,Use book cash as eligible cash,Prevents $76.018m book cash and $46.9m foreign cash from being treated as available,Cash-access diligence,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-018,amend/extend option,Retain as qualitative live alternative,Discard option; invent economics,Avoids an unsupported refinancing superiority conclusion,Lender amendment proposal,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-019,financing comparison horizon,"Use July 31, 2029 common horizon and separate ultimate-maturity view",Compare cumulative totals through different maturities,Removes the approximately 18-month horizon mismatch from direct comparisons,Deterministic presentation control,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-020,coverage status terminology,N/D for missing inputs; N/M only for zero or negative denominator,Use N/M for all unavailable coverage,Keeps missing information distinct from mathematically non-meaningful ratios,Deterministic status control,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
P7OD-021,drawability path taxonomy,"Separate continued-draw, Phase 7 covenant-linked no-waiver, and inherited Phase 6 analytical shutoff",One combined no-waiver path,Prevents an analytical warning from being presented as a legal draw termination,Final legal draw conditions remain pending,SRC-001;SRC-002;SRC-003,PT-002:PT-024;P6R-001:P6R-014;P6RS-001:P6RS-024,owner_reviewed,owner_reviewed,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps.","Owner review records underwriting judgment, not an observed borrower fact or external evidence. Required evidence and all stated conditions remain open."
