candidate_id,fiscal_year,period_start,period_end,metric_name,original_value,original_units,normalized_value,normalized_units,source_id,source_reference,company_treatment,phase2_status,notes
AC-001,FY2025,2024-11-01,2025-10-31,goodwill_impairment,302284,USD_thousands,302.284,USD_millions,SRC-002,"FY2025 results release, Adjusted EBITDA reconciliation",added_back_in_company_ebitda_bridge,unreviewed,Company-disclosed non-GAAP item only; no lender-normalization judgment made.
AC-002,FY2025,2024-11-01,2025-10-31,plant_relocation_cost_of_sales,1432,USD_thousands,1.432,USD_millions,SRC-002,"FY2025 results release, Selected Segment Data reconciliation",added_back_by_company,unreviewed,Company-disclosed non-GAAP item only; no lender-normalization judgment made.
AC-003,FY2025,2024-11-01,2025-10-31,plant_relocation_sga,221,USD_thousands,0.221,USD_millions,SRC-002,"FY2025 results release, Selected Segment Data reconciliation",added_back_by_company,unreviewed,Company-disclosed non-GAAP item only; no lender-normalization judgment made.
AC-004,FY2025,2024-11-01,2025-10-31,inventory_purchase_accounting_step_up,9007,USD_thousands,9.007,USD_millions,SRC-002,"FY2025 results release, Selected Segment Data reconciliation",added_back_by_company,unreviewed,Company-disclosed non-GAAP item only; no lender-normalization judgment made.
AC-005,FY2025,2024-11-01,2025-10-31,transaction_advisory_reorganization_and_product_recall,10263,USD_thousands,10.263,USD_millions,SRC-002,"FY2025 results release, Selected Segment Data reconciliation",added_back_by_company,unreviewed,Company-disclosed non-GAAP item only; no lender-normalization judgment made.
AC-006,FY2025,2024-11-01,2025-10-31,restructuring_severance_and_software,10191,USD_thousands,10.191,USD_millions,SRC-002,"FY2025 results release, Selected Segment Data reconciliation",added_back_by_company,unreviewed,Company-disclosed non-GAAP item only; no lender-normalization judgment made.
AC-007,FY2025,2024-11-01,2025-10-31,tyman_post_measurement_period_tax_correction,9000,USD_thousands,9,USD_millions,SRC-001,"FY2025 Form 10-K Note 2, Tyman acquisition, p. 54",disclosed_discrete_tax_charge_not_an_ebitda_item,unreviewed,Company-disclosed discrete tax item for Phase 2 earnings-quality review; not an EBITDA addback.
AC-008,FY2024,2023-11-01,2024-10-31,plant_closure_cost_of_sales,3025,USD_thousands,3.025,USD_millions,SRC-002,"FY2025 results release, Selected Segment Data reconciliation",added_back_by_company,unreviewed,Company-disclosed non-GAAP item only; no lender-normalization judgment made.
AC-009,FY2024,2023-11-01,2024-10-31,plant_closure_gain_sga,-4196,USD_thousands,-4.196,USD_millions,SRC-002,"FY2025 results release, Selected Segment Data reconciliation",deducted_by_company,unreviewed,Company-disclosed non-GAAP item only; no lender-normalization judgment made.
AC-010,FY2024,2023-11-01,2024-10-31,inventory_and_receivables_purchase_accounting_step_up,29076,USD_thousands,29.076,USD_millions,SRC-002,"FY2025 results release, Selected Segment Data reconciliation",added_back_by_company,unreviewed,Company-disclosed non-GAAP item only; no lender-normalization judgment made.
AC-011,FY2024,2023-11-01,2024-10-31,transaction_and_advisory_fees,39324,USD_thousands,39.324,USD_millions,SRC-002,"FY2025 results release, Selected Segment Data reconciliation",added_back_by_company,unreviewed,Company-disclosed non-GAAP item only; no lender-normalization judgment made.
