record_id,output_file,layer,metric_or_item,source_ids,evidence_ids,document_titles,source_urls,publication_dates,classification,owner_review_status,notes
LED-0001,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0001,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0002,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0002,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0003,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0003,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0004,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0004,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0005,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0005,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0006,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0006,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0007,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0007,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0008,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0008,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0009,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0009,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0010,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0010,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0011,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0011,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0012,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0012,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0013,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0013,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0014,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0014,SRC-001,,Quanex FY2025 Form 10-K,https://www.sec.gov/Archives/edgar/data/1423221/000142322125000100/nx-20251031.htm,2025-12-12,raw_evidence,not_applicable,
LED-0015,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0015,SRC-017,,Quanex FY2024 Q1 results release,https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2024-results,2024-03-07,raw_evidence,not_applicable,
LED-0016,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0016,SRC-017,,Quanex FY2024 Q1 results release,https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2024-results,2024-03-07,raw_evidence,not_applicable,
LED-0017,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0017,SRC-017,,Quanex FY2024 Q1 results release,https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2024-results,2024-03-07,raw_evidence,not_applicable,
LED-0018,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0018,SRC-017,,Quanex FY2024 Q1 results release,https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2024-results,2024-03-07,raw_evidence,not_applicable,
LED-0019,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0019,SRC-017,,Quanex FY2024 Q1 results release,https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2024-results,2024-03-07,raw_evidence,not_applicable,
LED-0020,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0020,SRC-017,,Quanex FY2024 Q1 results release,https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2024-results,2024-03-07,raw_evidence,not_applicable,
LED-0021,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0021,SRC-017,,Quanex FY2024 Q1 results release,https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2024-results,2024-03-07,raw_evidence,not_applicable,
LED-0022,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0022,SRC-017,,Quanex FY2024 Q1 results release,https://investors.quanex.com/news-releases/news-release-details/quanex-building-products-announces-first-quarter-2024-results,2024-03-07,raw_evidence,not_applicable,
LED-0023,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0023,SRC-018,,Quanex FY2024 Q2 results release,https://www.sec.gov/Archives/edgar/data/1423221/000117184324003332/exh_991.htm,2024-06-06,raw_evidence,not_applicable,
LED-0024,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0024,SRC-018,,Quanex FY2024 Q2 results release,https://www.sec.gov/Archives/edgar/data/1423221/000117184324003332/exh_991.htm,2024-06-06,raw_evidence,not_applicable,
LED-0025,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0025,SRC-018,,Quanex FY2024 Q2 results release,https://www.sec.gov/Archives/edgar/data/1423221/000117184324003332/exh_991.htm,2024-06-06,raw_evidence,not_applicable,
LED-0026,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0026,SRC-018,,Quanex FY2024 Q2 results release,https://www.sec.gov/Archives/edgar/data/1423221/000117184324003332/exh_991.htm,2024-06-06,raw_evidence,not_applicable,
LED-0027,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0027,SRC-018,,Quanex FY2024 Q2 results release,https://www.sec.gov/Archives/edgar/data/1423221/000117184324003332/exh_991.htm,2024-06-06,raw_evidence,not_applicable,
LED-0028,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0028,SRC-018,,Quanex FY2024 Q2 results release,https://www.sec.gov/Archives/edgar/data/1423221/000117184324003332/exh_991.htm,2024-06-06,raw_evidence,not_applicable,
LED-0029,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0029,SRC-018,,Quanex FY2024 Q2 results release,https://www.sec.gov/Archives/edgar/data/1423221/000117184324003332/exh_991.htm,2024-06-06,raw_evidence,not_applicable,
LED-0030,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0030,SRC-018,,Quanex FY2024 Q2 results release,https://www.sec.gov/Archives/edgar/data/1423221/000117184324003332/exh_991.htm,2024-06-06,raw_evidence,not_applicable,
LED-0031,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0031,SRC-019,,Quanex FY2024 Q3 results release,https://www.sec.gov/Archives/edgar/data/1423221/000117184324005085/exh_991.htm,2024-09-05,raw_evidence,not_applicable,
LED-0032,data/phase3/raw/DRIVER_EVIDENCE.csv,raw_evidence,EVD-0032,SRC-019,,Quanex FY2024 Q3 results release,https://www.sec.gov/Archives/edgar/data/1423221/000117184324005085/exh_991.htm,2024-09-05,raw_evidence,not_applicable,
