reverse_stress_id,structure,test_name,shock_dimension,lower_bound,upper_bound,result_value,units,search_tolerance,search_iterations,threshold,threshold_status,first_failure_date,resulting_metric,opening_revolver_balance,peak_subsequent_period_end_revolver,peak_revolver_including_opening,peak_revolver_date,classification,review_status,source_ids,upstream_ids,limitations
P6RS-001,proposed,volume decline to first $50m liquidity warning,volume_decline,0,60,56.53,percent,0.01,13,usable liquidity < $50m,approximated_first_failure,2030-12-31,49.9485827879924054257268242,29.89771875,260.9231491448856499666341945,260.9231491448856499666341945,2031-01-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-002,proposed,gross-margin decline to first $50m liquidity warning,gross_margin_decline,0,1500,287,basis_points,1,11,usable liquidity < $50m,approximated_first_failure,2030-12-31,49.4027614639859648803879091,29.89771875,261.7404804037651722260464404,261.7404804037651722260464404,2031-01-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-003,proposed,combined volume-margin scale to commitment exhaustion,severe_combined_scale,0,3,0.46,multiple_of_severe_case,0.01,9,nominal revolver availability <= 0,approximated_first_failure,2030-11-30,0,29.89771875,293.8,293.8,2030-11-30,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-004,proposed,DSO increase to commitment exhaustion,dso_increase,0,150,40.4,days,0.1,11,nominal revolver availability <= 0,approximated_first_failure,2030-02-28,0,29.89771875,293.8,293.8,2030-02-28,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-005,proposed,DIO increase to commitment exhaustion,dio_increase,0,200,55.3,days,0.1,11,nominal revolver availability <= 0,approximated_first_failure,2030-02-28,0,29.89771875,293.8,293.8,2030-02-28,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-006,proposed,rate increase to cash-interest coverage below 3.00x,rate_increase,0,1000,458,basis_points,1,10,EBITDA/cash interest < 3.00x,approximated_first_failure,2027-01-31,2.995793016820505569875253783,29.89771875,182.413712253466250848836675,182.413712253466250848836675,2031-01-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-007,proposed,gross-margin decline to leverage above 3.25x,gross_margin_decline,0,1000,96,basis_points,1,10,analytical bank leverage > 3.25x before FY2028,approximated_first_failure,2026-12-31,3.252811684367147709719784352,29.89771875,98.72144216755239326999501968,98.72144216755239326999501968,2031-01-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-008,proposed,gross-margin decline to leverage above 3.00x after FY2028,gross_margin_decline,0,1000,121,basis_points,1,10,analytical bank leverage > 3.00x beginning FY2028,approximated_first_failure,2027-12-31,3.005166675561068501755054949,29.89771875,119.6870649097303813928401316,119.6870649097303813928401316,2031-01-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-009,proposed,combined operating scale to scheduled debt-service failure,severe_combined_scale,0,5,0.47,multiple_of_severe_case,0.01,9,"interest, scheduled principal or retained-obligation shortfall > 0",approximated_first_failure,2031-01-31,3.34169316855640932771657956,29.89771875,293.8,293.8,2030-08-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
P6RS-010,proposed,combined operating scale to eliminate monthly cash available for distributions,severe_combined_scale,0,5,0.47,multiple_of_severe_case,0.01,9,no planned dividend or repurchase can be paid in a month,approximated_first_failure,2031-01-31,0,29.89771875,293.8,293.8,2030-08-31,bounded_analytical_reverse_stress,proposed_for_owner_review,SRC-001;SRC-002;SRC-003,SCN-001:SCN-009;P5A-001:P5A-042,"Breakpoint is model-dependent and reported only to the stated tolerance; it is not a forecast, covenant cure, refinancing assumption or legal conclusion."
