matrix_id,framework,test_name,metric_definition,debt_definition,earnings_definition,cash_treatment,drawn_revolver_treatment,threshold,units,effective_period,test_frequency,warning_or_covenant,cure_and_stepup_treatment,draw_condition_consequence,source_ids,upstream_ids,evidence_status,owner_review_status,limitations
P7CM-001,existing_contractual,maximum Consolidated Net Leverage Ratio,Public reconstruction of the existing maintenance covenant applicable at the projected closing absent another qualifying acquisition step-up.,not_applicable,Consolidated EBITDA under the agreement,"Existing agreement permits defined cash netting, but the eligible amount is not determinable from approved public evidence.",Included in funded indebtedness.,3.25,turns,2026-01-31 to open,quarterly,existing_contractual,cures: Not assumed.; stepups: Qualifying-acquisition step-up may apply only if elected and supported.,Existing draw conditions apply; formal drawability is not reconstructed.,SRC-001;SRC-003,P7CP-001,partial_public_reconstruction,owner_reviewed,Not an official compliance certificate.
P7CM-002,proposed_contractual,maximum gross total funded leverage,Gross total funded debt divided by lender EBITDA; no cash netting.,"Term principal + drawn revolver + other funded debt including the retained $62.619m proxy, subject to final legal drafting",Lender EBITDA using the Phase 2 owner-reviewed base as the opening reference and a documented proposed definition thereafter,none,Included at face principal.,3.50,turns,2026-01-31 to 2027-10-31,quarterly and at closing,proposed_contractual,cures: No financial cure assumed; any administrative cure requires final drafting.; stepups: No automatic step-up.,"An uncured breach is proposed to block new drawings, subject to final legal drafting.",SRC-001;SRC-003,P7CP-002,hypothetical_proposal,owner_reviewed,A 3.50x gross covenant is not directly comparable with the existing 3.25x net covenant. Final debt and EBITDA definitions require counsel and lender approval.
P7CM-003,proposed_contractual,maximum gross total funded leverage,First leverage step-down.,Same as P7CP-002,Same as P7CP-002,none,Included at face principal.,3.25,turns,2027-11-01 to 2028-10-31,quarterly,proposed_contractual,cures: No financial cure assumed; any administrative cure requires final drafting.; stepups: No automatic step-up.,Same as P7CP-002.,SRC-001;SRC-003,P7CP-003,hypothetical_proposal,owner_reviewed,Step date aligns to the FY2028 testing year; exact certificate date and stub-period treatment require drafting.
P7CM-004,proposed_contractual,maximum gross total funded leverage,Second leverage step-down.,Same as P7CP-002,Same as P7CP-002,none,Included at face principal.,3.00,turns,2028-11-01 to 2031-01-31,quarterly,proposed_contractual,cures: No financial cure assumed; any administrative cure requires final drafting.; stepups: No automatic step-up.,Same as P7CP-002.,SRC-001;SRC-003,P7CP-004,hypothetical_proposal,owner_reviewed,The final test before maturity must not imply refinancing availability.
P7CM-005,proposed_contractual,minimum EBITDA to cash-interest coverage,LTM lender EBITDA divided by LTM cash interest paid or payable on funded debt.,not_applicable,"LTM cash interest paid or payable, including default interest and recurring cash financing fees when known",not_applicable,Interest on drawn revolver included.,3.00,turns,2026-01-31 to 2031-01-31,quarterly and at closing when a complete LTM denominator is delivered,proposed_contractual,cures: No financial cure assumed; any administrative cure requires final drafting.; stepups: No step-up.,"An uncured breach is proposed to block new drawings, subject to final legal drafting.",SRC-001;SRC-003,P7CP-005,hypothetical_proposal,owner_reviewed,The Phase 6 model lacks a complete closing-date LTM cash-interest denominator; opening compliance is therefore not determinable from public information.
P7CM-006,proposed_contractual,minimum usable liquidity,Unrestricted eligible cash plus undrawn revolver capacity that is legally and operationally drawable.,not_applicable,not_applicable,"Eligible cash only after entity, jurisdiction, tax, lien and operating-need validation.",Deducted from revolver capacity.,50,USD_millions,2026-01-31 to 2031-01-31,"monthly and upon any distribution, acquisition, or additional debt",proposed_contractual,cures: No cure amount assumed.; stepups: No step-up.,"Failure is proposed to block new drawings and restricted payments, subject to final legal drafting.",SRC-001;SRC-003,P7CP-006,hypothetical_proposal,owner_reviewed,The Phase 7 model gives no credit to book cash; final eligible cash remains pending information.
P7CM-007,analyst_warning,gross total funded leverage warning,Earlier lender intervention threshold using the proposed gross debt and lender EBITDA definitions.,Same as P7CP-002,Same as P7CP-002,none,Included.,3.25,turns,2026-01-31 to 2027-10-31,monthly monitoring and quarterly formal calculation,analyst_warning,cures: not_applicable; stepups: not_applicable,Does not itself determine legal drawability.,SRC-001;SRC-003,P7CP-007,analyst_threshold,owner_reviewed,"A warning is not a covenant breach, waiver decision, or compliance certificate."
P7CM-008,analyst_warning,gross total funded leverage warning,First warning step-down.,Same as P7CP-002,Same as P7CP-002,none,Included.,3.00,turns,2027-11-01 to 2028-10-31,monthly monitoring and quarterly formal calculation,analyst_warning,cures: not_applicable; stepups: not_applicable,Does not itself determine legal drawability.,SRC-001;SRC-003,P7CP-008,analyst_threshold,owner_reviewed,A warning is 0.25x inside the proposed covenant.
P7CM-009,analyst_warning,gross total funded leverage warning,Second warning step-down.,Same as P7CP-002,Same as P7CP-002,none,Included.,2.75,turns,2028-11-01 to 2031-01-31,monthly monitoring and quarterly formal calculation,analyst_warning,cures: not_applicable; stepups: not_applicable,Does not itself determine legal drawability.,SRC-001;SRC-003,P7CP-009,analyst_threshold,owner_reviewed,A warning is 0.25x inside the proposed covenant.
P7CM-010,analyst_warning,minimum EBITDA to cash-interest coverage warning,Early intervention threshold inside the proposed coverage covenant.,not_applicable,Same as P7CP-005,not_applicable,Included.,3.50,turns,2026-01-31 to 2031-01-31,monthly monitoring and quarterly formal calculation,analyst_warning,cures: not_applicable; stepups: not_applicable,Does not itself determine legal drawability.,SRC-001;SRC-003,P7CP-010,analyst_threshold,owner_reviewed,A warning is not a legal breach.
P7CM-011,analyst_warning,minimum usable liquidity warning,Early intervention threshold above the proposed minimum-liquidity covenant.,not_applicable,not_applicable,same as P7CP-006,Deducted.,75,USD_millions,2026-01-31 to 2031-01-31,monthly,analyst_warning,cures: not_applicable; stepups: not_applicable,Does not itself determine legal drawability.,SRC-001;SRC-003,P7CP-011,analyst_threshold,owner_reviewed,The committed Phase 6 $50m warning remains preserved in prior outputs; Phase 7 adds a more conservative $75m intervention threshold.
P7CM-012,model_control,operating cash floor,Minimum operating cash retained before optional debt repayment in the model.,not_applicable,not_applicable,not_applicable,not_applicable,25,USD_millions,2026-01-31 to 2031-01-31,monthly,model_control,cures: not_applicable; stepups: not_applicable,Separate from covenant drawability until documented.,SRC-001;SRC-003,P7CP-012,modeling_control_not_contractual,owner_reviewed,Do not combine this cash floor with the $50m liquidity covenant or count it as an accessible closing contribution.
P7CM-013,proposed_contractual,excess cash flow sweep,"50% of positive annual excess cash flow after specified operating and mandatory financing uses, applied after revolver repayment.",not_applicable,not_applicable,not_applicable,Revolver must be repaid before term sweep.,50,percent,2026-10-31 to 2030-10-31,annual,proposed_contractual,cures: not_applicable; stepups: No step-down proposed.,not_applicable,SRC-001;SRC-003,P7CP-013,hypothetical_proposal,owner_reviewed,Phase 4-6 modeled sweeps remain sensitivities. Final legal ECF definitions and recurring fee treatment are pending.
P7CM-014,proposed_contractual,restricted payments,No debt-funded share repurchases; no share repurchases while any revolver borrowing is outstanding; dividends require pro forma tests.,not_applicable,not_applicable,same as P7CP-006,Any drawn revolver blocks repurchases.,See DISTRIBUTION_RESTRICTION_TESTS.csv,text,2026-01-31 to 2031-01-31,at each payment and monthly monitoring,proposed_contractual,cures: not_applicable; stepups: No step-up.,Warning suspends repurchases; breach suspends all restricted payments.,SRC-001;SRC-003,P7CP-014,hypothetical_proposal,owner_reviewed,Phase 7 does not take cash-flow credit for these restrictions; Phase 6 unmitigated cash paths remain unchanged.
