waterfall_id,case_id,method,sequence,step,amount,unit,classification,source_or_ids,review_status
P9C-GC-1-W01,P9C-GC-1,going_concern,1,gross_value,391.0676505907538349085036881,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-1-W02,P9C-GC-1,going_concern,2,less_realization_costs,-39.10676505907538349085036881,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-1-W03,P9C-GC-1,going_concern,3,proceeds_after_costs,351.9608855316784514176533193,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-1-W04,P9C-GC-1,going_concern,4,less_other_funded_obligations,-62.619,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-1-W05,P9C-GC-1,going_concern,5,illustrative_allocation_to_bank_claim,289.3418855316784514176533193,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-1-W06,P9C-GC-1,going_concern,6,facility_claim_cap,850.8513795359564447978113096,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-1-W07,P9C-GC-1,going_concern,7,residual_after_bank_claim,0,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-2-W01,P9C-GC-2,going_concern,1,gross_value,521.4235341210051132113382508,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-2-W02,P9C-GC-2,going_concern,2,less_realization_costs,-52.14235341210051132113382508,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-2-W03,P9C-GC-2,going_concern,3,proceeds_after_costs,469.2811807089046018902044257,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-2-W04,P9C-GC-2,going_concern,4,less_other_funded_obligations,-62.619,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-2-W05,P9C-GC-2,going_concern,5,illustrative_allocation_to_bank_claim,406.6621807089046018902044257,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-2-W06,P9C-GC-2,going_concern,6,facility_claim_cap,850.8513795359564447978113096,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-2-W07,P9C-GC-2,going_concern,7,residual_after_bank_claim,0,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-3-W01,P9C-GC-3,going_concern,1,gross_value,651.7794176512563915141728135,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-3-W02,P9C-GC-3,going_concern,2,less_realization_costs,-65.17794176512563915141728135,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-3-W03,P9C-GC-3,going_concern,3,proceeds_after_costs,586.6014758861307523627555322,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-3-W04,P9C-GC-3,going_concern,4,less_other_funded_obligations,-62.619,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
P9C-GC-3-W05,P9C-GC-3,going_concern,5,illustrative_allocation_to_bank_claim,523.9824758861307523627555322,USD_millions,calculated_sensitivity,P9A-001:P9A-025,owner_reviewed
