monthly_id,structure,month_start,month_end,fiscal_year,quarter,quarter_period_id,month_in_quarter,classification,review_status,opening_cash,revenue,lender_base_ebitda,cash_tax_proxy,working_capital_cash_flow,capital_expenditures,other_necessary_operating_cash_uses,cfads_before_cash_interest,opening_term_principal,scheduled_term_principal,cash_sweep,maturity_term_payment,ending_term_principal,opening_revolver,revolver_draw,revolver_repayment,maturity_revolver_payment,ending_revolver,cash_interest,retained_finance_and_other_debt_payment,recurring_financing_fees,recurring_financing_fees_status,scheduled_principal_priority_status,cash_after_mandatory_debt_service_before_distributions,dividends,share_repurchases,dividend_cash_funded_after_mandatory_debt_service,dividend_revolver_draw_caused,dividend_paid_while_revolver_outstanding,debt_funded_dividend_flag,repurchase_cash_funded_after_mandatory_debt_service,repurchase_revolver_draw_caused,repurchase_paid_while_revolver_outstanding,debt_funded_buyback_flag,cash_floor_effect_from_distributions,liquidity_threshold_effect_from_distributions,usable_liquidity_below_50_after_distributions_flag,provisional_term_distribution_compliance,cfo_proxy,fcf_proxy,cash_before_revolver_action,cash_applied_at_maturity,unsupported_maturity_funding_gap,ending_cash,operating_cash_floor,cash_floor_shortfall,letters_of_credit,revolver_commitment,revolver_availability,usable_liquidity,commitment_breach,maturity_event,model_status,iteration_count,assumption_ids,notes
ML-E-0001,existing,2026-02-01,2026-02-28,FY2026,Q2,OP-0002,1,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,150.82222935,21.06265873114659057598845477,-3.143143449144097643997113692,-0.02473504888548250231460016667,-5.27877802725,-0.2333333333333333333333333333,12.38266887253367709634340757,462.5,0,0,0,462.5,207.39771875,0,6.41161398900467774864447235,0,200.9861047609953222513555276,-3.650138216862332681032268549,-0.6959166666666666666666666667,,not_determinable_excluded_not_zero,mandatory_before_distributions,33.03661398900467774864447235,-1.208333333333333333333333333,-0.4166666666666666666666666667,1.208333333333333333333333333,0,1.208333333333333333333333333,no,0.4166666666666666666666666667,0,0.4166666666666666666666666667,no,0,1.625,no,pending_information_distribution_permissions,14.01130868292134441531113903,8.73253065567134441531113903,31.41161398900467774864447235,0,0,25,25,0,6.2,475,267.8138952390046777486444724,267.8138952390046777486444724,0,no,PASS,5,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,"Monthly operating flows are equal one-third allocations of the governing quarter. Retained-obligation payment includes principal and interest; the liability proxy is not amortized. Mandatory interest, retained-obligation payments and scheduled principal precede distributions. Recurring financing fees are not determinable and are excluded rather than set to zero."
ML-E-0002,existing,2026-03-01,2026-03-31,FY2026,Q2,OP-0002,2,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,150.82222935,21.06265873114659057598845477,-3.143143449144097643997113692,-0.02473504888548250231460016667,-5.27877802725,-0.2333333333333333333333333333,12.38266887253367709634340757,462.5,0,0,0,462.5,200.9861047609953222513555276,0,6.44681393544786117733070093,0,194.5392908255474610740248267,-3.61493827041914925234603997,-0.6959166666666666666666666667,,not_determinable_excluded_not_zero,mandatory_before_distributions,33.07181393544786117733070093,-1.208333333333333333333333333,-0.4166666666666666666666666667,1.208333333333333333333333333,0,1.208333333333333333333333333,no,0.4166666666666666666666666667,0,0.4166666666666666666666666667,no,0,1.625,no,pending_information_distribution_permissions,14.04650862936452784399736761,8.76773060211452784399736761,31.44681393544786117733070093,0,0,25,25,0,6.2,475,274.2607091744525389259751733,274.2607091744525389259751733,0,no,PASS,5,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,"Monthly operating flows are equal one-third allocations of the governing quarter. Retained-obligation payment includes principal and interest; the liability proxy is not amortized. Mandatory interest, retained-obligation payments and scheduled principal precede distributions. Recurring financing fees are not determinable and are excluded rather than set to zero."
ML-E-0003,existing,2026-04-01,2026-04-30,FY2026,Q2,OP-0002,3,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,150.82222935,21.06265873114659057598845477,-3.143143449144097643997113692,-0.02473504888548250231460016667,-5.27877802725,-0.2333333333333333333333333333,12.38266887253367709634340757,462.5,6.25,0,0,456.25,194.5392908255474610740248267,0,0.23220713061716697442318752,0,194.3070836949302940996016392,-3.579545075249843455253553378,-0.6959166666666666666666666667,,not_determinable_excluded_not_zero,mandatory_before_distributions,26.85720713061716697442318752,-1.208333333333333333333333333,-0.4166666666666666666666666667,1.208333333333333333333333333,0,1.208333333333333333333333333,no,0.4166666666666666666666666667,0,0.4166666666666666666666666667,no,0,1.625,no,pending_information_distribution_permissions,14.0819018245338336410898542,8.8031237972838336410898542,25.23220713061716697442318752,0,0,25,25,0,6.2,475,274.4929163050697059003983608,274.4929163050697059003983608,0,no,PASS,5,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,"Monthly operating flows are equal one-third allocations of the governing quarter. Retained-obligation payment includes principal and interest; the liability proxy is not amortized. Mandatory interest, retained-obligation payments and scheduled principal precede distributions. Recurring financing fees are not determinable and are excluded rather than set to zero."
ML-E-0004,existing,2026-05-01,2026-05-31,FY2026,Q3,OP-0003,1,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,165.086872725,21.1081290236343321760207788,-2.9537646960496580440051947,-0.02706957744765737285907863333,-5.778040545375,0,12.34925420476201675915650547,456.25,0,0,0,456.25,194.3070836949302940996016392,0,6.48428824393237748735953917,0,187.8227954509979166122421,-3.544049294162972605130299633,-0.6959166666666666666666666667,,not_determinable_excluded_not_zero,mandatory_before_distributions,33.10928824393237748735953917,-1.208333333333333333333333333,-0.4166666666666666666666666667,1.208333333333333333333333333,0,1.208333333333333333333333333,no,0.4166666666666666666666666667,0,0.4166666666666666666666666667,no,0,1.625,no,pending_information_distribution_permissions,14.58324545597404415402620584,8.80520491059904415402620584,31.48428824393237748735953917,0,0,25,25,0,6.2,475,280.9772045490020833877579,280.9772045490020833877579,0,no,PASS,5,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,"Monthly operating flows are equal one-third allocations of the governing quarter. Retained-obligation payment includes principal and interest; the liability proxy is not amortized. Mandatory interest, retained-obligation payments and scheduled principal precede distributions. Recurring financing fees are not determinable and are excluded rather than set to zero."
ML-E-0005,existing,2026-06-01,2026-06-30,FY2026,Q3,OP-0003,2,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,165.086872725,21.1081290236343321760207788,-2.9537646960496580440051947,-0.02706957744765737285907863333,-5.778040545375,0,12.34925420476201675915650547,456.25,0,0,0,456.25,187.8227954509979166122421,0,6.51988717413934336540078291,0,181.3029082768585732468413171,-3.508450363956006727089055887,-0.6959166666666666666666666667,,not_determinable_excluded_not_zero,mandatory_before_distributions,33.14488717413934336540078291,-1.208333333333333333333333333,-0.4166666666666666666666666667,1.208333333333333333333333333,0,1.208333333333333333333333333,no,0.4166666666666666666666666667,0,0.4166666666666666666666666667,no,0,1.625,no,pending_information_distribution_permissions,14.61884438618101003206744958,8.84080384080601003206744958,31.51988717413934336540078291,0,0,25,25,0,6.2,475,287.4970917231414267531586829,287.4970917231414267531586829,0,no,PASS,5,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,"Monthly operating flows are equal one-third allocations of the governing quarter. Retained-obligation payment includes principal and interest; the liability proxy is not amortized. Mandatory interest, retained-obligation payments and scheduled principal precede distributions. Recurring financing fees are not determinable and are excluded rather than set to zero."
ML-E-0006,existing,2026-07-01,2026-07-31,FY2026,Q3,OP-0003,3,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,165.086872725,21.1081290236343321760207788,-2.9537646960496580440051947,-0.02706957744765737285907863333,-5.778040545375,0,12.34925420476201675915650547,456.25,6.25,0,0,450,181.3029082768585732468413171,0,0.30568154350484705770571545,0,180.9972267333537261891356016,-3.472655994590503034784123352,-0.6959166666666666666666666667,,not_determinable_excluded_not_zero,mandatory_before_distributions,26.93068154350484705770571545,-1.208333333333333333333333333,-0.4166666666666666666666666667,1.208333333333333333333333333,0,1.208333333333333333333333333,no,0.4166666666666666666666666667,0,0.4166666666666666666666666667,no,0,1.625,no,pending_information_distribution_permissions,14.65463875554651372437238212,8.87659821017151372437238212,25.30568154350484705770571545,0,0,25,25,0,6.2,475,287.8027732666462738108643984,287.8027732666462738108643984,0,no,PASS,5,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,"Monthly operating flows are equal one-third allocations of the governing quarter. Retained-obligation payment includes principal and interest; the liability proxy is not amortized. Mandatory interest, retained-obligation payments and scheduled principal precede distributions. Recurring financing fees are not determinable and are excluded rather than set to zero."
ML-E-0007,existing,2026-08-01,2026-08-31,FY2026,Q4,OP-0004,1,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,163.27791795,21.24542458761538197942361973,-3.013546007593495494855904933,-0.0267738863605814244659023,-5.71472712825,0,12.4903775654113050601018125,450,0,0,0,450,180.9972267333537261891356016,0,6.73318317130995545838163438,0,174.2640435620437707307539672,-3.436277727434682935053511452,-0.6959166666666666666666666667,,not_determinable_excluded_not_zero,mandatory_before_distributions,33.35818317130995545838163438,-1.208333333333333333333333333,-0.4166666666666666666666666667,1.208333333333333333333333333,0,1.208333333333333333333333333,no,0.4166666666666666666666666667,0,0.4166666666666666666666666667,no,0,1.625,no,pending_information_distribution_permissions,14.76882696622662212504830105,9.05409983797662212504830105,31.73318317130995545838163438,0,0,25,25,0,6.2,475,294.5359564379562292692460328,294.5359564379562292692460328,0,no,PASS,5,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,"Monthly operating flows are equal one-third allocations of the governing quarter. Retained-obligation payment includes principal and interest; the liability proxy is not amortized. Mandatory interest, retained-obligation payments and scheduled principal precede distributions. Recurring financing fees are not determinable and are excluded rather than set to zero."
ML-E-0008,existing,2026-09-01,2026-09-30,FY2026,Q4,OP-0004,2,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,163.27791795,21.24542458761538197942361973,-3.013546007593495494855904933,-0.0267738863605814244659023,-5.71472712825,0,12.4903775654113050601018125,450,0,0,0,450,174.2640435620437707307539672,0,6.77014854187479304010944271,0,167.4938950201689776906445245,-3.399312356869845353325703116,-0.6959166666666666666666666667,,not_determinable_excluded_not_zero,mandatory_before_distributions,33.39514854187479304010944271,-1.208333333333333333333333333,-0.4166666666666666666666666667,1.208333333333333333333333333,0,1.208333333333333333333333333,no,0.4166666666666666666666666667,0,0.4166666666666666666666666667,no,0,1.625,no,pending_information_distribution_permissions,14.80579233679145970677610938,9.09106520854145970677610938,31.77014854187479304010944271,0,0,25,25,0,6.2,475,301.3061049798310223093554755,301.3061049798310223093554755,0,no,PASS,5,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,"Monthly operating flows are equal one-third allocations of the governing quarter. Retained-obligation payment includes principal and interest; the liability proxy is not amortized. Mandatory interest, retained-obligation payments and scheduled principal precede distributions. Recurring financing fees are not determinable and are excluded rather than set to zero."
ML-E-0009,existing,2026-10-01,2026-10-31,FY2026,Q4,OP-0004,3,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,163.27791795,21.24542458761538197942361973,-3.013546007593495494855904933,-0.0267738863605814244659023,-5.71472712825,0,12.4903775654113050601018125,450,6.25,0,0,443.75,167.4938950201689776906445245,0,0.55731685339529742313049112,0,166.9365781667736802675140334,-3.362144045349340970304654712,-0.6959166666666666666666666667,,not_determinable_excluded_not_zero,mandatory_before_distributions,27.18231685339529742313049112,-1.208333333333333333333333333,-0.4166666666666666666666666667,1.208333333333333333333333333,0,1.208333333333333333333333333,no,0.4166666666666666666666666667,0,0.4166666666666666666666666667,no,0,1.625,no,pending_information_distribution_permissions,14.84296064831196408979715779,9.12823352006196408979715779,25.55731685339529742313049112,0,0,25,25,0,6.2,475,301.8634218332263197324859666,301.8634218332263197324859666,0,no,PASS,5,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,"Monthly operating flows are equal one-third allocations of the governing quarter. Retained-obligation payment includes principal and interest; the liability proxy is not amortized. Mandatory interest, retained-obligation payments and scheduled principal precede distributions. Recurring financing fees are not determinable and are excluded rather than set to zero."
ML-E-0010,existing,2026-11-01,2026-11-30,FY2027,Q1,OP-0005,1,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,133.3413326833425,10.6747410285917755343104325,-0.792172682295264881077608126,0.0005084199225049231842327666667,-4.6669466439169875,0,5.216130122302028076417057143,443.75,0,0,0,443.75,166.9365781667736802675140334,0.42278627057669671149276322,0,0,167.3593644373503769790067966,-3.34466639287872478790982036,-0.66925,,not_determinable_excluded_not_zero,mandatory_before_distributions,26.20221372942330328850723678,-1.208333333333333333333333333,-0.4166666666666666666666666667,1.20221372942330328850723678,0.006119603910030044826096553,1.208333333333333333333333333,yes,0,0.4166666666666666666666666667,0.4166666666666666666666666667,yes,0.4227862705766967114927632197,1.625,no,pending_information_distribution_permissions,6.538410373340290788507236781,1.871463729423303288507236781,24.57721372942330328850723678,0,0,25,25,0,6.2,475,301.4406355626496230209932034,301.4406355626496230209932034,0,no,PASS,5,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,"Monthly operating flows are equal one-third allocations of the governing quarter. Retained-obligation payment includes principal and interest; the liability proxy is not amortized. Mandatory interest, retained-obligation payments and scheduled principal precede distributions. Recurring financing fees are not determinable and are excluded rather than set to zero."
