legal_item_id,topic,exact_contractual_or_reported_language,publicly_disclosed_implementation,analyst_interpretation,unresolved_private_diligence,source_ids,source_reference,status,owner_review_status,notes
LS-001,primary_borrower,Quanex Building Products Corporation is the Borrower.,The FY2025 10-K identifies the same parent company.,Parent is the direct bank obligor.,Confirm no proposed co-borrowers.,SRC-001;SRC-003,SRC-003 preamble and definition of Borrower,supported,not_applicable_existing_fact,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-002,known_2024_loan_parties,Amendment No. 1 was executed by the Borrower and named domestic loan parties.,"Named signatures include Quanex Custom Components, Quanex North American Cabinet Components, Quanex Homeshield, Quanex IG Systems, Quanex North American Fenestration, Mikron Industries and Mikron Washington.","This is evidence of signatories in June 2024, not a complete October 2025 guarantor schedule.",Obtain current legal-entity/guarantor schedule after Tyman joinders.,SRC-003,SRC-003 Amendment No. 1 signature pages,partial_public_implementation,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-003,guarantor_requirement,Guarantors are subsidiaries other than Excluded Subsidiaries and later joinders under section 5.11.,Public filings do not list the complete post-Tyman guarantor population.,Material eligible domestic subsidiaries should support the proposed facilities.,Confirm entity-by-entity joinders and enforceability.,SRC-003,SRC-003 definitions of Guarantor/Excluded Subsidiary and section 5.11,contract_supported_private_implementation_pending,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-004,foreign_subsidiaries,Foreign Subsidiaries are Excluded Subsidiaries.,Tyman materially increased foreign operations.,Foreign operating assets and cash are structurally outside direct domestic guarantee support absent specific arrangements.,"Map foreign borrowers, local debt, restrictions and upstream capacity.",SRC-001;SRC-003,SRC-003 definition of Excluded Subsidiary; SRC-001 Item 1 and liquidity,supported_limitation,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-005,immaterial_domestic_subsidiaries,Individual 2.5% asset/revenue and aggregate 5% tests govern immaterial domestic exclusions.,Current designations are not publicly determinable.,The framework limits but does not eliminate non-guarantor domestic exposure.,Test current entities against thresholds.,SRC-003,SRC-003 definition of Immaterial Domestic Subsidiary,contract_supported_private_implementation_pending,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-006,security_grant,Agent may require liens in substantially all loan-party assets other than Excluded Assets.,10-K states substantially all domestic assets other than real property were collateral.,"Public evidence supports the framework, not present perfection for every asset.","Lien searches, UCC/IP filings and collateral schedules.",SRC-001;SRC-003,SRC-003 sections 5.11-5.12; SRC-001 Note 9/MD&A,partially_supported,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-007,real_property,Excluded Assets are governed by the Guaranty and Security Agreement.,10-K explicitly excludes real property from its domestic collateral description.,Do not assume owned real estate or real-estate lease interests are mortgaged.,"Confirm owned/leased property, mortgages and landlord waivers.",SRC-001;SRC-003,SRC-001 Note 9; SRC-003 definition of Excluded Assets,reported_exclusion,not_applicable_existing_fact,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-008,equity_pledges,No pledge of a first-tier foreign subsidiary is required beyond up to 65% voting and 100% nonvoting equity interests.,Exact pledged equity after Tyman is not public.,Foreign equity support is limited and does not equal a foreign asset lien.,Inspect pledge schedules and perfection.,SRC-003,SRC-003 section 5.11,contract_supported_private_implementation_pending,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-009,deposit_accounts_and_cash_control,The collateral framework covers loan-party assets subject to exclusions.,No complete public deposit-account/control-agreement schedule is available.,"Book cash cannot be assumed perfected, controlled or accessible.","Obtain account list, control agreements, restrictions and cash dominion terms.",SRC-001;SRC-003,SRC-003 Guaranty and Security Agreement references; SRC-001 liquidity,pending_information,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-010,permitted_liens_and_priority,First-priority liens are subject to Permitted Liens and Excluded Assets.,Implementation and competing liens are not fully public.,Priority is qualified; asset-level claims may rank ahead.,"Lien search, lease claims, purchase-money debt and intercreditor review.",SRC-003,"SRC-003 sections 5.12, 6.2 and 14.1",contract_supported_private_implementation_pending,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-011,post_tyman_joinders,Acquired entities must comply with section 5.11 where applicable.,"Exact Tyman joinders, guaranties and security deliveries are not public.",Post-acquisition credit support cannot be presumed.,"Current organizational chart, joinders, security documents and legal opinions.",SRC-001;SRC-003,SRC-003 Permitted Acquisition and section 5.11; SRC-001 Note 9,pending_information,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-012,foreign_cash,Existing covenant cash netting is subject to eligibility conditions and a $25m non-U.S. sublimit within a $100m cap.,"$46.9m of $76.0m book cash was held in foreign countries at October 31, 2025.",Consolidated cash is not automatically available for debt repayment or closing contribution.,"Entity, jurisdiction, tax, exchange-control, lien and operational-access analysis.",SRC-001;SRC-003,SRC-001 liquidity; SRC-003 Consolidated Funded Indebtedness definition,reported_cash_access_pending,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-013,structural_subordination,Foreign and qualifying immaterial domestic subsidiaries may be Excluded Subsidiaries.,Material operations and assets exist outside the United States.,Creditors at non-guarantor subsidiaries may be structurally senior to parent lenders for those assets/cash flows.,"Quantify assets, EBITDA, cash and liabilities by guarantor/non-guarantor group.",SRC-001;SRC-003,SRC-003 Excluded Subsidiary definition; SRC-001 geographic disclosures,analyst_interpretation,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-014,lien_release_at_refinancing,Existing liens remain until obligations and LC exposure are discharged under release mechanics.,No hypothetical payoff or release document is public.,New liens cannot be assumed first-priority without coordinated releases and new perfection.,"Payoff letter, LC treatment, releases, UCC terminations and bring-down searches.",SRC-003,"SRC-003 sections 2.9, 14.11 and Amendment No. 1 reaffirmation",essential_closing_diligence,owner_reviewed_methodology,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
LS-015,proposed_package,No proposed credit agreement exists.,Case architecture proposes eligible domestic guarantees and personal-property security.,All proposed legal terms remain hypothetical and should not be inferred from the existing facility.,"Negotiate guaranty, collateral, exclusions, perfection, account control and priority.",,Case architecture,hypothetical_pending_owner_review,owner_reviewed_for_phase5_testing,"Public evidence is not a representation that guarantees or liens are complete, valid, enforceable or perfected at closing."
