timing_sensitivity_id,scenario_id,scenario_family,structure,timing_case,timing_pattern,minimum_usable_liquidity,minimum_liquidity_month,opening_revolver_balance,peak_subsequent_period_end_revolver,peak_subsequent_period_end_revolver_date,peak_revolver_including_opening,peak_revolver_date,first_incremental_post_closing_draw_date,first_incremental_post_closing_draw_amount,first_50m_analytical_liquidity_warning,first_cash_floor_failure,revolver_capacity_exhaustion_date,first_mandatory_payment_failure_date,failed_obligation_type,maturity_shortfall,minimum_liquidity_difference_from_equal,peak_subsequent_revolver_difference_from_equal,peak_revolver_including_opening_difference_from_equal,maturity_shortfall_difference_from_equal,event_date_comparison_from_equal,classification,review_status,source_ids,upstream_ids,limitations
P6TS-001,MODERATE_UNMITIGATED,moderate,proposed,equal,equal_thirds,146.5805699716238480325203319,2027-01-31,29.89771875,147.2194300283761519674796681,2027-01-31,147.2194300283761519674796681,2027-01-31,2026-02-28,22.18589818079566513242411162,,,,,,429.0809251312908304628618384,0,0,0,0,reference_equal_allocation,monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-002,MODERATE_UNMITIGATED,moderate,proposed,adverse,20%_30%_50%,146.52382165301649088122847,2027-01-31,29.89771875,147.27617834698350911877153,2027-01-31,147.27617834698350911877153,2027-01-31,2026-02-28,15.96388007822948952786475914,,,,,,429.4873934816684656788537555,-0.0567483186073571512918619,0.0567483186073571512918619,0.0567483186073571512918619,0.4064683503776352159919171,same_event_dates_as_equal,monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-003,MODERATE_UNMITIGATED,moderate,existing,equal,equal_thirds,184.8669620188007019737024894,2027-01-31,207.39771875,283.9330379811992980262975106,2027-01-31,283.9330379811992980262975106,2027-01-31,2026-02-28,22.12261524252787888542207392,,,,,,512.4596174432033810525925642,0,0,0,0,reference_equal_allocation,monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-004,MODERATE_UNMITIGATED,moderate,existing,adverse,20%_30%_50%,184.8102137001846421429909361,2027-01-31,207.39771875,283.9897862998153578570090639,2027-01-31,283.9897862998153578570090639,2027-01-31,2026-02-28,15.90059713996170328086272145,,,,,,512.8279388043013359737406642,-0.0567483186160598307115533,0.0567483186160598307115533,0.0567483186160598307115533,0.3683213610979549211481,same_event_dates_as_equal,monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,MODERATE_UNMITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-005,SEVERE_UNMITIGATED,severe,proposed,equal,equal_thirds,0,2027-04-30,29.89771875,293.8,2027-04-30,293.8,2027-04-30,2026-02-28,62.8337880920111881926473903,2026-07-31,2027-04-30,2027-04-30,2027-07-31,SCHEDULED_TERM_PRINCIPAL,610.072310773039110692249669,0,0,0,0,reference_equal_allocation,monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SEVERE_UNMITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-006,SEVERE_UNMITIGATED,severe,proposed,adverse,10%_25%_65%,0,2027-04-30,29.89771875,293.8,2027-04-30,293.8,2027-04-30,2026-02-28,23.8917026994835599367669523,2026-07-31,2027-04-30,2027-04-30,2027-07-31,SCHEDULED_TERM_PRINCIPAL,599.6383060174362866681549561,0,0,0,-10.4340047556028240240947129,same_event_dates_as_equal,monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SEVERE_UNMITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-007,SEVERE_UNMITIGATED,severe,existing,equal,equal_thirds,0,2028-01-31,207.39771875,468.8,2028-01-31,468.8,2028-01-31,2026-02-28,62.76211549444404232399435565,2027-03-31,2028-01-31,2028-01-31,,,705.20099568885987051304058,0,0,0,0,reference_equal_allocation,monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SEVERE_UNMITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-008,SEVERE_UNMITIGATED,severe,existing,adverse,10%_25%_65%,0,2028-01-31,207.39771875,468.8,2028-01-31,468.8,2028-01-31,2026-02-28,23.82003010191641406811391766,2027-02-28,2028-01-31,2028-01-31,,,705.6846154956622955690639524,0,0,0,0.4836198068024250560233724,"first_50m_analytical_liquidity_warning: equal=2027-03-31, adverse=2027-02-28",monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SEVERE_UNMITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-009,SEVERE_MITIGATED,severe,proposed,equal,equal_thirds,0,2027-07-31,29.89771875,293.8,2027-07-31,293.8,2027-07-31,2026-02-28,62.8337880920111881926473903,2026-10-31,2027-07-31,2027-07-31,2027-10-31,SCHEDULED_TERM_PRINCIPAL,553.2823433140510878362710086,0,0,0,0,reference_equal_allocation,monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SEVERE_MITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-010,SEVERE_MITIGATED,severe,proposed,adverse,10%_25%_65%,0,2027-06-30,29.89771875,293.8,2027-06-30,293.8,2027-06-30,2026-02-28,23.8917026994835599367669523,2026-08-31,2027-06-30,2027-06-30,2027-10-31,SCHEDULED_TERM_PRINCIPAL,552.112862534656563368911288,0,0,0,-1.1694807793945244673597206,"first_50m_analytical_liquidity_warning: equal=2026-10-31, adverse=2026-08-31; first_cash_floor_failure: equal=2027-07-31, adverse=2027-06-30; revolver_capacity_exhaustion_date: equal=2027-07-31, adverse=2027-06-30",monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SEVERE_MITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-011,SEVERE_MITIGATED,severe,existing,equal,equal_thirds,12.2513378622624339681834379,2028-01-31,207.39771875,456.5486621377375660318165621,2028-01-31,456.5486621377375660318165621,2028-01-31,2026-02-28,62.76211549444404232399435565,2027-07-31,,,,,660.1454212285593792768680577,0,0,0,0,reference_equal_allocation,monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SEVERE_MITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
P6TS-012,SEVERE_MITIGATED,severe,existing,adverse,10%_25%_65%,10.9474077815925847135855997,2028-02-29,207.39771875,457.8525922184074152864144003,2028-02-29,457.8525922184074152864144003,2028-02-29,2026-02-28,23.82003010191641406811391766,2027-05-31,,,,,660.7809458638400880886680856,-1.3039300806698492545978382,1.3039300806698492545978382,1.3039300806698492545978382,0.6355246352807088118000279,"first_50m_analytical_liquidity_warning: equal=2027-07-31, adverse=2027-05-31",monthly_timing_sensitivity_not_observed_seasonality,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,SEVERE_MITIGATED;P5A-001:P5A-042,Equal allocation is neutral and adverse allocation is a conservative underwriting sensitivity. Neither is verified actual monthly seasonality; exact event dates depend on the selected convention.
