gap_id,description,carried_from_phase,affected_driver_ids,source_ids,forecast_limitation,diligence_condition,closing_condition,covenant_limitation,monitoring_requirement,confidence_reduction,potential_decision_blocker,conservative_treatment,status,owner_review_status,notes
GAP-001,Complete guarantor scope,Phase 0/1,DRV-012,SRC-003,no,yes,yes,no,yes,yes,yes,Do not assume all material entities guarantee.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-002,Post-Tyman collateral coverage and perfection,Phase 0/1,DRV-012,SRC-003,no,yes,yes,no,yes,yes,yes,Do not assign collateral value or structural protection.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-003,Fee-letter economics and final spread,Phase 0/1,DRV-012,SRC-003,yes,yes,yes,no,yes,yes,yes,No fee or spread assumption beyond public grid.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-004,Eligible covenant cash and accessibility,Phase 0/1,DRV-011;DRV-012,SRC-003;SRC-001,yes,yes,yes,yes,yes,yes,yes,No covenant cash netting; book-cash net debt remains diagnostic.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-005,Official contractual EBITDA certificate,Phase 1/2,DRV-004;DRV-007;DRV-012,SRC-003;SRC-016,yes,yes,yes,yes,yes,yes,yes,Use Phase 2 lender-base only; no official compliance claim.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-006,Covenant headroom on lender and contractual definitions,Phase 0/2,DRV-012,SRC-003;SRC-016,yes,yes,yes,yes,yes,yes,yes,No projected covenant capacity until certificate and closing data arrive.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-007,Refinancing hedge and break costs,Phase 0/1,DRV-012,SRC-003,yes,yes,yes,no,yes,yes,no,No benefit or cost assumed.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-008,January 2026 closing balances,Phase 0/1,DRV-005;DRV-012,SRC-001;SRC-002,yes,yes,yes,yes,yes,yes,yes,"Use October 2025 only as historical anchor, not closing balance.",pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-009,Exact cash interest and hedge exposure,Phase 1/2,DRV-012,SRC-001;SRC-003,yes,yes,yes,yes,yes,yes,yes,Do not derive projected cash interest from annual expense.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-010,Maintenance versus expansion/integration capex,Phase 2,DRV-006,SRC-001,yes,yes,yes,no,yes,yes,yes,Preserve total capex reference and do not remove maintenance.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-011,Restructuring cash timing and completion,Phase 2,DRV-004;DRV-007,SRC-001,yes,yes,yes,no,yes,yes,no,Include known $0.7m accrual; leave unknown future amount pending.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-012,FY2025 composite-adjustment disaggregation,Phase 2,DRV-007,SRC-002,yes,yes,no,yes,yes,yes,yes,Continue $0 lender-base acceptance; require category/cash schedule.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-013,Cash-flow control remediation evidence,Phase 2,DRV-009,SRC-001,yes,yes,yes,yes,yes,yes,yes,Enhanced reporting checks until controls operate and are tested.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-014,FY2025 Q2 adjusted EBITDA $1.222m presentation difference,Phase 3,DRV-003;DRV-007,SRC-002;SRC-016,yes,yes,no,yes,yes,yes,no,Use $63.135m only for annual tie-out; do not infer economic improvement.,pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
GAP-015,Accounts payable and other operating working-capital forecast method,Phase 3 owner review,DRV-005;DRV-013,SRC-001,yes,yes,no,no,yes,yes,yes,"Phase 5 must select separate balance-to-driver relationships without a DPO proxy, zero default or funding plug.",pending_information,pending_owner_approval,Private or closing-date information must not be replaced by an unsupported assumption.
