distribution_id,structure,forecast_id,fiscal_year,quarter,period_start,period_end,planned_dividend,planned_repurchase,dividend_cash_funded_after_mandatory_debt_service,dividend_revolver_draw_caused,dividend_paid_while_revolver_outstanding,debt_funded_dividend_flag,repurchase_cash_funded_after_mandatory_debt_service,repurchase_revolver_draw_caused,repurchase_paid_while_revolver_outstanding,debt_funded_buyback_flag,cash_floor_effect_from_distributions,liquidity_threshold_effect_from_distributions,usable_liquidity_below_50_after_distributions_flag,provisional_term_compliance_status,amount_to_suspend_or_fund_differently,classification,review_status,source_ids,assumption_ids,notes
DA-E-0001,existing,OP-0002,FY2026,Q2,2026-02-01,2026-04-30,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0002,existing,OP-0003,FY2026,Q3,2026-05-01,2026-07-31,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0003,existing,OP-0004,FY2026,Q4,2026-08-01,2026-10-31,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0004,existing,OP-0005,FY2027,Q1,2026-11-01,2027-01-31,3.624999999999999999999999999,1.25,2.40210634997967629673388524,1.222893650020323703266114759,3.624999999999999999999999999,yes,0,1.25,1.25,yes,2.472893650020323703266114759,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0005,existing,OP-0006,FY2027,Q2,2027-02-01,2027-04-30,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0006,existing,OP-0007,FY2027,Q3,2027-05-01,2027-07-31,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0007,existing,OP-0008,FY2027,Q4,2027-08-01,2027-10-31,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0008,existing,OP-0009,FY2028,Q1,2027-11-01,2028-01-31,3.624999999999999999999999999,1.25,2.416666666666666666666666666,1.208333333333333333333333333,3.624999999999999999999999999,yes,0.8333333333333333333333333334,0.4166666666666666666666666667,1.25,yes,1.625,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0009,existing,OP-0010,FY2028,Q2,2028-02-01,2028-04-30,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
DA-E-0010,existing,OP-0011,FY2028,Q3,2028-05-01,2028-07-31,3.624999999999999999999999999,1.25,3.624999999999999999999999999,0,3.624999999999999999999999999,no,1.25,0,1.25,no,0,4.875,no,pending_information_distribution_permissions,0,formula_calculated_distribution_attribution,owner_reviewed_policy_with_pending_contractual_permissions,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-029;P5A-030,"Distributions remain in the unmitigated case. Cash funding is measured after bank interest, retained mandatory payments and scheduled principal. Direct draw-causing amounts are not silently reclassified as mandatory debt funding; public distribution permissions remain pending."
