term_id,category,term_name,proposed_value,units,purpose,risk_addressed,source_or_hypothetical_status,source_ids,open_negotiation_issue,final_approval_phase,owner_review_status,notes
PT-001,parties,borrower,Quanex Building Products Corporation,text,Identify the direct borrower.,Obligor clarity,supported_borrower_identity,SRC-003,Eligible co-borrowers and joinders require legal confirmation,Phase 4 owner review,not_applicable_existing_fact,No lender commitment or borrower-approved final term sheet supports this proposal.
PT-002,facilities,term_loan_commitment_cap,650,USD_millions,Fund supported closing uses without automatic overfunding.,Term out persistent bank borrowings,hypothetical_owner_reviewed_for_phase5_testing,,Final size follows approved closing case and Phase 5 capacity,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-003,facilities,revolver_commitment,300,USD_millions,Preserve working-capital and LC capacity.,Seasonal liquidity,hypothetical_owner_reviewed_for_phase5_testing,,Phase 5-6 must test peak usable liquidity and LC sublimit,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-004,purpose,permitted_use,Refinance bank borrowings; term out persistent revolver usage; preserve seasonal access; fund supported fees,text,Define bounded transaction purpose.,Use-of-proceeds drift,hypothetical_owner_reviewed_for_phase5_testing,,Final funds flow and eligible fees,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-005,hold,participating_bank_hold_cap,50,USD_millions,Bound the participating bank exposure.,Concentration,hypothetical_owner_reviewed_for_phase5_testing,,Allocation between facilities and final syndication,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-006,timing,projected_closing,2026-01-31,date,Set the hypothetical transaction date.,Timing mismatch,hypothetical_owner_reviewed_for_phase5_testing,,Actual closing remains hypothetical,Phase 4 owner review,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-007,tenor,tenor,5,years,"Extend final maturity to January 31, 2031.",Refinancing concentration,hypothetical_owner_reviewed_for_phase5_testing,,Only about 18 months beyond existing maturity; economics must justify,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-008,funding,term_funding_formula,Supported closing uses less approved cash contribution; capped at $650m,formula,Prevent automatic full-cap funding.,Overfunding and unsupported cash use,hypothetical_owner_reviewed_for_phase5_testing,,Final payoff and accessible cash certificate,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-009,amortization,base_annual_amortization,10,percent_of_original_principal,Create contractual deleveraging.,Maturity balloon,hypothetical_owner_reviewed_for_phase5_testing,,Debt-service burden must pass Phase 5-6,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
PT-010,amortization,annual_amortization_sensitivities,5;10;15,percent_of_original_principal,Show balloon versus near-term debt-service trade-off.,Structure sensitivity,hypothetical_owner_reviewed_for_phase5_testing,,Owner selects case after cash-flow model,Phase 6,owner_reviewed_for_phase5_testing,"Owner-reviewed only for Phase 5 testing; not a final covenant, lender commitment, borrower-approved term sheet, or closing fact."
