proposal_id,framework,metric_or_term,definition,numerator,denominator,threshold,units,effective_start,effective_end,testing_frequency,cash_netting,drawn_revolver_treatment,inclusions,exclusions,pro_forma_rules,exceptions,cures,stepups,draw_condition_effect,reporting_requirement,source_ids,upstream_ids,evidence_status,owner_review_status,limitations
P7CP-001,existing_contractual,maximum Consolidated Net Leverage Ratio,Public reconstruction of the existing maintenance covenant applicable at the projected closing absent another qualifying acquisition step-up.,Consolidated Funded Indebtedness less permitted netted cash under the agreement,Consolidated EBITDA under the agreement,3.25,turns,2026-01-31,,quarterly,"Existing agreement permits defined cash netting, but the eligible amount is not determinable from approved public evidence.",Included in funded indebtedness.,"Agreement-defined funded debt, subject to exclusions and definitions.",Items excluded by the agreement; exact public compliance calculation unavailable.,Agreement-defined pro forma rules; not reconstructed as an official calculation.,No additional exception assumed from public evidence.,Not assumed.,Qualifying-acquisition step-up may apply only if elected and supported.,Existing draw conditions apply; formal drawability is not reconstructed.,Existing reporting terms; current private compliance certificate required.,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,partial_public_reconstruction,owner_reviewed,Not an official compliance certificate.
P7CP-002,proposed_contractual,maximum gross total funded leverage,Gross total funded debt divided by lender EBITDA; no cash netting.,"Term principal + drawn revolver + other funded debt including the retained $62.619m proxy, subject to final legal drafting",Lender EBITDA using the Phase 2 owner-reviewed base as the opening reference and a documented proposed definition thereafter,3.50,turns,2026-01-31,2027-10-31,quarterly and at closing,none,Included at face principal.,"Borrowed money, drawn revolver and finance-lease/other funded debt.",Operating lease liabilities and trade payables unless final legal drafting expressly includes them.,Pro forma acquisitions and dispositions only with delivered calculations and no unsupported synergies.,None assumed.,No financial cure assumed; any administrative cure requires final drafting.,No automatic step-up.,"An uncured breach is proposed to block new drawings, subject to final legal drafting.",Quarterly certificate within 45 days; annual certificate within 90 days.,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,hypothetical_proposal,owner_reviewed,A 3.50x gross covenant is not directly comparable with the existing 3.25x net covenant. Final debt and EBITDA definitions require counsel and lender approval.
P7CP-003,proposed_contractual,maximum gross total funded leverage,First leverage step-down.,Same as P7CP-002,Same as P7CP-002,3.25,turns,2027-11-01,2028-10-31,quarterly,none,Included at face principal.,Same as P7CP-002.,Same as P7CP-002.,Same as P7CP-002.,None assumed.,No financial cure assumed; any administrative cure requires final drafting.,No automatic step-up.,Same as P7CP-002.,Same as P7CP-002.,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,hypothetical_proposal,owner_reviewed,Step date aligns to the FY2028 testing year; exact certificate date and stub-period treatment require drafting.
P7CP-004,proposed_contractual,maximum gross total funded leverage,Second leverage step-down.,Same as P7CP-002,Same as P7CP-002,3.00,turns,2028-11-01,2031-01-31,quarterly,none,Included at face principal.,Same as P7CP-002.,Same as P7CP-002.,Same as P7CP-002.,None assumed.,No financial cure assumed; any administrative cure requires final drafting.,No automatic step-up.,Same as P7CP-002.,Same as P7CP-002.,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,hypothetical_proposal,owner_reviewed,The final test before maturity must not imply refinancing availability.
P7CP-005,proposed_contractual,minimum EBITDA to cash-interest coverage,LTM lender EBITDA divided by LTM cash interest paid or payable on funded debt.,LTM lender EBITDA,"LTM cash interest paid or payable, including default interest and recurring cash financing fees when known",3.00,turns,2026-01-31,2031-01-31,quarterly and at closing when a complete LTM denominator is delivered,not_applicable,Interest on drawn revolver included.,Cash interest on all funded debt and recurring cash financing fees.,Noncash amortization of financing fees unless paid in cash.,Acquisition pro forma EBITDA only under the same documented leverage rules.,None assumed.,No financial cure assumed; any administrative cure requires final drafting.,No step-up.,"An uncured breach is proposed to block new drawings, subject to final legal drafting.",Quarterly certificate and monthly cash-interest reporting.,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,hypothetical_proposal,owner_reviewed,The Phase 6 model lacks a complete closing-date LTM cash-interest denominator; opening compliance is therefore not determinable from public information.
P7CP-006,proposed_contractual,minimum usable liquidity,Unrestricted eligible cash plus undrawn revolver capacity that is legally and operationally drawable.,Eligible cash + revolver commitment - drawn revolver - outstanding LCs,not_applicable,50,USD_millions,2026-01-31,2031-01-31,"monthly and upon any distribution, acquisition, or additional debt","Eligible cash only after entity, jurisdiction, tax, lien and operating-need validation.",Deducted from revolver capacity.,"Unrestricted cash and available, drawable revolver capacity.","Trapped, restricted, pledged, required operating, or otherwise unavailable cash.",Tested after the proposed transaction or distribution.,No exception assumed beyond the defined eligible-cash rules.,No cure amount assumed.,No step-up.,"Failure is proposed to block new drawings and restricted payments, subject to final legal drafting.",Monthly liquidity certificate within 15 days; immediate notice at or below the $75m warning.,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,hypothetical_proposal,owner_reviewed,The Phase 7 model gives no credit to book cash; final eligible cash remains pending information.
P7CP-007,analyst_warning,gross total funded leverage warning,Earlier lender intervention threshold using the proposed gross debt and lender EBITDA definitions.,Same as P7CP-002,Same as P7CP-002,3.25,turns,2026-01-31,2027-10-31,monthly monitoring and quarterly formal calculation,none,Included.,Same as proposed covenant.,Same as proposed covenant.,No unsupported pro forma credit.,not_applicable,not_applicable,not_applicable,Does not itself determine legal drawability.,Monthly leverage estimate; quarterly certificate.,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,analyst_threshold,owner_reviewed,"A warning is not a covenant breach, waiver decision, or compliance certificate."
P7CP-008,analyst_warning,gross total funded leverage warning,First warning step-down.,Same as P7CP-002,Same as P7CP-002,3.00,turns,2027-11-01,2028-10-31,monthly monitoring and quarterly formal calculation,none,Included.,Same as proposed covenant.,Same as proposed covenant.,No unsupported pro forma credit.,not_applicable,not_applicable,not_applicable,Does not itself determine legal drawability.,Monthly leverage estimate; quarterly certificate.,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,analyst_threshold,owner_reviewed,A warning is 0.25x inside the proposed covenant.
P7CP-009,analyst_warning,gross total funded leverage warning,Second warning step-down.,Same as P7CP-002,Same as P7CP-002,2.75,turns,2028-11-01,2031-01-31,monthly monitoring and quarterly formal calculation,none,Included.,Same as proposed covenant.,Same as proposed covenant.,No unsupported pro forma credit.,not_applicable,not_applicable,not_applicable,Does not itself determine legal drawability.,Monthly leverage estimate; quarterly certificate.,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,analyst_threshold,owner_reviewed,A warning is 0.25x inside the proposed covenant.
P7CP-010,analyst_warning,minimum EBITDA to cash-interest coverage warning,Early intervention threshold inside the proposed coverage covenant.,Same as P7CP-005,Same as P7CP-005,3.50,turns,2026-01-31,2031-01-31,monthly monitoring and quarterly formal calculation,not_applicable,Included.,Same as proposed covenant.,Same as proposed covenant.,No unsupported pro forma credit.,not_applicable,not_applicable,not_applicable,Does not itself determine legal drawability.,Monthly estimate; quarterly certificate.,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,analyst_threshold,owner_reviewed,A warning is not a legal breach.
