ledger_id,artifact_path,record_id,metric_or_term,source_ids,upstream_ids,classification,review_status,cutoff_status,notes
P7L-00001,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-001,Retain existing facilities,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00002,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-002,Limited amendment or extension,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00003,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-003,$650m reference term / 10% amortization,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00004,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-004,$650m term / 5% amortization,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00005,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-005,$650m term / 7.5% amortization,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00006,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-006,$650m term / 15% amortization,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00007,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-007,$625m term / conditional $25m contribution / 7.5% amortization,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00008,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-008,$635m practical term / $15m conditional contribution / 7.5% amortization,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00009,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-009,Exact 3.25x analytical total-funded-debt boundary / 7.5% amortization,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00010,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-010,$640m rounded term / $10m contribution / reference revolver,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00011,data/phase7/raw/STRUCTURE_CANDIDATES.csv,STR-011,$640m rounded term / exact non-debt source / reallocated revolver,SRC-001;SRC-002;SRC-003,PT-002;PT-003;PT-007;PT-008;PT-009;PT-010;PT-017;P5A-016;P5A-018;P5A-020;P5A-022;P5A-025:P5A-032;P6R-001:P6R-014,phase7_record,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00012,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-001,maximum Consolidated Net Leverage Ratio,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,existing_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00013,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-002,maximum gross total funded leverage,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,proposed_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00014,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-003,maximum gross total funded leverage,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,proposed_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00015,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-004,maximum gross total funded leverage,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,proposed_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00016,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-005,minimum EBITDA to cash-interest coverage,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,proposed_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00017,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-006,minimum usable liquidity,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,proposed_contractual,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00018,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-007,gross total funded leverage warning,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,analyst_warning,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00019,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-008,gross total funded leverage warning,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,analyst_warning,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
P7L-00020,data/phase7/raw/COVENANT_PROPOSALS.csv,P7CP-009,gross total funded leverage warning,SRC-001;SRC-003,PT-017:PT-024;P6T-0001:P6T-0238,analyst_warning,owner_reviewed,within_cutoff,"No new evidence source. Trace source IDs through the approved Phase 1-6 ledgers. Owner review is workflow and underwriting-judgment metadata, not an observed borrower fact or post-cutoff analytical evidence; stated conditions remain open."
