sizing_id,analysis,ebitda,leverage_threshold,cash_netting,maximum_total_funded_debt,retained_other_funded_debt,maximum_bank_debt,opening_revolver,analytical_term_capacity,term_commitment,initial_term_funding,reference_term_funding,required_non_debt_contribution,undrawn_term_commitment,unused_term_commitment_treatment,resulting_total_funded_debt,resulting_leverage,headroom_or_shortfall,opening_usable_liquidity,subsequent_minimum_usable_liquidity,subsequent_minimum_liquidity_date,all_in_minimum_usable_liquidity,all_in_minimum_liquidity_date,status,source_ids,upstream_ids,owner_review_status,limitations
P7SZ-001,$650m reference against 3.25x zero-cash total funded leverage,225.344,3.25,0,732.368,62.619,669.749,29.89771875,639.85128125,650,650,650,0,0,none; funded term equals commitment and no delayed-draw availability is assumed,742.51671875,3.295036560769312695257029253,-10.14871875,263.90228125,253.8458349441112245272416091,2028-01-31,253.8458349441112245272416091,2028-01-31,FAIL_SHORTFALL,SRC-001;SRC-002;SRC-003,S2B-0099;P5A-025;P5A-026;P5A-032;STR-003;STR-007;STR-008,owner_reviewed,Reference debt exceeds the test by the negative headroom. This is not cured with book cash.
P7SZ-002,$650m reference against proposed 3.50x zero-cash total funded covenant,225.344,3.5,0,788.704,62.619,726.085,29.89771875,696.18728125,650,650,650,0,0,none; funded term equals commitment and no delayed-draw availability is assumed,742.51671875,3.295036560769312695257029253,46.18728125,263.90228125,253.8458349441112245272416091,2028-01-31,253.8458349441112245272416091,2028-01-31,PASS_WITH_LIMITED_HEADROOM,SRC-001;SRC-002;SRC-003,S2B-0099;P5A-025;P5A-026;P5A-032;STR-003;STR-007;STR-008,owner_reviewed,This does not establish lender acceptance of the proposed threshold or final definitions.
P7SZ-003,$650m reference with capped $25m cash diagnostic at 3.25x,225.344,3.25,25,757.368,62.619,694.749,29.89771875,664.85128125,650,650,650,0,0,none; funded term equals commitment and no delayed-draw availability is assumed,742.51671875,3.184095066875532519170690145,14.85128125,263.90228125,253.8458349441112245272416091,2028-01-31,253.8458349441112245272416091,2028-01-31,DIAGNOSTIC_ONLY,SRC-001;SRC-002;SRC-003,S2B-0099;P5A-025;P5A-026;P5A-032;STR-003;STR-007;STR-008,owner_reviewed,Eligible cash remains pending information; this row cannot support closing sizing.
P7SZ-004,Exact total-funded-debt capacity at 3.25x with reference revolver allocation,225.344,3.25,0,732.368,62.619,669.749,29.89771875,639.85128125,639.85128125,639.85128125,650,10.14871875,0,none; funded term equals commitment and no delayed-draw availability is assumed,732.368,3.25,0,263.90228125,270.3147117092482193185161634,2026-02-28,263.90228125,OPENING_POSITION,EXACT_BOUNDARY_WARNING_ACTIVE,SRC-001;SRC-002;SRC-003,S2B-0099;P5A-025;P5A-026;P5A-032;STR-003;STR-007;STR-008,owner_reviewed,"This is an analytical total-funded-debt boundary, not a negotiated term-loan amount. Equality activates the inclusive analyst warning."
P7SZ-005,$640m term with $10m contribution and reference revolver allocation,225.344,3.25,0,732.368,62.619,669.749,29.89771875,639.85128125,640,640,650,10,0,none; funded term equals commitment and no delayed-draw availability is assumed,732.51671875,3.25065996321180062482249361,-0.14871875,263.90228125,270.3138952390046777486444724,2026-02-28,263.90228125,OPENING_POSITION,MARGINAL_SIZING_EXCEPTION,SRC-001;SRC-002;SRC-003,S2B-0099;P5A-025;P5A-026;P5A-032;STR-003;STR-007;STR-008,owner_reviewed,The rounded structure exceeds the 3.25x total-funded-debt capacity by $0.149m; rounding does not conceal the exception.
P7SZ-006,$640m term with revolver reallocated inside exact 3.25x bank-debt capacity,225.344,3.25,0,732.368,62.619,669.749,29.749,640,640,640,650,10.14871875,0,none; funded term equals commitment and no delayed-draw availability is assumed,732.368,3.25,0,264.051,270.4634304592482193185161634,2026-02-28,264.051,OPENING_POSITION,EXACT_BOUNDARY_WARNING_ACTIVE,SRC-001;SRC-002;SRC-003,S2B-0099;P5A-025;P5A-026;P5A-032;STR-003;STR-007;STR-008,owner_reviewed,"Term and revolver allocations change, but total funded debt remains at the same analytical capacity. Equality activates the warning."
P7SZ-007,$635m practical term with $15m contribution and reference revolver allocation,225.344,3.25,0,732.368,62.619,669.749,29.89771875,639.85128125,635,635,650,15,0,none; funded term equals commitment and no delayed-draw availability is assumed,727.51671875,3.228471664433044589605225788,4.85128125,263.90228125,270.3413453837759849937528067,2026-02-28,263.90228125,OPENING_POSITION,PASS_BELOW_WARNING_WITH_MODEST_CUSHION,SRC-001;SRC-002;SRC-003,S2B-0099;P5A-025;P5A-026;P5A-032;STR-003;STR-007;STR-008,owner_reviewed,The practical selected amount leaves measurable headroom to the 3.25x analyst warning and requires a separately evidenced non-debt source.
P7SZ-008,$639m rounded term at or below analytical capacity,225.344,3.25,0,732.368,62.619,669.749,29.89771875,639.85128125,639,639,650,11,0,none; funded term equals commitment and no delayed-draw availability is assumed,731.51671875,3.246222303456049417779040045,0.85128125,263.90228125,270.3193852679589391976661392,2026-02-28,263.90228125,OPENING_POSITION,PASS_BELOW_WARNING_WITH_MINIMAL_CUSHION,SRC-001;SRC-002;SRC-003,S2B-0099;P5A-025;P5A-026;P5A-032;STR-003;STR-007;STR-008,owner_reviewed,This rounded alternative is below the exact boundary but leaves only $0.851m of debt headroom to the warning threshold.
P7SZ-009,$625m term with conditional $25m non-debt contribution at 3.25x,225.344,3.25,0,732.368,62.619,669.749,29.89771875,639.85128125,625,625,650,25,0,none; funded term equals commitment and no delayed-draw availability is assumed,717.51671875,3.184095066875532519170690145,14.85128125,263.90228125,270.3962456733185994839694754,2026-02-28,263.90228125,OPENING_POSITION,PASS_IF_SEPARATE_SOURCE_EXISTS,SRC-001;SRC-002;SRC-003,S2B-0099;P5A-025;P5A-026;P5A-032;STR-003;STR-007;STR-008,owner_reviewed,The contribution must be incremental to the $25m operating cash floor and supported by evidence.
P7SZ-010,Reference opening total funded debt control,225.344,,0,,62.619,,29.89771875,,650,650,650,0,0,none; fully funded reference term,742.51671875,3.295036560769312695257029253,,263.90228125,253.8458349441112245272416091,2028-01-31,253.8458349441112245272416091,2028-01-31,CONTROL,SRC-001;SRC-002;SRC-003,S2B-0099;P5A-025;P5A-026;P5A-032,owner_reviewed,Opening total funded debt includes the retained $62.619m finance-lease/other-debt proxy. Final contractual treatment is subject to legal definitions.
