matrix_id,type,credit_issue,evidence,credit_consequence,protection_or_mitigant,residual_risk,source_or_ids,review_status
P10R-001,strength,Full-year post-Tyman earnings,"FY2025 lender-base EBITDA was $225.344m, versus $179.358m in FY2024.","Supports interim debt service, but includes accepted noncash/acquisition adjustments.",Monthly lender-EBITDA and adjustment bridge.,Adjustment acceptance is not cash realization.,P10M-007;P10M-015,owner_reviewed
P10R-002,strength,Cash conversion recovery,FY2025 CFO/FCF were $164.897m/$102.255m and 73.2%/45.4% of lender-base EBITDA.,Improves confidence versus FY2024's weaker conversion.,"Working-capital, capex, and cash-adjustment reporting.",Seasonality and acquisition perimeter still limit comparability.,P10M-011:P10M-014,owner_reviewed
P10R-003,strength,Opening liquidity,"Selected Base minimum all-in liquidity is $263.902m over the forecast, including the January 31, 2026 opening position.","Provides timing and operating-liquidity support, not debt repayment.","$50m covenant, $75m warning, monthly eligibility certificate.",Cash eligibility and drawability require final documents; a revolver draw increases or reallocates funded debt.,P10M-023;P10CM-016;P10CM-022,owner_reviewed
P10R-004,strength,Debt discipline,"7.5% annual amortization plus a 50% ECF sweep; Base realizes $238.125m scheduled principal and $57.292m sweep cumulatively from February 1, 2026 through January 31, 2031.","These are payment mechanisms applied to operating cash, not repayment sources.","Payment ordering, sweep definition, and distribution restrictions.","Base still leaves a $324.780m bank-debt gap at January 31, 2031.",P10M-025;P10M-028;P10M-035:P10M-036,owner_reviewed
P10R-005,risk,Thin opening leverage cushion,"Opening gross leverage is 3.2285x, close to the inclusive 3.25x warning.",Small earnings or debt variance can trigger immediate attention.,No cash netting; final payoff; closing EBITDA/debt certificate.,Closing cash-interest coverage remains N/D.,P10M-022;P10CM-001:P10CM-005,owner_reviewed
P10R-006,risk,Integration and margin execution,"Tyman integration, plant stabilization, and $302.284m impairment reduce forecast confidence.",Margin underperformance drives early warning and covenant pressure.,"Plant KPI, gross-margin bridge, and integration milestones.",Impairment addback is mathematical but remains an adverse signal.,DRV-003;DRV-004;DRV-008,owner_reviewed
P10R-007,risk,Working-capital and capex volatility,FY2025 DIO rose to 72.22 days and capex to $62.642m; DPO remains N/D.,Cash conversion can weaken despite reported EBITDA.,"Aging, purchase/AP bridge, and maintenance-capex schedule.",No zero AP/other-WC assumption or unsupported capex cut.,DRV-005;DRV-006;DRV-013,owner_reviewed
P10R-008,risk,Moderate covenant breach,"Moderate unmitigated/mitigated leverage peaks at 4.4893x/4.4670x and breaches on October 31, 2026; minimum liquidity remains $165.078m/$168.937m and no payment failure occurs.","Conditional approval accepts early lender intervention, not covenant survival; mitigation does not restore compliance and no automatic waiver is assumed.","Immediate reporting, distribution stop, corrective plan, and resize/non-debt-capital/restructure/no-close test if moderate is near expected case.",A breach remains possible while liquidity and payment capacity are available; covenant is not loosened to remove it.,P10M moderate paths;P10CM-021:P10CM-023,owner_reviewed
P10R-009,risk,Severe liquidity and payment failure,Severe unmitigated liquidity reaches zero and cash-interest fails on 2027-12-31.,The selected structure is not resilient to severe stress.,"Early warnings, reporting, distribution controls, and no-waiver analysis.",Mitigations delay but do not eliminate severe failure.,P10M severe paths,owner_reviewed
P10R-010,risk,Residual refinancing dependency,"Base unsupported bank-debt maturity gap is $324.780m at January 31, 2031.",Operating cash does not self-liquidate the term; refinancing is not a demonstrated repayment source.,Maturity plan begins at least 24 months early and escalates by 12 months.,No takeout or refinancing proceeds are assumed; any refinancing is separately underwritten.,P10M maturity;P10CM-026,owner_reviewed
P10R-011,risk,Information-quality weakness,Cash-flow reporting-control material weakness remained open at FY2025 year-end.,Reduces confidence in forecast cash classification and compliance reporting.,"Remediation milestones, testing evidence, and audit-committee reporting.",No known misstatement is asserted.,DRV-009;P10CM-020,owner_reviewed
P10R-012,risk,"Legal, collateral, and recovery gaps",Official facility recovery is N/D.,"Potential collateral realization, business-sale proceeds, and other default recoveries are secondary backstops only.","Guarantees, collateral, perfection, priority, entity allocation, appraisal, claims, and realization-cost diligence.",Full consolidated access is only a ceiling sensitivity; illustrative recovery is not official recovery.,P10M recovery;P10CM-007:P10CM-009,owner_reviewed
P10R-013,alternative,Retain or amend existing facilities,"At July 31, 2029, existing/selected total funded debt is $495.368m/$514.754m, so selected is $19.386m higher. Existing matures August 1, 2029 with a $432.749m bank-debt gap; amendment economics are N/D.",Avoids refinancing fees and near-term debt expansion; selected offers no faster same-horizon deleveraging.,Use as mandatory fallback if Phase 10 conditions fail.,"Selected's lower $324.780m gap at January 31, 2031 partly reflects about 18 additional months and is not directly comparable.",P7CH-001;P7CH-008;P7UM-001;P7UM-008,owner_reviewed
