adjustment_id,fiscal_year,description,reported_amount,units,source_id,company_treatment,contractual_eligibility,cash_noncash_status,recurrence_assessment,expected_cash_realization_or_reversal,lender_recommendation,accepted_amount_low,accepted_amount_base,accepted_amount_high,rejected_or_haircut_amount_base,rationale,double_counting_relationships,expiry_or_sunset_consideration,missing_information,human_review_status
AC-001,FY2025,Goodwill impairment,302.284,USD_millions,SRC-002,added_back_in_company_ebitda_bridge,likely_permitted_nonrecurring_noncash_or_intangible_write_down,noncash,nonrecurring_charge_but_material_business_risk_signal,no cash reversal,accepted,302.284,302.284,302.284,0,Full mathematical reversal is appropriate because the charge is noncash; retain the impairment as a major asset-quality and forecasting warning.,Matches the FY2025 GAAP impairment and CFO noncash addback; do not add either again.,No contractual expiry identified for the recorded charge; no forward addback implied.,Official compliance certificate and lender calculation are unavailable.,owner_reviewed
AC-002,FY2025,Plant relocation cost recorded in cost of sales,1.432,USD_millions,SRC-002,added_back_by_company,not_clearly_permitted_from_public_record,cash_status_not_disclosed,temporary_but_execution_cost_may_recur_during_stabilization,cash timing not disclosed,pending_information,0,0,1.432,1.432,"Owner-reviewed base acceptance is zero because the disclosure does not establish cash character, completion, or nonrecurrence; the full amount remains only in the company/high sensitivity.",Paired with AC-003; neither may also be included through a broader restructuring line.,Sunset when the relocation/stabilization program ends; no carry-forward assumed.,"Invoice detail, cash timing, completion evidence, and contractual classification.",owner_reviewed
AC-003,FY2025,Plant relocation cost recorded in SG&A,0.221,USD_millions,SRC-002,added_back_by_company,not_clearly_permitted_from_public_record,cash_status_not_disclosed,temporary_but_execution_cost_may_recur_during_stabilization,cash timing not disclosed,pending_information,0,0,0.221,0.221,"Owner-reviewed base acceptance is zero because the disclosure does not establish cash character, completion, or nonrecurrence; the full amount remains only in the company/high sensitivity.",Paired with AC-002; neither may also be included through a broader restructuring line.,Sunset when the relocation/stabilization program ends; no carry-forward assumed.,"Invoice detail, cash timing, completion evidence, and contractual classification.",owner_reviewed
AC-004,FY2025,Inventory purchase-accounting step-up,9.007,USD_millions,SRC-002,added_back_by_company,likely_permitted_nonrecurring_noncash_acquisition_accounting_subject_to_certificate,noncash_purchase_accounting_expense,nonrecurring_for_acquired_inventory,no future cash realization; expense has run through earnings,accepted,9.007,9.007,9.007,0,The fair-value step-up is a finite acquisition-accounting charge rather than recurring operating cost; full acceptance does not erase acquisition risk.,Do not also add this amount through a pro forma purchase-accounting adjustment.,Expires after the acquired inventory is sold; no forward carry after exhaustion.,Official contractual classification and compliance certificate.,owner_reviewed
AC-005,FY2025,"Transaction, advisory, reorganization, and product-recall composite",10.263,USD_millions,SRC-002,added_back_by_company,mixed_and_not_determinable_from_public_record,mixed_or_not_disclosed,mixed_category_includes_potentially_recurring_operational_cost,cash realization cannot be assessed without disaggregation,pending_information,0,0,10.263,10.263,"Base acceptance is zero because transaction, reorganization, and recall costs are inseparable; the full company amount is retained only as an upper case pending evidence.","Potential overlap with acquisition costs, restructuring, and operating remediation; no other bridge may absorb it.",Any eligible acquisition-service cost would be subject to the agreement's 90-day incurrence limit.,"Component amounts, invoices, cash/noncash split, dates, recall scope, and recurrence evidence.",owner_reviewed
AC-006,FY2025,"Restructuring, severance, and software",10.191,USD_millions,SRC-002,added_back_by_company,only_identified_one_time_noncash_restructuring_component_clearly_permitted,mixed_4.561_noncash_remainder_not_established_noncash,partly_nonrecurring_with_cash_execution_risk,noncash portion has no cash reversal; remaining 5.630 may consume cash,partial_accept,4.561,4.561,10.191,5.63,Accept only the $4.561 million noncash restructuring amount reconciled in the cash-flow statement; defer the remaining $5.630 million.,"The $4.561 million CFO addback is evidence of noncash character, not a second EBITDA adjustment.",No forward carry; cash reversals of prior noncash charges must be deducted under the agreement.,"Cash payments, project completion, software write-off detail, and official covenant treatment.",owner_reviewed
AC-007,FY2025,Tyman post-measurement-period deferred-tax correction,9,USD_millions,SRC-001,disclosed_discrete_tax_charge_not_an_ebitda_item,tax_is_already_excluded_in_ebitda,noncash_deferred_tax_accounting,nonrecurring_tax_measurement_correction,no EBITDA cash realization,not_applicable,0,0,0,9,The $9 million charge matters to adjusted net income and tax quality but cannot be added again to EBITDA because income taxes are already excluded.,Adding it to EBITDA would double count the standard tax addback.,Not applicable to EBITDA; retain for tax-quality review only.,"Cash-tax implications, if any, remain unavailable.",owner_reviewed
AC-008,FY2024,Plant closure cost recorded in cost of sales,3.025,USD_millions,SRC-002,added_back_by_company,not_clearly_permitted_from_public_record,cash_status_not_disclosed,closure_related_but_recurrence_and_cash_timing_not_proven,cash timing not disclosed,pending_information,0,0,3.025,3.025,"Owner-reviewed base acceptance is zero because closure specificity alone does not prove cash character, completion, or nonrecurrence; the full amount remains only in the company/high sensitivity.",Must not overlap with other restructuring or disposition adjustments.,No carry beyond the closure period without new support.,"Cash/noncash split, closure completion, and contractual classification.",owner_reviewed
AC-009,FY2024,Plant closure gain recorded in SG&A,-4.196,USD_millions,SRC-002,deducted_by_company,likely_required_deduction_for_unusual_or_disposition_gain,noncash_gain_component_with_separate_sale_proceeds,nonrecurring_gain,no future earnings benefit assumed,accepted,-4.196,-4.196,-4.196,0,"Deduct the gain in full, consistent with both the company bridge and lender conservatism; excluding losses while retaining gains would be asymmetric.",Do not also deduct the related disposition gain through another contractual line.,Applies only to FY2024.,Official compliance presentation is unavailable.,owner_reviewed
AC-010,FY2024,Inventory and receivables purchase-accounting step-up,29.076,USD_millions,SRC-002,added_back_by_company,likely_permitted_acquisition_accounting_or_pro_forma_item_subject_to_certificate,noncash_purchase_accounting_expense,nonrecurring_for_acquired_balances,no future cash realization; accounting discount/step-up has run through earnings,accepted,29.076,29.076,29.076,0,"Owner-reviewed full acceptance reflects a finite acquisition-accounting effect; collectability, cash-realization, integration, and pro forma limitations remain separate from the earnings normalization.",Do not also include it in a separate acquisition pro forma or working-capital adjustment.,Expires as acquired inventory and receivables are realized.,"Official contractual bridge, precise inventory/receivable split, and evidence on collectability and cash realization.",owner_reviewed
AC-011,FY2024,Tyman transaction and advisory fees,39.324,USD_millions,SRC-002,added_back_by_company,not_determinable_without_out_of_pocket_support_incurrence_dates_and_compliance_certificate,cash,nonrecurring_completed_acquisition_cost,cash was consumed historically; no reversal,accepted,39.324,39.324,39.324,0,"Owner-reviewed lender earnings normalization accepts the completed-transaction cost, but contractual eligibility remains unresolved and historical cash conversion continues to reflect the cash use.",Do not also add the same fees through a pro forma acquisition-cost line.,Any contractual eligibility would depend on the agreement's acquisition-cost timing and evidence requirements; no forward carry is assumed.,"Invoices, payees, exact incurrence dates, and official compliance certificate.",owner_reviewed
