requirement_id,category,requirement,evidence_or_definition,economic_or_control_value,status,consequence_if_unmet,source_or_ids,phase10_review_status
P10CM-001,condition_precedent,Verified $15m non-debt source,Legal accessibility and funded cash in final funds flow; separate from $25m operating floor.,No close; do not replace with incremental debt.,open_not_satisfied_from_public_information,No close; do not replace with incremental debt.,P7OD-011;CP-012,owner_reviewed
P10CM-002,condition_precedent,"Final sources, uses, payoff and closing balances","Executed payoff, January debt/cash/LC certificate, and zero unexplained uses gap.",No close or resize with new approval.,open_not_satisfied_from_public_information,No close or resize with new approval.,CP-001;CP-010;CP-016,owner_reviewed
P10CM-003,condition_precedent,Conditional $15m non-debt source,"Verify the source and reflect it in binding funds flow. If unavailable, resize, obtain another acceptable non-debt source, or do not close; debt substitution is prohibited.",Modeled transaction is not authorized and no final commitment or funding authorization exists.,open_not_satisfied_from_public_information,Modeled transaction is not authorized and no final commitment or funding authorization exists.,P10D-002;P10D-004;P10D-005,owner_reviewed
P10CM-004,condition_precedent,Closing cash-interest coverage,Satisfactory LTM cash-interest evidence under final definitions.,No close or separately approved restructure.,open_not_satisfied_from_public_information,No close or separately approved restructure.,CP-008;CP-009,owner_reviewed
P10CM-005,condition_precedent,Final covenant and draw definitions,"Debt, EBITDA, ECF, cures, cash netting, draw conditions, default, and waiver mechanics.",No close until lender/counsel approval.,open_not_satisfied_from_public_information,No close until lender/counsel approval.,P7CP-001:P7CP-017,owner_reviewed
P10CM-006,condition_precedent,"Pricing, recurring fees, hedges and amendment economics","Executed fee letters, hedge treatment, break costs, OID and final economics.",No economic recommendation or closing.,open_not_satisfied_from_public_information,No economic recommendation or closing.,CP-014;CP-015,owner_reviewed
P10CM-007,condition_precedent,Guarantee coverage,Executed guarantees from eligible material domestic subsidiaries and current entity schedule.,No close or explicit reduced-support approval.,open_not_satisfied_from_public_information,No close or explicit reduced-support approval.,CP-004,owner_reviewed
P10CM-008,condition_precedent,"Collateral, lien releases, perfection and priority","Release documents, searches, security documents, permitted-lien review, and perfection plan.",No close or explicitly approved collateral exception.,open_not_satisfied_from_public_information,No close or explicitly approved collateral exception.,CP-002;CP-003;CP-007,owner_reviewed
P10CM-009,condition_precedent,Foreign cash and unavailable assets,Entity/jurisdiction cash schedule and acceptable exclusion of inaccessible assets.,No credit to inaccessible cash or unsupported collateral.,open_not_satisfied_from_public_information,No credit to inaccessible cash or unsupported collateral.,CP-011;GAP-004,owner_reviewed
P10CM-010,condition_precedent,LC continuation or replacement,"Final LC schedule, beneficiary consents, replacement or cash-collateral mechanics counted once.",No close while exposure is unresolved.,open_not_satisfied_from_public_information,No close while exposure is unresolved.,CP-013,owner_reviewed
