input_id,section,input_name,value,units,formula_or_definition,input_status,source_ids,upstream_ids,owner_review_status,phase8_model_location,limitations
P8I-001,selection,selected_candidate,STR-008,identifier,Owner-reviewed Phase 7 provisional structure for further underwriting; not a lender commitment or final credit recommendation.,owner_reviewed_provisional,SRC-001;SRC-002;SRC-003,P7FA-001,owner_reviewed,Summary,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-002,facilities,term_commitment,635,USD_millions,"Practical rounded term commitment, fully funded at closing subject to supported uses.",proposed,SRC-001;SRC-002;SRC-003,P7FA-002,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-003,facilities,initial_term_funding,635,USD_millions,Equals the proposed term commitment; no delayed-draw term capacity is assumed.,proposed,SRC-001;SRC-002;SRC-003,P7FA-003,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-004,sizing,analytical_total_funded_debt_capacity,732.368,USD_millions,"3.25 * FY2025 lender-base EBITDA; analytical boundary, not term-loan capacity.",formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-004,owner_reviewed,Sources & Uses/Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-005,sizing,analytical_bank_debt_capacity,669.749,USD_millions,Total funded-debt capacity less retained other funded debt.,formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-005,owner_reviewed,Sources & Uses/Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-006,sizing,analytical_term_capacity_at_reference_revolver,639.85128125,USD_millions,Bank-debt capacity less the reference opening revolver allocation; not a negotiated facility amount.,formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-006,owner_reviewed,Sources & Uses/Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-007,funding,required_non_debt_contribution,15,USD_millions,Reference closing uses less selected term funding and opening revolver.,conditional_pending_evidence,SRC-001;SRC-002;SRC-003,P7FA-007,owner_reviewed,Sources & Uses,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-008,facilities,opening_revolver_draw,29.89771875,USD_millions,Phase 4-6 reference residual after fees and payoff.,inherited_reference,SRC-001;SRC-002;SRC-003,P7FA-008,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-009,facilities,revolver_commitment,300,USD_millions,Committed revolving capacity.,proposed,SRC-001;SRC-002;SRC-003,P7FA-009,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-010,facilities,letters_of_credit,6.2,USD_millions,Replacement LC usage deducted once from availability.,inherited_reference,SRC-001;SRC-002;SRC-003,P7FA-010,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-011,facilities,total_term_plus_revolver_commitments,935,USD_millions,Term commitment plus revolver commitment; not equal to funded debt.,formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-011,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-012,facilities,undrawn_term_commitment,0,USD_millions,Funded term equals commitment at closing.,proposed,SRC-001;SRC-002;SRC-003,P7FA-012,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-013,facilities,unused_term_commitment_treatment,cancelled_or_unavailable_at_closing,text,No continuing delayed-draw or ordinary undrawn term availability is assumed.,proposed,SRC-001;SRC-002;SRC-003,P7FA-013,owner_reviewed,Debt Schedule,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-014,sizing,opening_total_funded_debt,727.51671875,USD_millions,Initial term + opening revolver + retained other funded debt.,formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-014,owner_reviewed,Sources & Uses/Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
P8I-015,sizing,closing_gross_funded_leverage,3.228471664433044589605225788,turns,Opening total funded debt / FY2025 lender-base EBITDA.,formula_calculated,SRC-001;SRC-002;SRC-003,P7FA-015,owner_reviewed,Sources & Uses/Covenants,"Approved for the Phase 7 public-information underwriting structure; not an actual lender commitment, final legal drafting, official covenant compliance calculation, or evidence that unresolved funding sources or private information exist; subject to the stated conditions and diligence gaps."
