input_id,input_name,reference_case_value,units,input_status,source_ids,calculation_or_basis,phase5_required_action,owner_review_status,notes
P5-001,required_opening_cash,25,USD_millions,provisional,SRC-001,Phase 4 operating-cash floor; not accessible funding,Test by entity and operating need,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-002,accessible_cash_determination,,USD_millions,pending_information,SRC-001;SRC-003,"$76.018m book cash, including $46.9m foreign, is not automatically accessible","Determine unrestricted domestic/foreign cash, tax, lien and operating constraints",pending_owner_approval,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-003,opening_term_principal,650,USD_millions,provisional_reference_case,,Capped funding waterfall from reference uses,Replace with final owner-approved closing case and payoff,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-004,opening_revolver_draw,29.89771875,USD_millions,provisional_reference_case,,Residual reference use after capped term and zero cash contribution,Replace with final funds flow; model later seasonal movement separately,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-005,letter_of_credit_usage,6.2,USD_millions,sensitivity,SRC-001;SRC-003,Reference assumes noncash replacement under new revolver,"Confirm issuer, sublimit and beneficiary acceptance",owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-006,revolver_commitment,300,USD_millions,provisional,,Governing case architecture,Test daily/monthly usable liquidity and peak need,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-007,retained_finance_leases_and_other_debt,62.619,USD_millions,known_at_2025_10_31,SRC-001;SRC-002,Retained outside bank payoff,Roll forward to closing from instrument schedules,not_applicable_existing_fact,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-008,retained_operating_lease_liabilities,160.905,USD_millions,known_at_2025_10_31,SRC-001,Debt-like retained obligation; not funded debt,Roll forward and retain separate treatment,not_applicable_existing_fact,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-009,term_sofr_curve_or_base_rate,,percent,pending_information,,No cutoff-compliant closing rate selected,Select documented cutoff-consistent forward/base-rate assumptions,pending_owner_approval,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-010,term_and_revolver_margin,250-350,basis_points,sensitivity,,"Hypothetical range, not a lender quote",Select final pricing grid/floor after proposal,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-011,annual_term_amortization,10,percent_of_original_principal,provisional,,Base term-sheet case; 5% and 15% sensitivities retained,Run all cases against forecast cash generation,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-012,fee_amortization_treatment,,text,pending_information,SRC-001,$11.040m existing deferred costs and new costs require accounting analysis,Define cash/noncash and tax treatment without adding to principal payoff,pending_owner_approval,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-013,cash_interest_inputs,,text,pending_information,SRC-001;SRC-003,"Need benchmark, margins, floors, timing, hedge and average balances",Build integrated interest only in Phase 5 after approval,pending_owner_approval,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-014,cash_sweep,50,percent_of_defined_excess_cash_flow,provisional,,Hypothetical test with liquidity safeguards,"Define ECF, deductions, threshold, step-down and payment date",owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-015,operating_cash_floor,25,USD_millions,provisional,,Distinct from $50m usable-liquidity covenant,Test against seasonal operating need and accessible cash,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-016,net_leverage_covenant,3.25x then test 3.00x from FY2028,turns,initial_analytical_test_threshold,SRC-003;SRC-016,"Owner-reviewed Phase 5 analytical threshold, not a final covenant or existing contractual calculation","Test capacity; Phase 7 defines funded debt, eligible cash, EBITDA, cure and step timing",owner_reviewed_initial_analytical_threshold,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-017,cash_interest_coverage_covenant,3.00,turns,initial_analytical_test_threshold,SRC-003,"Owner-reviewed Phase 5 analytical threshold, not a final covenant","Test capacity; Phase 7 defines numerator, cash interest and exclusions",owner_reviewed_initial_analytical_threshold,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-018,usable_liquidity_covenant,50,USD_millions,initial_analytical_test_threshold,,"Owner-reviewed Phase 5 analytical threshold, not a final covenant","Test capacity; Phase 7 defines accessible cash, available revolver and reporting frequency",owner_reviewed_initial_analytical_threshold,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-019,closing_funding_gap_after_revolver,0,USD_millions,calculated_reference_case,,Capped sources less uses,Recalculate with actual payoff and committed terms,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-020,term_only_funding_gap,29.89771875,USD_millions,calculated_reference_case,,Amount requiring reference opening revolver absent accessible cash,Owner approve funding mix,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-021,accounts_payable_method,,text,pending_information,SRC-001,DPO remains not determinable without purchases,Approve separate AP driver; do not use zero or a funding plug,pending_owner_approval,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-022,other_operating_working_capital_method,,text,pending_information,SRC-001,Other current operating assets/liabilities require separate methods,Approve balances and drivers; do not default to zero,pending_owner_approval,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-023,forecast_period_timing,"Quanex fiscal quarters ending Jan 31, Apr 30, Jul 31, Oct 31",text,known_convention,SRC-001,Closing coincides with fiscal quarter end,"Define beginning/end-of-period debt, interest and cash-flow timing",not_applicable_existing_fact,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-024,first_term_payment_timing,2026-04-30 modeled calendar anchor,date,provisional,,Full-quarter 2.5% installment in 10% base case,Conform to final business-day and stub provisions,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-025,distribution_policy,$0-$10m repurchases; $14-$15m dividends reference,USD_millions,owner_reviewed_phase3_range,SRC-001,Unmitigated cases retain selected base policy,Select periodization; show reductions only as separate mitigations,owner_reviewed,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-026,reference_revolver_movement_calibration,25,USD_millions,owner_reviewed_principal_balance_sensitivity,SRC-021,Informed by the $24.134m FY2025 Q1 FCF trough but not an October-to-January cash forecast or separate historical FCF use,"Replace with an integrated cash, interest and revolver calculation; reconcile accrued payoff interest without double counting",owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-027,pressure_case_restricted_cash_from_lc_collateral,6.2,USD_millions,owner_reviewed_pressure_sensitivity,SRC-001;SRC-003,Explicitly funded LC collateral creates restricted cash or another restricted asset and is excluded from usable liquidity,Keep separate from operating cash; do not also deduct replacement LCs,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-028,revolver_maturity_assumption,Opening draw held unchanged solely for maturity comparison,text,owner_reviewed_methodology,,No future revolver draws or repayments are projected in Phase 4,Replace with the integrated Phase 5 revolver schedule,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
P5-029,financing_alternative_decision,Test reference refinancing; retain existing facilities and limited amendment/extension as live alternatives,text,owner_reviewed_methodology,SRC-001;SRC-003,Phase 4 does not establish that refinancing is economically preferable,Compare debt capacity and downside results before selecting a structure,owner_reviewed_for_phase5_testing,Phase 5 must not convert a pending item to zero or treat the partial contractual EBITDA reconstruction as official.
