economics_id,analysis_type,principal_base,existing_margin_bps,proposed_margin_bps,annual_spread_savings_or_cost,upfront_fee_sensitivity,break_even_years,within_five_year_tenor,units,classification,source_ids,owner_review_status,notes
RE-0001,spread_and_upfront_fee_break_even,650,200,250,-3.25,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0002,spread_and_upfront_fee_break_even,650,200,250,-3.25,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0003,spread_and_upfront_fee_break_even,650,200,250,-3.25,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0004,spread_and_upfront_fee_break_even,650,200,300,-6.5,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0005,spread_and_upfront_fee_break_even,650,200,300,-6.5,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0006,spread_and_upfront_fee_break_even,650,200,300,-6.5,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0007,spread_and_upfront_fee_break_even,650,200,350,-9.75,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0008,spread_and_upfront_fee_break_even,650,200,350,-9.75,10,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0009,spread_and_upfront_fee_break_even,650,200,350,-9.75,20,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
RE-0010,spread_and_upfront_fee_break_even,650,225,250,-1.625,5,N/M,no,USD_millions,hypothetical_sensitivity,SRC-003,owner_reviewed_methodology,"Positive annual value is spread savings; negative is incremental cost. Same SOFR base assumed solely to isolate margin. Excludes revolver mix, base-rate floors, hedge effects, fee amortization, taxes and principal decline. No spread is a lender quote. Owner review retains the existing facilities and a limited amendment/extension as live alternatives; this sensitivity does not establish refinancing preference."
