decision_id,record_type,record_id,decision_status,owner_review_status,approved_treatment,remaining_limitation,review_context
ORD-001,assumption,ASM-001,owner_reviewed_range,owner_reviewed,Underlying volume -2% to +1% calibration range,Not a period-by-period forecast,Governing Work Phase 3 owner-review revision
ORD-002,assumption,ASM-002,owner_reviewed_range,owner_reviewed,Price/mix 0% to +1% calibration range,Not a period-by-period forecast,Governing Work Phase 3 owner-review revision
ORD-003,assumption,ASM-003,owner_reviewed_range,owner_reviewed,Gross margin 26% to 28% as the primary gross-profit driver,Operating costs must generate EBITDA,Governing Work Phase 3 owner-review revision
ORD-004,assumption,ASM-004,owner_reviewed_methodology,owner_reviewed,Lender-normalized EBITDA margin 12% to 13% as a validation band,Must not override the operating build,Governing Work Phase 3 owner-review revision
ORD-005,assumption,ASM-005,owner_reviewed_range,owner_reviewed,DSO 40 to 43 days,Periodization remains for forecast construction,Governing Work Phase 3 owner-review revision
ORD-006,assumption,ASM-006,owner_reviewed_range,owner_reviewed,DIO 70 to 75 days,Periodization remains for forecast construction,Governing Work Phase 3 owner-review revision
ORD-007,assumption,ASM-007,owner_reviewed_range,owner_reviewed,Total capex 3% to 4% of revenue,"Maintenance, integration and expansion split remains unresolved",Governing Work Phase 3 owner-review revision
ORD-008,assumption,ASM-008,owner_reviewed_range,owner_reviewed,Zero base credit for incremental unrealized synergies,Verified future realization may be reconsidered,Governing Work Phase 3 owner-review revision
ORD-009,assumption,ASM-009,owner_reviewed_range,owner_reviewed,At least $0.7m of restructuring cash,Upper bound remains pending information,Governing Work Phase 3 owner-review revision
ORD-010,assumption,ASM-010,owner_reviewed_range,owner_reviewed,Repurchases $0m to $10m as a financial-policy range,Not fixed; financing restrictions must be established in Phase 4,Governing Work Phase 3 owner-review revision
ORD-011,assumption,ASM-011,owner_reviewed_range,owner_reviewed,Dividends $14m to $15m,Future Board action remains uncommitted,Governing Work Phase 3 owner-review revision
ORD-012,assumption,ASM-012,owner_reviewed_methodology,owner_reviewed,Zero-basis-point reference relative to the Phase 4 closing rate,Not a zero interest-rate assumption,Governing Work Phase 3 owner-review revision
ORD-013,assumption,ASM-013,pending_information,owner_reviewed,No numerical FX base credit,Exposure and hedge schedules remain unavailable,Governing Work Phase 3 owner-review revision
ORD-014,assumption,ASM-014,owner_reviewed_methodology,owner_reviewed,Qualitative cash-flow reporting limitation and monitoring item,Not a numeric forecast plug,Governing Work Phase 3 owner-review revision
ORD-015,assumption,ASM-015,pending_information,owner_reviewed,Accounts-payable forecast method to be resolved in Phase 5,DPO is unavailable because purchases are not disclosed,Governing Work Phase 3 owner-review revision
