schedule_id,structure,case_id,amortization_case,annual_amortization_percent,installment_number,payment_date,fiscal_year,days_from_prior_date,period_treatment,original_principal,quarterly_amortization_percent,beginning_principal,scheduled_principal,balloon_principal,total_principal_due,ending_principal,units,classification,owner_review_status,notes
DS-0001,existing,,EXISTING-EXECUTED,5,1,2026-01-30,FY2026,91,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,468.75,6.25,0,6.25,462.5,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0002,existing,,EXISTING-EXECUTED,5,2,2026-04-30,FY2026,90,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,462.5,6.25,0,6.25,456.25,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0003,existing,,EXISTING-EXECUTED,5,3,2026-07-31,FY2026,92,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,456.25,6.25,0,6.25,450,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0004,existing,,EXISTING-EXECUTED,5,4,2026-10-30,FY2026,91,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,450,6.25,0,6.25,443.75,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0005,existing,,EXISTING-EXECUTED,5,5,2027-01-29,FY2027,91,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,443.75,6.25,0,6.25,437.5,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0006,existing,,EXISTING-EXECUTED,5,6,2027-04-30,FY2027,91,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,437.5,6.25,0,6.25,431.25,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0007,existing,,EXISTING-EXECUTED,5,7,2027-07-30,FY2027,91,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,431.25,6.25,0,6.25,425,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0008,existing,,EXISTING-EXECUTED,5,8,2027-10-29,FY2027,91,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,425,6.25,0,6.25,418.75,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0009,existing,,EXISTING-EXECUTED,5,9,2028-01-31,FY2028,94,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,418.75,6.25,0,6.25,412.5,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0010,existing,,EXISTING-EXECUTED,5,10,2028-04-28,FY2028,88,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,412.5,6.25,0,6.25,406.25,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
DS-0011,existing,,EXISTING-EXECUTED,5,11,2028-07-31,FY2028,94,last_weekday_proxy_for_last_Business_Day_of_fiscal_quarter,500,1.25,406.25,6.25,0,6.25,400,USD_millions,executed_contract_term_schedule_from_2025_10_31_balance,not_applicable_existing_fact,Section 2.3 requires installments on the last Business Day of each fiscal quarter. Weekend-adjusted dates are shown; Agent holiday convention and payoff application require closing confirmation.
