assumption_id,category,assumption_name,forecast_period,value,units,classification,review_status,source_ids,upstream_ids,calculation_or_basis,limitation_or_rationale
P5A-001,operating,underlying_volume_growth,FY2026-FY2031,-0.5,percent,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,,ASM-001,Midpoint of the owner-reviewed -2% to +1% range.,"A midpoint is a modeling choice, not evidence of actual volume growth."
P5A-002,operating,price_mix_growth,FY2026-FY2031,0.5,percent,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,,ASM-002,Midpoint of the owner-reviewed 0% to +1% range.,Does not represent organic unit growth or guaranteed pass-through.
P5A-003,operating,annual_gross_margin,FY2026-FY2031,27,percent,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,SRC-001,ASM-003,Midpoint of the owner-reviewed 26%-28% range.,Quarterly shape retains FY2025 full-post-Tyman seasonality; plant execution remains a risk.
P5A-004,operating,cash_operating_expense_ratio,FY2026-FY2031,14.9041,percent_of_revenue,owner_reviewed_rounded_run_rate_assumption,owner_reviewed_for_phase5_testing,SRC-001,FY2025 lender-base EBITDA bridge,(FY2025 gross profit - owner-reviewed lender-base EBITDA) / FY2025 revenue.,No unrealized synergy or separate forecast addback is included.
P5A-005,operating,depreciation_and_amortization_ratio,FY2026-FY2031,5.6292,percent_of_revenue,owner_reviewed_rounded_run_rate_assumption,owner_reviewed_for_phase5_testing,SRC-001,FY2025 historical spread,FY2025 D&A / FY2025 revenue.,Asset-level depreciation and acquisition-intangible runoff are unavailable.
P5A-006,working_capital,days_sales_outstanding,FY2026-FY2031,41.5,days,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,SRC-001,ASM-005,Midpoint of the owner-reviewed 40-43 day range using trailing-12-month revenue.,Only two acquisition-affected annual observations support the range.
P5A-007,working_capital,days_inventory_outstanding,FY2026-FY2031,72.5,days,selected_midpoint_assumption,owner_reviewed_for_phase5_testing,SRC-001,ASM-006,Midpoint of the owner-reviewed 70-75 day range using trailing-12-month cost of sales.,Does not assume the FY2025 inventory cash release repeats.
P5A-008,working_capital,accounts_payable_to_cost_of_sales,FY2026-FY2031,9.8106,percent,owner_reviewed_rounded_proxy_assumption,owner_reviewed_for_phase5_testing,SRC-001,ASM-015;GAP-015,FY2025 ending accounts payable / FY2025 cost of sales.,This is not DPO and is not a purchases-based payment-period measure.
P5A-009,working_capital,other_operating_current_assets_to_revenue,FY2026-FY2031,1.9673,percent,owner_reviewed_rounded_proxy_assumption,owner_reviewed_for_phase5_testing,SRC-001,ASM-016;GAP-015,FY2025 other presented operating current assets / FY2025 revenue.,The residual combines unlike accounts and requires account-level diligence.
P5A-010,working_capital,other_operating_current_liabilities_to_revenue,FY2026-FY2031,5.8353,percent,owner_reviewed_rounded_proxy_assumption,owner_reviewed_for_phase5_testing,SRC-001,ASM-016;GAP-015,FY2025 other presented operating current liabilities / FY2025 revenue.,The residual combines unlike accounts and requires account-level diligence.
