driver_id,driver_name,category,borrower_segment_or_geography,supporting_evidence_ids,source_ids,historical_observation,management_explanation,analyst_interpretation,confidence_level,base_case_direction,moderate_downside_mechanism,severe_downside_mechanism,primary_forecast_line,secondary_forecast_lines,cash_flow_transmission,expected_timing,duration,potential_mitigation,mitigation_cost,mitigation_delay,implementation_constraint,potential_monitoring_metric,warning_threshold_candidate,potential_diligence_condition,double_counting_relationships,status,owner_review_status,monitoring_observability,required_reporting_source
DRV-001,End-market volume and demand,revenue,"All segments; U.S., U.K. and Europe",EVD-0114;EVD-0116;EVD-0118;EVD-0120;EVD-0099,SRC-001;SRC-020;SRC-016;SRC-022;SRC-002;SRC-023;SRC-024;SRC-025,"Legacy revenue fell 5.0% in FY2024; ex-Tyman quarterly movement was -1.4% in FY2025 Q2, +1.4% in Q3, and Q4 consolidated revenue fell 0.5%. U.S. August starts and permits were down 6.0% and 11.1% year over year.","Management attributed weakness mainly to lower volume, consumer confidence, affordability and high rates.",Demand was soft rather than in clear recovery; acquisition-created reported growth is not organic.,high,Flat to slightly down underlying volume until evidence improves.,Volume 5%-8% below base for four quarters.,Volume 12%-18% below base for six to eight quarters.,revenue,receivables;inventory;gross_margin;EBITDA,"Lower shipments reduce EBITDA; receivables may release initially, while poor scheduling can trap inventory.",immediate,cyclical; multi-quarter,"Pricing, cost control, inventory reduction",Potential margin/customer trade-off,one to two quarters,"Customer demand, weather and affordability are outside management control.",organic_or_ex_tyman_revenue_change,below -5% year over year,Demand evidence by segment and geography,Volume shock includes normal fixed-cost deleverage; do not add the same deleverage again in DRV-003.,owner_reviewed_methodology,owner_reviewed,available_through_required_borrower_reporting,Quarterly segment/geography comparable-volume bridge; public releases may be incomplete
DRV-002,"Price, mix and raw-material pass-through",revenue_and_margin,"Hardware, Extruded and Custom",EVD-0009;EVD-0008;EVD-0099,SRC-001;SRC-018;SRC-022;SRC-002,Pass-throughs helped FY2025 Q3 ex-Tyman sales despite lower volume; annual segment bridges show both favorable and unfavorable price/index effects.,"Management describes index, surcharge and base-price mechanisms with incomplete coverage and lags.",Pricing can offset input inflation but is not a durable substitute for volume and can lag by up to three months.,medium,"Broadly neutral to modestly positive price/mix, not volume growth.",Lagged recovery of inflation and tariff costs compresses margin.,Incomplete recovery plus adverse mix compounds sustained volume pressure.,revenue,cost_of_sales;gross_margin;working_capital,"Input costs precede customer recovery, using cash and reducing gross profit.",one to three months,while input shock persists,"Indexing, surcharges and general price increases",Commercial concessions or share loss,up to three months,Not all customers and commodities are covered.,price_cost_lag_and_segment_mix,gross-margin decline over 150 bps with stable volume,Customer/index schedules and commodity coverage,Do not count tariff pass-through as both price growth and margin expansion.,owner_reviewed_methodology,owner_reviewed,available_through_required_borrower_reporting,Quarterly price/volume/mix and index-pass-through bridge by segment
DRV-003,"Gross margin, utilization and fixed-cost absorption",margin,Manufacturing network,EVD-0007;EVD-0101;EVD-0013,SRC-001;SRC-017;SRC-018;SRC-019;SRC-020;SRC-002,Quarterly gross margin ranged from 21.5% to 25.3% in pre-Tyman FY2024 and 23.1% to 29.0% in full post-Tyman FY2025; Q1 was the seasonal low in both years.,"Management cited cost control, raw-material deflation, synergies, lower volume and Mexico operational issues.","FY2025 margin improvement has acquisition, mix and synergy effects; it is not a proven through-cycle level.",medium,Use a bounded margin range below peak quarters.,150-250 bps compression inclusive of volume deleverage.,300-450 bps compression with persistent disruption.,gross_margin,EBITDA;inventory;cash_flow_from_operations,Lower absorption raises unit cost and may create inventory inefficiency.,same quarter as volume,four to eight quarters,Cost controls and site actions,Restructuring cash and service risk,one to four quarters,Plant changes require execution before savings recur.,gross_margin_and_plant_service,gross margin below 25% or missed service levels,Plant-level utilization and bridge of FY2025 improvement,"Margin scenario must state that fixed-cost deleverage is included, not stacked with DRV-001.",owner_reviewed_methodology,owner_reviewed,available_through_required_borrower_reporting,"Monthly plant utilization, service-level and consolidated gross-margin reporting"
DRV-004,"Tyman integration, synergy and plant stabilization",integration,All segments; Mexico Hardware plant,EVD-0100;EVD-0101;EVD-0105,SRC-001;SRC-002;SRC-022,Management said $30m of original synergies were realized and held a path to $45m; a Mexico hardware plant still required stabilization; $302.284m of goodwill was impaired.,Integration was described as substantially complete and plant stabilization expected in FY2026 H1.,Do not credit the remaining $15m until realized; the impairment materially weakens confidence in acquisition forecasts.,low_to_medium,No incremental synergy credit beyond evidenced run rate.,Recovery delayed two to four quarters; incremental costs remain unquantified.,"Disruption persists six to eight quarters, with remediation cash and customer loss risk.",EBITDA,revenue;gross_margin;restructuring_cash;capex,Missed output and extra labor/freight reduce EBITDA and consume cash.,immediate,through stabilization,Dedicated integration resources and plant remediation,Not disclosed,several quarters,Benefits depend on site execution and customer retention.,realized_synergies_and_service_levels,less than 80% of stated remaining milestones on time,Monthly plant KPI pack and synergy bridge,Do not count synergies both in base margin and a separate addback; no credit for unverified future savings.,owner_reviewed_methodology,owner_reviewed,dependent_on_private_diligence,"Monthly integration milestone, realized-synergy and plant-service KPI package"
DRV-005,Working-capital and inventory volatility,cash_conversion,Consolidated,EVD-0103;EVD-0005,SRC-001;SRC-017;SRC-018;SRC-019;SRC-020;SRC-021;SRC-016;SRC-022;SRC-002,Phase 2 DSO was 42.25 days in FY2024 and 40.03 in FY2025; DIO was 70.30 and 72.22 days. FY2025 Q1 FCF was negative $24.134m before recovery later in the year.,Management emphasizes working-capital management; Q1 is historically a net-borrowing period.,"Average-balance ratios remain acquisition-distorted, and quarterly cash generation is highly seasonal.",medium,Hold DSO near 40-43 and DIO near 70-75 pending post-Tyman history.,DSO +5 days and DIO +10 days over four quarters.,DSO +15 and DIO +25 days over six to eight quarters.,accounts_receivable,inventory;accounts_payable;cash_flow_from_operations;revolver,Longer collections and inventory holding consume cash and increase revolver needs.,same quarter as stress,until balances normalize,Collections focus and inventory reduction,Potential service disruption or discounting,one to two quarters,"PPA, seasonality and changed perimeter limit history.",DSO_DIO_and_quarterly_CFO,DSO above 45 or DIO above 80,Monthly working-capital bridge by segment,Do not separately shock total working capital if DSO and DIO shocks already capture it.,owner_reviewed_methodology,owner_reviewed,available_through_required_borrower_reporting,Monthly receivables/inventory aging and average-balance DSO/DIO schedule
DRV-006,Maintenance versus integration and expansion capex,capital_expenditure,Consolidated,EVD-0013,SRC-001,"FY2025 capex was $62.642m, 3.41% of revenue, versus $37.086m in FY2024; maintenance versus discretionary spend is not disclosed.",Management expects to fund capital projects from operations or the revolver.,A maintenance floor cannot be set from public information and capex cannot be assumed fully removable.,low,Use total capex as reference; separate categories only after diligence.,Defer only verified discretionary projects.,Preserve an owner-approved maintenance and safety floor; no unsupported zero capex.,capital_expenditures,free_cash_flow;revolver;plant_execution,Capex is a direct cash use; over-deferral can impair service and savings.,annual and project-specific,multi-year,Defer expansion/integration projects where supportable,Lost growth or delayed savings,project-specific,"Maintenance, safety and committed projects are not removable.",capex_by_category_and_commitments,capex below approved maintenance floor,Maintenance/expansion/integration schedule,Capex reductions cannot also be counted as integration savings.,pending_information,owner_reviewed,dependent_on_private_diligence,"Project-level maintenance, safety, integration and expansion capex schedule"
DRV-007,Adjustment quality and restructuring cash,earnings_quality,Consolidated,EVD-0107;EVD-0102,SRC-001;SRC-002,$10.263m of FY2025 adjustments remains an inseparable composite; $0.7m workforce accrual remained and future restructuring charges were possible.,"Management labels the categories as transaction, advisory, reorganization, recall and restructuring.",Lender EBITDA acceptance does not remove cash; unidentified recall/reorganization costs can recur.,low,No base addback for the composite; include identified cash requirements when known.,Recovery delayed with additional unquantified cash cost.,Persistent cost and customer-remediation cash drain.,restructuring_and_integration_costs,EBITDA;cash_flow_from_operations;free_cash_flow,Cash payments reduce liquidity even if excluded from lender-normalized earnings.,near term,until programs close,Complete programs and document savings,"Cash severance, systems and recall costs",one to four quarters,Public disclosure lacks invoices and category detail.,cash_adjustments_and_completion,new composite charges or accrual growth,Disaggregated schedule and cash roll-forward,Never reverse historical cash outflows when normalizing EBITDA.,pending_information,owner_reviewed,available_through_required_borrower_reporting,"Monthly adjustment, accrual and cash-payment roll-forward"
DRV-008,Acquisition valuation and impairment signal,business_risk,All three current segments,EVD-0105,SRC-001,$302.284m of goodwill was impaired in FY2025; two reporting units were fully impaired.,Company attributed operating headwinds to softer markets and execution while maintaining the acquisition thesis.,"The noncash addback is mathematically accepted in Phase 2, but the magnitude is an adverse forecasting and asset-quality signal.",high,No direct cash addback change; reduce confidence in growth and terminal assumptions.,Weaker margin/revenue realization than management case.,Persistent underperformance and further asset-quality pressure.,EBITDA,revenue;capex;structure;monitoring,"No immediate cash use, but weak performance reduces debt repayment capacity.",ongoing,multi-year,Operational remediation and portfolio review,Potential restructuring or sale costs,long,Impairment itself does not quantify future cash impact.,segment_performance_vs_underwriting_case,two consecutive quarters below approved margin plan,Reporting-unit performance and valuation bridge,Do not add impairment to cash or treat its reversal as removal of risk.,owner_reviewed_methodology,owner_reviewed,available_through_required_borrower_reporting,Quarterly reporting-unit performance versus approved underwriting case
DRV-009,Cash-flow reporting-control remediation,reporting_quality,Consolidated,EVD-0106,SRC-001,The cash-flow control material weakness persisted at FY2025 year-end; no identified misstatement or revision was reported.,Management expects remediation before FY2026 year-end.,Confidence in forecast cash-flow classification and close controls is reduced until testing proves remediation.,high,Retain reported cash facts but require enhanced validation.,More frequent reconciliation and reporting-condition controls.,Potential delayed/qualified reporting and covenant-information risk.,cash_flow_from_operations,all_cash_flow_lines;covenant_reporting,Control failure can delay detection or reporting of cash errors.,immediate,until remediation is tested,Remediation plan and audit-committee oversight,Internal resource and systems cost,at least sufficient operating period,"Completion date is a management expectation, not proof.",control_testing_status_and_audit_findings,missed remediation milestone or new deficiency,"Detailed plan, test results and auditor update",Do not model a known misstatement; use a confidence and monitoring consequence.,pending_information,owner_reviewed,available_through_required_borrower_reporting,"Management certification, remediation milestones, testing evidence and auditor updates"
DRV-010,Debt reduction versus distributions,financial_policy,Consolidated,EVD-0104,SRC-001;SRC-002,"FY2025 bank debt fell $75m, but dividends and repurchases used $47.249m combined; Q1 and Q2 included $30.892m of repurchases while leverage remained elevated.","Management listed debt repayment, growth and opportunistic repurchases as priorities.",Distributions are a controllable cash use but were not subordinated entirely to deleveraging.,high,Use the owner-reviewed base financial-policy ranges without treating them as fixed period forecasts.,Retain the selected base distributions in the unmitigated moderate case; suspension is a separate mitigation.,Retain the selected base distributions in the unmitigated severe case; no discretionary distributions is a separate severe mitigation.,share_repurchases,dividends;free_cash_flow;debt_repayment;revolver,Distributions directly reduce cash available for debt paydown.,immediate,while leverage elevated,Board can suspend distributions,Shareholder and signaling impact,one quarter,Board discretion; not committed at cutoff; Phase 4 financing terms may impose different restrictions.,distributions_and_bank_debt_reduction,repurchases while lender leverage headroom narrows,Distribution blocker or leverage-based policy,Do not embed suspended distributions in unmitigated stress cash flow; structure-specific restrictions must come from Phase 4.,owner_reviewed_methodology,owner_reviewed,available_through_required_borrower_reporting,"Monthly distributions, cash and funded-debt report; public statements are lagged"
